Date,Open,High,Low,Close,Volume,Status
2020-01-02,212.24,213.88,210.34,213.81,155742,ok
2020-01-03,212.65,215.68,211.925,215.04,193301,ok
2020-01-06,214.81,215.34,211.87,215.08,137165,ok
2020-01-07,213.43,214.68,212.96,213.02,267468,ok
2020-01-08,213.53,215.27,213.27,214.1,220116,ok
2020-01-09,214.74,216.59,214.03,214.51,170445,ok
2020-01-10,214.83,217.93,213.83,217.04,188444,ok
2020-01-13,217.43,219.32,214.31,216.61,236881,ok
2020-01-14,216.47,217.45,215.01,215.62,152041,ok
2020-01-15,214.83,219.11,214.83,217.03,164237,ok
2020-01-16,217.48,218.91,216.8,218.45,123296,ok
2020-01-17,218.54,220.87,218.005,219.82,158365,ok
2020-01-21,219.64,220.24,218.34,219.29,186332,ok
2020-01-22,219.78,221.38,219.38,220.59,159019,ok
2020-01-23,220.57,222.78,219.86,220.78,213327,ok
2020-01-24,221.45,223.38,219.675,219.95,167698,ok
2020-01-27,218.2,223.38,218.2,221.58,176082,ok
2020-01-28,221.22,222.87,219.7695,221.46,103792,ok
2020-01-29,221.92,226.84,221.33,225.52,214966,ok
2020-01-30,224.57,225.21,221.975,223.97,177670,ok
2020-01-31,224.02,224.4,218.8,219.3,187758,ok
2020-02-03,219.77,222.28,219.21,220.92,189482,ok
2020-02-04,223.51,223.98,219.76,222.85,127095,ok
2020-02-05,224.2,224.2,221.27,223.82,140155,ok
2020-02-06,223.21,226.3,222.44,225.8,116061,ok
2020-02-07,225.41,227.45,225.115,226.91,156136,ok
2020-02-10,226.7,228.47,225.63,227.55,180531,ok
2020-02-11,224.37,229.89,224.37,229.29,251695,ok
2020-02-12,229.37,230.0,226.25,227.18,243907,ok
2020-02-13,220.59,233.93,220.0096,228.14,386394,ok
2020-02-14,228.27,233.81,226.23,233.55,310885,ok
2020-02-18,232.75,236.915,232.31,236.0,287659,ok
2020-02-19,237.34,238.23,233.29,233.47,229614,ok
2020-02-20,233.02,234.44,230.66,232.37,203742,ok
2020-02-21,231.69,231.69,228.66,229.2,106755,ok
2020-02-24,225.55,227.482,220.2015,224.57,161816,ok
2020-02-25,225.73,227.6718,217.2452,217.51,196814,ok
2020-02-26,218.3,224.075,217.82,220.01,242297,ok
2020-02-27,217.55,222.64,216.1396,216.39,323958,ok
2020-02-28,211.18,213.32,201.36,210.96,462251,ok
2020-03-02,210.61,212.52,203.49,210.92,366247,ok
2020-03-03,210.98,217.17,210.07,215.35,257013,ok
2020-03-04,218.69,227.945,217.71,227.54,341131,ok
2020-03-05,223.88,227.78,221.01,226.64,289953,ok
2020-03-06,222.22,225.9,218.2,224.91,254763,ok
2020-03-09,212.85,222.05,210.5,213.02,325547,ok
2020-03-10,216.26,218.32,201.71,216.69,323383,ok
2020-03-11,211.66,214.98,204.85,207.35,447783,ok
2020-03-12,194.33,198.01,185.2,186.93,390203,ok
2020-03-13,191.49,206.33,187.3,206.14,380713,ok
2020-03-16,174.63,187.01,169.35,171.53,563936,ok
2020-03-17,172.87,183.24,171.7122,181.22,486172,ok
2020-03-18,168.59,191.87,165.85,187.42,619955,ok
2020-03-19,187.48,202.155,178.06,193.87,561405,ok
2020-03-20,193.26,197.97,167.65,167.78,648512,ok
2020-03-23,168.41,178.2,160.3497,169.31,546729,ok
2020-03-24,175.67,184.45,172.56,181.05,449237,ok
2020-03-25,181.15,185.89,169.11,175.04,383776,ok
2020-03-26,170.8,185.71,170.8,185.0,329694,ok
2020-03-27,180.02,190.27,180.02,186.98,343645,ok
2020-03-30,188.0,199.13,187.04,198.35,242077,ok
2020-03-31,196.33,197.65,191.945,196.77,273078,ok
2020-04-01,190.01,197.58,188.055,195.01,337588,ok
2020-04-02,192.31,194.73,183.13,193.12,306864,ok
2020-04-03,190.62,190.62,176.19,178.27,314780,ok
2020-04-06,181.25,197.85,181.25,195.98,346334,ok
2020-04-07,202.82,205.0,191.2753,191.58,246779,ok
2020-04-08,192.65,201.61,191.6,199.11,328121,ok
2020-04-09,200.48,204.97,196.49,199.47,309456,ok
2020-04-13,198.88,198.88,190.12,190.51,146954,ok
2020-04-14,195.09,196.22,192.65,195.34,314774,ok
2020-04-15,192.55,196.12,190.02,191.48,333001,ok
2020-04-16,193.31,197.965,192.265,196.35,238656,ok
2020-04-17,199.63,199.84,191.375,198.78,357382,ok
2020-04-20,196.26,196.26,188.45,191.6,301002,ok
2020-04-21,189.45,190.0,183.19,184.76,218603,ok
2020-04-22,185.58,193.39,183.02,190.42,339368,ok
2020-04-23,200.0,211.635,191.61,204.4,635234,ok
2020-04-24,207.91,216.04,203.23,213.5,427983,ok
2020-04-27,214.23,223.8,212.23,222.62,436096,ok
2020-04-28,227.51,229.885,220.145,220.69,304606,ok
2020-04-29,223.53,223.53,216.52,217.71,318332,ok
2020-04-30,212.6,215.29,211.21,211.66,361326,ok
2020-05-01,208.81,217.41,207.0,216.02,310864,ok
2020-05-04,215.53,216.92,211.85,214.81,371433,ok
2020-05-05,219.81,225.355,214.6,221.86,459056,ok
2020-05-06,223.83,225.95,222.25,222.32,240383,ok
2020-05-07,223.0,224.72,217.89,218.7,159914,ok
2020-05-08,222.2,225.2419,220.83,224.65,207454,ok
2020-05-11,224.39,229.73,222.65,227.73,399774,ok
2020-05-12,228.6,229.83,221.22,221.59,234149,ok
2020-05-13,220.81,220.87,214.05,216.36,274142,ok
2020-05-14,213.94,219.29,212.6269,217.71,239999,ok
2020-05-15,214.77,224.29,214.77,222.97,365499,ok
2020-05-18,228.64,234.76,227.0,229.56,525530,ok
2020-05-19,233.05,233.97,228.92,229.01,190902,ok
2020-05-20,232.49,234.39,229.18,230.79,187091,ok
2020-05-21,231.0,239.17,231.0,238.35,567059,ok
2020-05-22,238.0,239.175,234.55,238.18,371067,ok
2020-05-26,247.82,248.0,241.1,242.82,372666,ok
2020-05-27,243.06,255.42,240.01,254.47,369293,ok
2020-05-28,261.84,266.67,257.05,259.13,562360,ok
2020-05-29,255.94,270.57,255.94,269.02,601578,ok
2020-06-01,271.16,271.16,264.9872,267.76,331090,ok
2020-06-02,268.51,269.5,261.26,265.83,473875,ok
2020-06-03,267.41,270.42,266.16,269.49,223587,ok
2020-06-04,267.44,269.48,260.23,262.79,188811,ok
2020-06-05,262.19,264.04,254.75,258.84,429064,ok
2020-06-08,259.65,259.65,251.26,255.36,358013,ok
2020-06-09,254.49,265.615,254.11,262.49,328906,ok
2020-06-10,264.3,265.275,261.4,262.35,260632,ok
2020-06-11,260.0,263.57,251.22,251.63,239850,ok
2020-06-12,256.34,259.16,249.385,252.67,216222,ok
2020-06-15,245.91,256.29,244.9142,255.13,271236,ok
2020-06-16,262.29,265.52,256.88,263.38,245019,ok
2020-06-17,265.95,268.24,263.185,265.41,210113,ok
2020-06-18,264.67,267.4,262.38,265.15,168929,ok
2020-06-19,267.62,269.1972,265.4794,266.6,388737,ok
2020-06-22,266.88,272.76,264.83,270.76,256331,ok
2020-06-23,273.45,273.45,265.77,266.08,225444,ok
2020-06-24,264.68,267.89,256.85,261.29,289065,ok
2020-06-25,261.54,264.27,259.0401,263.91,212075,ok
2020-06-26,262.78,267.91,259.72,260.94,397440,ok
2020-06-29,260.89,267.9,259.31,265.79,190079,ok
2020-06-30,265.46,273.1,265.06,271.87,260193,ok
2020-07-01,271.85,274.46,267.76,272.91,244511,ok
2020-07-02,274.45,276.0,268.5,270.22,203901,ok
2020-07-06,274.04,274.64,268.63,269.26,166107,ok
2020-07-07,270.22,274.52,268.5,271.89,152483,ok
2020-07-08,271.33,273.5,268.53,270.8,392492,ok
2020-07-09,271.03,280.55,269.9,279.13,302664,ok
2020-07-10,273.37,279.85,273.37,278.49,191661,ok
2020-07-13,281.02,285.7447,276.07,276.28,321865,ok
2020-07-14,275.1,283.325,275.06,281.38,245008,ok
2020-07-15,286.36,288.53,282.362,287.55,255263,ok
2020-07-16,287.48,289.47,280.45,283.6,319031,ok
2020-07-17,286.09,294.94,283.74,294.39,311594,ok
2020-07-20,295.84,302.585,292.1544,301.35,340541,ok
2020-07-21,304.63,304.6603,295.69,296.42,320300,ok
2020-07-22,297.07,303.959,297.015,301.9,426814,ok
2020-07-23,312.0,318.71,297.165,300.58,826501,ok
2020-07-24,298.0,306.69,295.09,304.27,468244,ok
2020-07-27,306.67,311.48,305.09,310.33,286057,ok
2020-07-28,311.0,311.0,305.23,306.63,240594,ok
2020-07-29,307.55,314.5893,307.55,313.95,317674,ok
