Date,Open,High,Low,Close,Volume,Status
2020-01-02,51.63,51.71,50.09,51.29,1519940,ok
2020-01-03,50.51,50.56,49.76,49.96,1032715,ok
2020-01-06,49.59,49.91,49.135,49.28,1238378,ok
2020-01-07,49.01,50.08,48.83,49.96,1288636,ok
2020-01-08,49.96,50.04,49.16,49.42,1111331,ok
2020-01-09,49.34,49.84,49.03,49.79,831774,ok
2020-01-10,49.88,50.16,49.655,49.71,620484,ok
2020-01-13,49.76,51.32,49.17,50.54,904369,ok
2020-01-14,53.34,56.96,52.1,56.91,3153512,ok
2020-01-15,56.89,59.6,56.68,58.52,2775938,ok
2020-01-16,58.62,59.94,58.62,59.51,1263166,ok
2020-01-17,59.86,60.235,58.79,59.02,1079979,ok
2020-01-21,58.77,60.31,58.77,59.83,951269,ok
2020-01-22,60.23,60.48,59.425,59.48,957935,ok
2020-01-23,59.17,59.605,58.46,59.48,1155050,ok
2020-01-24,59.69,59.69,58.56,58.76,637356,ok
2020-01-27,58.03,59.08,57.78,58.66,816445,ok
2020-01-28,59.22,59.83,59.11,59.52,603453,ok
2020-01-29,59.12,59.84,58.53,58.64,548672,ok
2020-01-30,57.83,58.2,57.13,57.87,648930,ok
2020-01-31,57.46,57.655,56.68,57.04,611766,ok
2020-02-03,57.45,59.03,57.34,58.51,793971,ok
2020-02-04,59.14,59.8398,58.89,59.48,701462,ok
2020-02-05,59.2,59.78,58.86,59.07,796902,ok
2020-02-06,59.17,59.34,58.62,59.03,727582,ok
2020-02-07,58.91,60.12,58.605,59.91,737154,ok
2020-02-10,59.84,60.98,59.74,60.2,493905,ok
2020-02-11,60.51,60.59,59.76,60.04,525245,ok
2020-02-12,60.2,60.8999,59.74,59.75,736607,ok
2020-02-13,59.35,59.52,57.89,57.96,866569,ok
2020-02-14,58.14,58.21,57.06,57.71,783115,ok
2020-02-18,57.57,59.32,57.44,58.95,941662,ok
2020-02-19,59.21,59.33,58.445,59.2,603872,ok
2020-02-20,58.63,59.71,58.2,59.61,705804,ok
2020-02-21,59.32,60.02,59.195,59.86,509804,ok
2020-02-24,59.27,60.75,58.59,59.21,1131902,ok
2020-02-25,63.75,63.86,59.8657,60.8,2362513,ok
2020-02-26,62.06,62.25,59.61,60.67,1127240,ok
2020-02-27,55.33,55.94,50.0606,51.82,3760028,ok
2020-02-28,50.07,51.74,48.47,50.69,3079738,ok
2020-03-02,50.98,54.06,50.465,54.06,3012984,ok
2020-03-03,54.05,56.27,52.69,53.33,1769154,ok
2020-03-04,54.34,55.27,53.03,55.06,1456467,ok
2020-03-05,53.92,55.55,53.89,55.12,1647653,ok
2020-03-06,53.27,53.69,51.28,53.17,1636084,ok
2020-03-09,50.61,51.82,48.42,48.89,1705006,ok
2020-03-10,50.06,50.48,47.64,49.48,1703283,ok
2020-03-11,48.05,48.14,45.75,46.04,1438610,ok
2020-03-12,42.66,43.63,40.17,40.66,1659213,ok
2020-03-13,43.14,46.3,40.2,46.29,1726325,ok
