Date,Open,High,Low,Close,Volume,Status
2020-01-02,112.08,113.18,111.38,112.2,1469773,ok
2020-01-03,111.25,112.42,108.19,108.49,2237135,ok
2020-01-06,108.24,108.44,107.21,107.81,3917122,ok
2020-01-07,107.13,108.22,106.74,108.14,2690090,ok
2020-01-08,108.32,108.44,103.81,104.1,3452638,ok
2020-01-09,103.38,105.67,102.22,105.62,3127698,ok
2020-01-10,105.64,106.75,104.81,104.87,1910747,ok
2020-01-13,104.92,106.02,104.54,105.3,2243088,ok
2020-01-14,105.27,106.66,104.988,106.38,2753817,ok
2020-01-15,105.57,105.71,104.12,104.89,2386282,ok
2020-01-16,105.56,105.67,103.65,103.79,2568201,ok
2020-01-17,103.79,103.95,102.52,103.31,2781995,ok
2020-01-21,102.5,102.99,101.91,102.34,2102017,ok
2020-01-22,102.8,102.99,101.565,101.86,2505423,ok
2020-01-23,101.49,102.13,100.0,102.08,3520509,ok
2020-01-24,101.9,101.99,99.37,100.32,2120500,ok
2020-01-27,98.27,98.35,96.615,96.92,2472985,ok
2020-01-28,97.45,97.9,96.61,96.69,2926859,ok
2020-01-29,97.18,98.91,95.5509,95.8,2395608,ok
2020-01-30,95.23,96.55,94.5,96.41,2610444,ok
2020-01-31,94.9,94.93,90.21,91.37,6451028,ok
2020-02-03,91.29,91.38,88.44,88.97,4307459,ok
2020-02-04,90.57,90.86,88.28,88.72,3427940,ok
2020-02-05,90.37,93.29,90.3123,92.64,3100723,ok
2020-02-06,92.99,93.07,90.05,90.22,2606346,ok
2020-02-07,89.97,90.49,89.26,90.33,2481483,ok
2020-02-10,89.86,91.04,89.62,90.26,2171395,ok
2020-02-11,90.94,90.9796,89.55,90.27,2682937,ok
2020-02-12,91.59,92.3,90.45,91.14,2361351,ok
2020-02-13,91.0,91.465,90.17,90.34,2727711,ok
2020-02-14,89.52,90.23,88.61,89.47,2254908,ok
2020-02-18,88.71,89.1,87.07,88.0,4543080,ok
2020-02-19,88.5,88.73,86.72,88.36,2441873,ok
2020-02-20,88.51,90.29,88.41,90.19,2905910,ok
2020-02-21,89.52,90.16,88.685,89.25,2406868,ok
2020-02-24,86.62,87.88,85.93,86.56,3732757,ok
2020-02-25,86.83,87.3,82.27,82.81,4212064,ok
2020-02-26,83.1,83.74,80.28,80.33,4159813,ok
2020-02-27,78.7,78.74,74.24,74.26,6900538,ok
2020-02-28,71.7,75.37,71.39,74.86,7138472,ok
2020-03-02,75.27,75.4485,72.22,75.11,5279387,ok
2020-03-03,75.46,77.58,72.1,72.86,5710315,ok
2020-03-04,74.02,74.77,72.42,74.63,4201827,ok
2020-03-05,72.15,73.82,71.525,71.98,5724919,ok
2020-03-06,70.0,71.16,68.02,69.3,6374474,ok
2020-03-09,62.65,69.1,60.2,62.09,7993839,ok
2020-03-10,65.95,66.8695,60.29,63.36,7035372,ok
2020-03-11,61.04,61.665,54.12,55.15,8448739,ok
2020-03-12,51.02,51.21,44.81,46.4,11492097,ok
2020-03-13,50.71,54.405,46.65,54.36,6997585,ok
2020-03-16,46.77,57.59,45.32,48.27,7192788,ok
2020-03-17,49.08,50.725,45.96,46.67,6274518,ok
2020-03-18,44.84,46.93,40.04,42.97,6970763,ok
2020-03-19,43.25,46.64,41.81,45.68,4936139,ok
2020-03-20,47.19,50.96,45.3571,48.35,7605062,ok
2020-03-23,47.69,48.0,41.41,42.09,6075837,ok
2020-03-24,45.75,46.3181,42.4,45.58,5476034,ok
2020-03-25,46.19,52.9,43.66,50.5,6516942,ok
2020-03-26,51.4,56.74,51.06,54.39,6014909,ok
2020-03-27,52.08,54.34,50.05,52.32,4191468,ok
2020-03-30,50.67,54.93,48.69,54.16,5207896,ok
2020-03-31,55.71,56.5,52.05,53.65,4743844,ok
2020-04-01,51.47,51.85,49.04,49.51,4143185,ok
2020-04-02,51.5,56.1,50.06,51.72,5169006,ok
2020-04-03,53.0,53.35,50.34,51.62,3587494,ok
2020-04-06,54.09,57.93,53.435,57.42,5347793,ok
2020-04-07,60.17,61.56,58.01,58.63,5281147,ok
2020-04-08,59.62,64.2,59.39,63.7,3754830,ok
2020-04-09,67.11,67.44,59.4,61.52,5316775,ok
2020-04-13,63.1,63.8,60.98,61.56,3438279,ok
2020-04-14,61.81,62.41,60.08,61.07,3496922,ok
2020-04-15,58.31,58.4,55.06,56.47,4093093,ok
2020-04-16,55.97,56.39,53.16,53.53,4363342,ok
2020-04-17,54.95,59.69,54.64,59.53,5601686,ok
2020-04-20,57.0,60.275,56.51,58.12,3468482,ok
2020-04-21,55.51,58.0,54.41,56.8,3287125,ok
2020-04-22,59.67,59.87,57.35,58.18,3073447,ok
2020-04-23,60.07,60.64,58.36,59.97,3419823,ok
2020-04-24,61.0,61.615,59.5304,60.53,3400340,ok
2020-04-27,60.65,64.125,60.1704,63.49,3234507,ok
2020-04-28,65.15,67.67,64.23,67.34,3851930,ok
2020-04-29,70.0,73.8,69.5,73.5,5191398,ok
2020-04-30,73.51,75.6315,72.01,73.17,5993424,ok
2020-05-01,70.55,71.37,65.26,66.36,6626638,ok
2020-05-04,66.01,74.41,65.7,73.48,7575846,ok
2020-05-05,75.5,76.77,73.91,75.2,6934417,ok
2020-05-06,75.82,76.29,71.82,71.91,5971967,ok
2020-05-07,73.79,75.63,72.53,73.31,3588376,ok
2020-05-08,74.63,77.44,73.78,77.06,3278985,ok
2020-05-11,76.16,77.735,75.85,76.67,3442156,ok
2020-05-12,77.12,77.37,73.49,73.53,3117400,ok
2020-05-13,73.0,73.36,70.52,71.03,3687456,ok
2020-05-14,69.6,72.79,67.87,71.75,3159700,ok
2020-05-15,70.47,71.9,69.13,70.93,2830592,ok
2020-05-18,75.0,77.74,74.7422,76.28,4532558,ok
2020-05-19,76.0,76.81,74.11,75.22,3736997,ok
2020-05-20,76.81,79.11,76.65,78.25,3501458,ok
2020-05-21,78.65,79.103,76.82,77.09,2299484,ok
2020-05-22,76.34,76.84,75.15,76.46,2036416,ok
2020-05-26,79.16,79.92,78.4606,78.97,2747470,ok
2020-05-27,80.0,81.92,79.11,81.73,3328408,ok
2020-05-28,81.92,82.03,78.2,78.56,4131089,ok
2020-05-29,78.33,79.3,77.08,78.26,4305494,ok
2020-06-01,78.03,78.97,76.31,78.83,2470640,ok
2020-06-02,79.64,81.73,79.08,81.57,3151882,ok
2020-06-03,82.85,84.3616,82.64,83.73,2562417,ok
2020-06-04,82.56,83.64,81.6801,83.13,2586649,ok
2020-06-05,86.77,88.46,86.15,87.4,3767337,ok
2020-06-08,88.56,89.79,87.39,89.73,3355900,ok
2020-06-09,86.56,86.91,85.13,85.67,3810238,ok
2020-06-10,85.05,87.02,83.41,84.33,3201673,ok
2020-06-11,78.01,79.85,74.96,75.0,4387240,ok
2020-06-12,77.73,79.66,75.315,77.26,3025939,ok
2020-06-15,73.43,76.59,72.6,75.6,4309403,ok
2020-06-16,78.9,78.95,75.18,77.04,3419649,ok
2020-06-17,77.04,77.265,72.84,72.88,3665501,ok
2020-06-18,72.51,76.67,72.1,76.24,3760186,ok
2020-06-19,78.0,78.41,74.605,74.7,7484416,ok
2020-06-22,74.1,74.84,72.9,74.4,2455728,ok
2020-06-23,74.75,75.455,74.17,74.7,2749912,ok
2020-06-24,73.5,73.72,69.32,69.99,3560170,ok
2020-06-25,69.42,71.459,68.89,70.07,2655162,ok
2020-06-26,69.73,69.75,67.96,68.07,3797733,ok
2020-06-29,68.84,69.76,67.82,68.66,2365292,ok
2020-06-30,68.02,72.35,67.26,71.9,3502936,ok
2020-07-01,71.77,73.35,68.83,69.11,2251711,ok
2020-07-02,70.27,70.98,68.28,68.42,2624126,ok
2020-07-06,69.61,69.95,66.28,68.09,3592368,ok
2020-07-07,67.19,67.25,64.48,64.61,3120815,ok
2020-07-08,64.68,65.562,63.64,63.98,3798034,ok
2020-07-09,64.0,64.33,58.92,58.98,6096188,ok
2020-07-10,58.73,61.12,58.72,61.06,4247860,ok
2020-07-13,61.34,61.77,59.5,60.27,3481437,ok
2020-07-14,59.63,62.21,59.4,61.96,3423297,ok
2020-07-15,63.97,65.72,62.7,65.46,3635513,ok
2020-07-16,65.07,66.12,63.8729,64.87,1857268,ok
2020-07-17,65.31,66.16,63.585,63.84,2123470,ok
2020-07-20,63.85,64.56,62.27,62.33,2079577,ok
2020-07-21,63.73,66.9,63.5,66.42,3242033,ok
2020-07-22,65.16,65.529,63.91,65.25,2585748,ok
2020-07-23,64.82,65.7,63.97,65.18,2104706,ok
2020-07-24,65.45,66.48,64.75,65.06,2040648,ok
2020-07-27,64.75,65.03,63.6,64.59,1826579,ok
2020-07-28,64.14,64.96,63.4,63.58,2428573,ok
2020-07-29,64.16,65.59,63.71,65.58,2449149,ok
2020-07-30,64.01,64.21,61.3,63.09,3118401,ok
2020-07-31,61.37,63.1,60.59,62.02,5835880,ok
2020-08-03,61.31,62.0,60.035,61.12,4331873,ok
2020-08-04,60.75,62.33,60.12,61.85,3412611,ok
2020-08-05,63.12,63.12,60.53,61.96,4595467,ok
2020-08-06,61.1,62.9499,60.6799,60.97,3187788,ok
2020-08-07,60.6,62.99,60.14,62.87,2913999,ok
2020-08-10,63.37,64.92,62.9,64.87,3387086,ok
2020-08-11,66.39,67.47,63.75,64.11,3544158,ok
2020-08-12,65.34,65.51,63.805,64.41,3442555,ok
2020-08-13,63.85,64.29,62.62,62.63,2875543,ok
2020-08-14,62.1,63.76,61.86,63.66,2638121,ok
2020-08-17,62.7,63.14,62.13,62.36,2816430,ok
2020-08-18,62.26,62.5,61.09,61.31,2658848,ok
2020-08-19,61.5,62.0861,60.37,61.42,3100845,ok
2020-08-20,60.76,61.59,60.62,60.97,2598679,ok
2020-08-21,61.0,61.78,60.57,60.97,3125231,ok
2020-08-24,61.25,63.68,60.675,63.65,3011164,ok
2020-08-25,63.7,63.95,61.4167,61.63,2303863,ok
2020-08-26,61.42,61.84,60.01,60.03,3003408,ok
2020-08-27,60.18,60.43,59.07,60.26,3160242,ok
2020-08-28,60.35,62.07,60.35,61.79,2470843,ok
2020-08-31,61.85,61.92,58.46,58.47,3656992,ok
2020-09-01,58.38,59.41,57.71,58.79,3195032,ok
2020-09-02,58.59,60.38,57.83,60.05,4491722,ok
2020-09-03,60.13,61.73,59.2,59.69,3365737,ok
2020-09-04,60.0,60.6372,58.56,58.98,3420393,ok
2020-09-08,58.32,59.63,57.87,57.96,4120005,ok
2020-09-09,58.04,58.63,57.16,57.87,3057108,ok
2020-09-10,58.16,58.26,55.35,55.36,3100885,ok
2020-09-11,55.69,57.42,54.88,57.07,3002097,ok
2020-09-14,57.52,58.92,57.43,58.37,2889682,ok
2020-09-15,58.25,59.54,57.71,58.05,3397667,ok
2020-09-16,58.75,61.73,58.11,60.51,5347858,ok
2020-09-17,58.82,60.42,58.76,60.35,4186969,ok
2020-09-18,59.25,60.7201,58.93,59.82,7292385,ok
2020-09-21,57.92,58.23,55.58,55.92,6187532,ok
2020-09-22,55.71,56.8151,54.87,55.36,4135916,ok
2020-09-23,55.47,55.82,52.5622,52.63,3725292,ok
2020-09-24,52.3,53.85,51.05,52.85,2980966,ok
2020-09-25,52.07,53.28,51.7,52.88,2824527,ok
2020-09-28,53.94,54.64,53.43,53.98,2126626,ok
2020-09-29,53.76,53.82,51.76,52.19,2464654,ok
2020-09-30,52.47,53.05,51.59,51.84,2670325,ok
2020-10-01,51.19,51.6,49.7457,50.28,4047133,ok
2020-10-02,48.96,51.7643,48.8205,51.06,3453476,ok
2020-10-05,51.83,53.125,51.72,52.55,2711639,ok
2020-10-06,53.49,53.49,50.935,51.06,2926513,ok
2020-10-07,51.45,52.18,50.65,51.93,2621494,ok
2020-10-08,52.12,53.66,52.06,53.64,2397977,ok
2020-10-09,54.04,54.5,52.55,53.04,3185968,ok
2020-10-12,52.66,54.36,51.925,53.46,2768995,ok
2020-10-13,52.87,53.46,51.115,51.27,2885576,ok
2020-10-14,51.72,53.36,51.5301,52.08,2112867,ok
2020-10-15,51.05,52.74,50.42,52.51,3502154,ok
2020-10-16,52.46,52.5,50.47,50.58,2939724,ok
2020-10-19,50.91,50.93,48.88,48.95,3683154,ok
2020-10-20,49.37,50.091,49.08,49.59,3471831,ok
2020-10-21,48.88,49.821,48.66,48.72,3798361,ok
2020-10-22,48.68,50.19,47.55,50.01,3408707,ok
2020-10-23,50.55,51.44,49.41,50.48,3291382,ok
2020-10-26,49.64,49.6504,47.9,48.14,3215005,ok
2020-10-27,48.0,48.3744,47.02,47.07,3525708,ok
2020-10-28,45.73,46.5,44.14,44.22,4911672,ok
2020-10-29,43.62,46.18,43.27,45.98,4436266,ok
2020-10-30,45.38,46.74,44.91,46.66,4579288,ok
2020-11-02,47.38,48.48,46.51,47.96,3732559,ok
2020-11-03,48.62,49.04,46.85,47.52,3287310,ok
2020-11-04,47.66,49.25,46.61,47.92,3709042,ok
2020-11-05,47.71,48.905,47.43,48.19,3211571,ok
2020-11-06,48.11,48.89,46.185,46.68,3617112,ok
2020-11-09,52.42,58.2269,52.3,57.03,8912774,ok
2020-11-10,58.69,58.78,55.7,58.14,5192434,ok
2020-11-11,58.9,58.99,57.685,58.98,4588526,ok
2020-11-12,57.68,58.53,54.6,54.85,5079940,ok
2020-11-13,55.57,59.5,55.5,58.76,5658371,ok
2020-11-16,61.19,63.135,59.1,62.62,6020348,ok
2020-11-17,61.25,64.43,60.25,64.34,5370214,ok
2020-11-18,64.76,64.85,60.72,60.75,4151026,ok
2020-11-19,60.0,61.815,59.53,61.45,2673663,ok
2020-11-20,61.3,62.49,61.01,61.59,2651716,ok
2020-11-23,62.72,65.92,62.6009,65.84,4506466,ok
2020-11-24,68.15,68.7108,66.6,67.72,4208532,ok
2020-11-25,66.88,67.23,65.77,66.26,3755886,ok
2020-11-27,65.62,66.25,64.695,65.23,1936013,ok
2020-11-30,64.26,64.5,60.3,60.58,6423021,ok
2020-12-01,62.78,64.18,61.5316,61.88,4022000,ok
2020-12-02,61.2,65.28,61.0437,64.43,4410677,ok
2020-12-03,64.75,66.9,63.84,65.02,2732736,ok
2020-12-04,66.74,69.92,66.52,69.32,4437462,ok
2020-12-07,68.32,68.81,66.32,67.05,3059542,ok
2020-12-08,66.06,69.08,66.06,67.39,3050808,ok
2020-12-09,68.46,70.095,66.9832,68.77,3602172,ok
2020-12-10,68.15,71.7,68.15,70.86,3352563,ok
2020-12-11,70.2,70.4221,68.45,69.51,2557008,ok
2020-12-14,69.71,70.55,66.865,67.19,2816386,ok
2020-12-15,67.16,68.69,66.25,68.25,3028539,ok
2020-12-16,68.45,68.5,66.92,67.29,3395174,ok
2020-12-17,67.86,67.87,66.4,67.17,3162471,ok
2020-12-18,67.09,67.52,66.06,66.85,8457011,ok
2020-12-21,64.76,67.26,63.8,66.49,3479152,ok
2020-12-22,66.52,68.18,66.15,67.51,3574303,ok
2020-12-23,68.38,69.973,68.01,69.36,2988063,ok
2020-12-24,69.19,69.28,68.04,68.73,1295243,ok
2020-12-28,69.44,70.93,69.04,69.33,2442348,ok
2020-12-29,69.45,69.87,67.78,68.38,3847467,ok
2020-12-30,68.59,70.91,68.49,70.6,2906007,ok
2020-12-31,70.5,70.74,69.76,69.94,2003500,ok
2021-01-04,70.61,71.29,68.56,69.88,2714167,ok
2021-01-05,70.0,73.78,70.0,71.75,3907023,ok
2021-01-06,73.01,73.42,70.34,71.22,5097922,ok
2021-01-07,71.5,73.311,70.784,71.86,2568254,ok
2021-01-08,72.51,72.6,70.34,70.71,2683622,ok
2021-01-11,69.0,72.8,68.6801,72.27,4944577,ok
2021-01-12,72.72,74.07,71.64,73.74,2649654,ok
2021-01-13,73.5,73.7,71.53,71.77,2520582,ok
2021-01-14,72.03,74.95,72.0,74.14,3028678,ok
2021-01-15,73.15,73.455,70.93,71.74,3413699,ok
2021-01-19,72.72,75.17,72.08,74.78,2976262,ok
2021-01-20,75.4,75.96,73.94,75.39,2566771,ok
2021-01-21,74.56,75.41,72.63,73.16,2698745,ok
2021-01-22,71.7,73.09,71.1471,72.55,2563594,ok
2021-01-25,72.0,73.2,71.03,72.08,3003634,ok
2021-01-26,72.85,74.08,71.26,71.31,2056790,ok
2021-01-27,70.22,73.18,69.7,71.2,3080395,ok
2021-01-28,71.7,72.62,70.56,71.45,2654497,ok
2021-01-29,69.3,71.4,67.39,67.8,5732821,ok
2021-02-01,68.34,68.45,65.38,67.38,2968958,ok
2021-02-02,69.16,70.15,67.6129,68.66,2324929,ok
2021-02-03,68.66,71.39,68.66,71.29,2599046,ok
2021-02-04,71.56,72.6,70.7358,71.93,1997224,ok
2021-02-05,73.15,73.51,71.35,72.04,2466668,ok
2021-02-08,72.8,76.14,72.55,75.79,2678792,ok
2021-02-09,75.45,75.56,73.84,74.53,2644898,ok
2021-02-10,74.8,76.78,74.45,76.72,2231573,ok
2021-02-11,76.4,77.26,74.85,77.24,2307966,ok
2021-02-12,77.06,77.79,76.24,77.23,1954789,ok
2021-02-16,78.89,80.6,78.1,79.39,2763706,ok
2021-02-17,80.0,80.9141,78.23,80.64,2135756,ok
2021-02-18,80.17,80.59,78.91,80.05,2074993,ok
2021-02-19,79.77,82.98,79.51,82.31,3401823,ok
2021-02-22,81.47,85.37,81.16,83.96,3213866,ok
2021-02-23,85.25,85.99,82.3875,85.53,2557175,ok
2021-02-24,85.85,87.94,85.53,87.25,3540784,ok
2021-02-25,88.0,88.05,84.21,84.64,2766973,ok
2021-02-26,83.92,84.44,80.16,83.05,4790763,ok
2021-03-01,85.05,85.75,84.1,84.7,2231004,ok
2021-03-02,84.26,85.34,82.19,82.27,2354128,ok
2021-03-03,83.12,85.62,82.81,83.84,2352430,ok
