Date,Open,High,Low,Close,Volume,Status
2020-01-02,152.02,153.15,151.17,152.34,980388,ok
2020-01-03,155.0,156.42,152.885,153.35,1782547,ok
2020-01-06,154.91,159.01,153.02,158.11,2126320,ok
2020-01-07,157.55,157.8,155.65,156.95,1347082,ok
2020-01-08,157.96,158.89,150.7,152.08,2125393,ok
2020-01-09,152.09,152.85,149.55,152.23,1516185,ok
2020-01-10,151.63,151.73,148.85,149.4,1976157,ok
2020-01-13,149.29,149.55,146.47,146.78,2104896,ok
2020-01-14,146.69,148.11,145.07,146.78,1583193,ok
2020-01-15,146.04,146.4667,144.05,145.4,1249026,ok
2020-01-16,146.39,149.31,146.07,146.99,1419394,ok
2020-01-17,147.83,148.88,146.88,148.79,1812774,ok
2020-01-21,147.91,149.54,146.64,147.35,1273269,ok
2020-01-22,146.75,146.8299,144.09,144.63,1519190,ok
2020-01-23,143.09,143.2957,140.08,140.43,1974771,ok
2020-01-24,140.1,142.255,139.11,142.03,1266261,ok
2020-01-27,138.37,138.865,134.97,135.39,1652396,ok
2020-01-28,137.17,141.83,136.4,140.97,2173374,ok
2020-01-29,141.78,142.6,138.84,138.92,1077176,ok
2020-01-30,136.9,139.475,134.7,137.53,1663137,ok
2020-01-31,135.03,135.84,133.5,135.0,1601157,ok
2020-02-03,135.26,136.09,132.29,132.57,1335555,ok
2020-02-04,135.85,138.99,134.96,135.9,2073400,ok
2020-02-05,138.95,142.97,138.59,142.19,1402693,ok
2020-02-06,142.82,142.82,139.944,140.44,918319,ok
2020-02-07,138.75,139.31,136.62,137.82,1041651,ok
2020-02-10,136.76,137.19,135.48,136.75,1193561,ok
2020-02-11,139.38,139.39,135.837,136.13,1654025,ok
2020-02-12,138.72,139.86,136.865,137.61,1170676,ok
2020-02-13,136.52,140.58,136.12,140.04,1399046,ok
2020-02-14,140.6,141.015,137.57,139.23,936598,ok
2020-02-18,137.0,137.95,133.79,135.56,1719439,ok
2020-02-19,136.24,142.005,135.92,141.17,2390592,ok
2020-02-20,144.0,147.24,139.82,142.53,2394358,ok
2020-02-21,141.09,142.89,139.49,142.25,1403446,ok
2020-02-24,135.69,137.33,133.88,135.97,1549654,ok
