Date,Open,High,Low,Close,Volume,Status
2020-01-02,134.55,134.8,133.47,134.65,1014364,ok
2020-01-03,132.79,133.62,131.81,133.49,1229366,ok
2020-01-06,131.59,131.869,130.39,131.63,1517964,ok
2020-01-07,131.08,132.1,130.44,130.44,1225855,ok
2020-01-08,130.35,132.71,130.02,132.22,1429609,ok
2020-01-09,133.92,135.0594,132.94,133.92,1227345,ok
2020-01-10,134.17,134.49,132.69,133.19,835375,ok
2020-01-13,133.21,133.69,132.51,133.11,1244666,ok
2020-01-14,133.39,133.615,132.55,132.95,1112344,ok
2020-01-15,132.91,133.87,132.02,132.62,872885,ok
2020-01-16,133.14,134.14,132.89,134.05,800943,ok
2020-01-17,133.5,135.315,133.245,135.05,906048,ok
2020-01-21,133.2,133.35,128.22,129.68,3369914,ok
2020-01-22,130.57,131.43,128.79,129.13,1836814,ok
2020-01-23,126.73,129.77,123.47,129.59,2123127,ok
2020-01-24,129.04,129.04,124.0,126.51,2689641,ok
2020-01-27,118.59,119.48,115.82,116.91,4937645,ok
2020-01-28,119.23,121.61,117.3,120.43,2577002,ok
2020-01-29,121.48,123.82,120.735,121.64,2121332,ok
2020-01-30,115.5,120.11,115.49,119.7,4088577,ok
2020-01-31,119.71,120.6,116.68,117.08,2020103,ok
2020-02-03,116.36,119.3739,114.26,116.45,3064855,ok
2020-02-04,121.97,122.1,116.71,118.0,3308242,ok
2020-02-05,119.5,120.82,117.61,118.26,2455018,ok
2020-02-06,118.91,120.295,116.6,116.67,2518742,ok
2020-02-07,113.37,114.31,110.52,111.55,5071244,ok
2020-02-10,110.78,111.18,109.52,109.7,2737552,ok
2020-02-11,111.06,113.98,110.25,113.06,3238604,ok
2020-02-12,114.57,118.03,114.46,117.23,3994660,ok
2020-02-13,115.5,115.98,113.43,113.62,3140519,ok
2020-02-14,113.35,113.62,112.44,113.16,2555876,ok
2020-02-18,112.49,112.76,110.71,111.41,2977941,ok
2020-02-19,111.21,112.27,110.67,111.01,2531992,ok
2020-02-20,110.87,110.99,109.42,109.8,2868209,ok
2020-02-21,108.84,109.06,105.15,106.11,3352813,ok
2020-02-24,99.95,101.0,96.39,96.61,7476943,ok
2020-02-25,97.78,98.36,89.29,89.55,5906060,ok
2020-02-26,90.44,90.98,81.82,82.34,9748015,ok
2020-02-27,79.51,80.57,70.5,77.0,14785872,ok
2020-02-28,73.92,81.36,73.48,80.41,9940198,ok
2020-03-02,81.5,81.51,76.78,80.56,7890163,ok
2020-03-03,81.76,81.94,76.78,78.19,7591334,ok
2020-03-04,79.95,80.15,75.32,79.36,10264595,ok
2020-03-05,75.03,75.92,64.18,65.78,16079007,ok
2020-03-06,62.7,70.33,60.36,65.01,16949041,ok
2020-03-09,56.23,56.3,47.36,48.27,19180324,ok
2020-03-10,51.03,52.7,40.2,51.67,30322559,ok
2020-03-11,48.56,51.0,41.2,44.37,23744221,ok
2020-03-12,34.0,39.56,29.01,30.27,28866307,ok
2020-03-13,37.01,37.34,28.61,32.33,27482971,ok
2020-03-16,29.9,35.475,29.28,29.94,25379118,ok
2020-03-17,31.22,31.436,26.83,27.66,18129236,ok
2020-03-18,26.02,26.3,19.25,22.33,24554810,ok
2020-03-19,21.76,24.15,20.55,22.41,17031533,ok
2020-03-20,24.45,28.1,22.0,23.81,22221501,ok
2020-03-23,24.03,29.32,22.77,28.19,20278849,ok
2020-03-24,34.5,39.59,32.14,34.47,28057172,ok
2020-03-25,40.5,45.4499,34.71,42.41,32761429,ok
2020-03-26,42.83,49.87,37.85,40.61,35142482,ok
2020-03-27,37.51,37.53,32.8,34.5,31129213,ok
2020-03-30,32.31,32.63,28.1,29.77,25443671,ok
2020-03-31,28.64,35.65,28.3,32.17,26187364,ok
2020-04-01,30.3,30.8562,25.6,25.77,24415530,ok
2020-04-02,25.5,27.95,23.95,24.82,29239442,ok
2020-04-03,25.71,26.21,22.25,24.39,26467329,ok
2020-04-06,26.8,30.2099,25.85,29.61,33519300,ok
2020-04-07,35.31,39.75,31.65,33.55,51068301,ok
2020-04-08,34.88,37.8,33.6501,37.56,28694305,ok
2020-04-09,40.82,45.12,36.76,40.22,46354356,ok
2020-04-13,36.32,36.7,33.25,33.37,34049155,ok
2020-04-14,35.95,39.0,35.3601,37.84,32458605,ok
2020-04-15,35.02,37.8499,34.4,36.98,22565520,ok
2020-04-16,36.5,37.0664,33.01,34.01,24760159,ok
2020-04-17,37.11,37.61,35.0001,37.39,24741660,ok
2020-04-20,35.51,37.21,34.91,35.99,15152980,ok
2020-04-21,34.5,35.77,33.5,34.43,15515170,ok
2020-04-22,35.34,35.74,33.62,34.01,9862267,ok
2020-04-23,34.37,37.2,34.13,36.88,21503967,ok
2020-04-24,37.1,37.48,35.0,35.68,14786617,ok
2020-04-27,36.33,39.58,35.86,39.47,19029190,ok
2020-04-28,41.9,43.01,39.5702,41.59,23428785,ok
2020-04-29,45.0,48.6,44.4207,48.06,28659812,ok
2020-04-30,47.51,48.56,44.38,46.77,21274406,ok
2020-05-01,43.13,44.74,40.6,40.77,20273753,ok
2020-05-04,37.61,41.7459,37.02,41.37,22844934,ok
2020-05-05,41.63,42.27,37.02,37.2,25370147,ok
2020-05-06,38.21,38.5,36.0,36.11,15416942,ok
2020-05-07,36.48,38.97,36.45,38.03,13834896,ok
2020-05-08,40.3,41.39,38.55,39.92,15961923,ok
2020-05-11,39.11,39.48,37.78,38.07,9389627,ok
2020-05-12,38.95,39.22,36.32,36.34,10499859,ok
2020-05-13,36.98,37.01,33.4,34.53,22563476,ok
2020-05-14,33.0,35.8695,31.41,35.15,22829514,ok
2020-05-15,34.4,38.27,34.37,37.45,18249390,ok
2020-05-18,41.2,44.98,41.2,43.7,29413808,ok
2020-05-19,43.76,44.31,40.92,42.15,17966899,ok
2020-05-20,43.2,43.62,39.71,40.73,22451035,ok
2020-05-21,41.2,45.07,40.35,43.35,28093768,ok
2020-05-22,44.65,45.4,42.02,43.14,15272571,ok
2020-05-26,47.11,50.36,46.67,49.56,27211788,ok
2020-05-27,54.14,55.32,49.3,54.29,31922248,ok
2020-05-28,53.44,54.7,51.332,51.7,21540057,ok
2020-05-29,50.0,52.8199,49.0906,51.87,19136671,ok
2020-06-01,52.0,56.07,51.56,55.64,19950829,ok
2020-06-02,57.26,58.44,55.39,56.0,18215976,ok
2020-06-03,54.7,58.8,54.6,58.11,18385764,ok
2020-06-04,57.45,60.32,55.58,57.69,33102083,ok
2020-06-05,64.86,74.5899,64.6,69.44,61286488,ok
2020-06-08,75.06,75.55,70.1,75.12,32661339,ok
2020-06-09,70.83,71.7175,66.63,69.91,22273608,ok
2020-06-10,67.84,67.84,60.8,63.59,25167025,ok
2020-06-11,56.02,60.0,54.07,54.51,29730940,ok
2020-06-12,60.6,62.7,57.0,61.18,25974147,ok
2020-06-15,55.75,61.78,55.32,60.83,20472964,ok
2020-06-16,66.5001,66.89,60.54,62.5,21519752,ok
2020-06-17,59.01,60.24,56.76,58.03,21778857,ok
2020-06-18,56.55,61.6936,56.21,59.35,21486037,ok
2020-06-19,60.96,61.12,54.72,55.27,24765448,ok
2020-06-22,53.5,54.14,50.35,51.86,26220991,ok
2020-06-23,52.62,54.6,51.35,54.36,18591799,ok
2020-06-24,51.9,52.46,46.52,48.24,26872922,ok
2020-06-25,45.35,49.1899,45.25,48.58,21698756,ok
2020-06-26,48.62,48.91,45.43,46.41,14396002,ok
2020-06-29,46.09,50.49,45.06,50.3,17409072,ok
2020-06-30,49.6,50.77,47.78,50.3,14818996,ok
2020-07-01,51.99,55.62,50.45,50.83,17917144,ok
2020-07-02,52.97,53.62,49.36,49.51,13823707,ok
2020-07-06,50.29,51.49,47.89,50.02,13304470,ok
2020-07-07,48.91,49.75,47.42,47.56,9986214,ok
2020-07-08,46.97,50.43,46.51,50.07,12332652,ok
2020-07-09,50.92,51.1,46.545,47.12,13952513,ok
2020-07-10,47.03,51.95,46.13,51.77,20560032,ok
