Date,Open,High,Low,Close,Volume,Status
2020-01-02,277.9,278.295,274.89,278.15,181334,ok
2020-01-03,275.46,278.27,275.46,277.24,162435,ok
2020-01-06,277.09,277.75,275.49,276.59,265330,ok
2020-01-07,275.85,276.63,274.03,274.17,244334,ok
2020-01-08,274.92,277.2,273.33,273.34,225658,ok
2020-01-09,273.59,276.87,273.59,276.24,193775,ok
2020-01-10,275.98,277.27,273.57,274.83,220677,ok
2020-01-13,274.56,276.69,274.56,275.96,158679,ok
2020-01-14,273.49,276.35,273.49,274.65,203370,ok
2020-01-15,274.32,276.58,273.03,275.54,206742,ok
2020-01-16,276.97,278.41,276.39,277.43,264239,ok
2020-01-17,278.65,281.45,278.65,279.97,205890,ok
2020-01-21,280.0,280.95,278.65,280.0,398417,ok
2020-01-22,280.19,281.09,278.89,281.0,561566,ok
2020-01-23,278.99,281.14,276.33,280.92,336379,ok
2020-01-24,280.87,281.98,275.475,277.35,258759,ok
2020-01-27,274.43,275.63,272.63,272.68,173942,ok
2020-01-28,273.89,276.86,273.89,275.14,214891,ok
2020-01-29,275.16,276.365,273.62,274.62,192539,ok
2020-01-30,273.07,277.1,271.94,276.88,214084,ok
2020-01-31,276.0,278.87,275.86,276.57,454241,ok
2020-02-03,277.11,281.14,276.66,279.59,288078,ok
2020-02-04,281.49,282.33,277.59,277.59,236412,ok
2020-02-05,278.99,283.31,278.64,283.3,344901,ok
2020-02-06,283.94,284.27,280.26,280.45,374292,ok
2020-02-07,279.51,285.85,279.51,282.58,229113,ok
2020-02-10,282.08,285.96,281.78,285.88,215148,ok
2020-02-11,287.63,294.31,284.26,291.64,411872,ok
2020-02-12,291.96,291.96,284.91,287.68,243346,ok
2020-02-13,287.03,291.8,287.03,291.78,233947,ok
2020-02-14,292.06,293.9,289.66,291.37,209703,ok
2020-02-18,290.5,290.6,287.18,289.79,205942,ok
2020-02-19,291.24,291.84,289.53,290.58,243691,ok
2020-02-20,289.0,290.06,285.24,287.93,160494,ok
2020-02-21,287.4,289.95,286.97,289.85,235022,ok
2020-02-24,285.56,287.44,281.17,283.04,593056,ok
2020-02-25,282.44,283.62,277.67,278.55,438535,ok
2020-02-26,280.11,281.06,273.23,273.23,348967,ok
2020-02-27,270.49,274.36,261.8,261.81,354072,ok
2020-02-28,256.84,257.84,242.23,247.88,676664,ok
2020-03-02,248.01,260.1,247.74,258.16,771684,ok
2020-03-03,258.15,262.0,251.25,253.44,439416,ok
2020-03-04,256.98,269.59,255.51,269.39,302667,ok
2020-03-05,263.12,263.92,254.2,257.18,304430,ok
2020-03-06,249.34,255.0,246.53,253.51,334191,ok
