Date,Open,High,Low,Close,Volume,Status
2020-01-02,63.47,63.47,61.53,61.68,759332,ok
2020-01-03,61.61,62.49,61.39,62.41,833529,ok
2020-01-06,62.43,63.01,62.17,62.57,618258,ok
2020-01-07,62.4,62.41,61.27,61.68,557151,ok
2020-01-08,61.8,62.51,61.66,62.175,767718,ok
2020-01-09,62.0,62.1,61.22,61.55,875648,ok
2020-01-10,61.63,62.11,61.24,61.92,1207793,ok
2020-01-13,61.86,62.2197,61.72,62.12,804048,ok
2020-01-14,62.13,62.73,61.81,62.66,986217,ok
2020-01-15,63.02,63.33,62.56,63.05,785536,ok
2020-01-16,63.31,63.47,62.9903,63.25,605037,ok
2020-01-17,63.22,63.71,63.14,63.2,750489,ok
2020-01-21,63.38,64.0,63.03,63.85,666950,ok
2020-01-22,63.73,64.31,63.44,63.61,503439,ok
2020-01-23,63.77,64.105,63.22,64.08,437053,ok
2020-01-24,63.88,64.08,63.4,63.785,459777,ok
2020-01-27,63.33,63.64,63.05,63.33,604276,ok
2020-01-28,63.16,63.98,63.13,63.75,762520,ok
2020-01-29,63.59,63.85,62.925,62.97,436228,ok
2020-01-30,62.79,62.98,61.9,62.39,672468,ok
2020-01-31,62.37,62.42,61.72,62.04,799343,ok
2020-02-03,62.39,62.75,61.82,61.92,1091798,ok
2020-02-04,63.49,63.59,61.97,62.65,1312441,ok
2020-02-05,62.79,63.59,62.63,63.44,682727,ok
2020-02-06,63.69,64.05,63.36,63.51,448023,ok
2020-02-07,63.54,63.8,62.88,63.12,382816,ok
2020-02-10,63.52,63.85,63.22,63.8,728789,ok
2020-02-11,63.77,64.36,62.31,62.65,690253,ok
2020-02-12,62.69,62.955,62.18,62.31,1645823,ok
2020-02-13,62.31,63.4,61.9,62.83,1595673,ok
2020-02-14,63.13,64.09,62.44,64.02,1358698,ok
2020-02-18,64.12,64.65,63.7,64.24,749666,ok
2020-02-19,64.23,64.29,63.08,63.34,718814,ok
2020-02-20,63.37,64.13,63.34,64.06,949437,ok
2020-02-21,63.32,64.11,63.1868,63.68,1069238,ok
2020-02-24,63.32,64.06,63.03,63.42,868584,ok
2020-02-25,63.38,63.51,61.71,61.86,1801297,ok
2020-02-26,61.91,63.74,61.4,61.45,2050053,ok
2020-02-27,61.25,61.29,58.37,58.46,1796834,ok
2020-02-28,57.74,57.76,55.45,57.44,2945335,ok
2020-03-02,57.67,60.395,57.51,60.29,1555895,ok
2020-03-03,60.17,61.42,58.67,58.92,1558233,ok
2020-03-04,60.07,62.34,59.16,62.06,1555417,ok
2020-03-05,60.71,61.74,59.86,61.71,1221609,ok
2020-03-06,60.04,60.65,58.58,60.44,2133063,ok
2020-03-09,57.18,57.9,55.8,56.2,1514076,ok
2020-03-10,57.29,58.13,54.85,57.98,1435458,ok
2020-03-11,56.52,56.81,54.47,55.35,2340283,ok
2020-03-12,52.21,54.54,50.91,51.64,2390493,ok
2020-03-13,53.77,55.48,51.45,55.25,2677870,ok
2020-03-16,50.8,51.91,44.88,44.94,2230456,ok
2020-03-17,46.16,48.32,42.34,47.68,2169609,ok
2020-03-18,45.12,45.29,36.76,37.79,1820281,ok
2020-03-19,37.76,40.53,35.21,37.53,1660458,ok
2020-03-20,37.72,39.91,34.47,35.3,2502655,ok
2020-03-23,35.32,35.78,32.84,34.88,2953880,ok
2020-03-24,36.94,39.61,35.77,39.45,2582945,ok
2020-03-25,41.52,43.81,38.96,41.24,1841406,ok
2020-03-26,41.75,42.99,38.59,42.34,1909105,ok
2020-03-27,40.64,41.53,39.72,40.49,1880153,ok
2020-03-30,40.43,42.45,38.78,39.95,1944674,ok
2020-03-31,39.57,40.42,37.43,38.43,2193506,ok
2020-04-01,36.39,36.41,34.4,35.535,2015973,ok
2020-04-02,34.94,36.38,32.2,33.2,1938141,ok
2020-04-03,33.21,34.11,31.8,32.27,2190259,ok
2020-04-06,36.09,37.43,34.48,35.15,2814761,ok
2020-04-07,37.72,38.72,36.63,36.77,2760928,ok
