Date,Open,High,Low,Close,Volume,Status
2020-01-02,63.45,63.75,62.81,63.75,864847,ok
2020-01-03,62.6,63.36,62.55,63.31,1667671,ok
2020-01-06,62.77,63.09,62.51,62.81,991256,ok
2020-01-07,63.01,63.18,62.48,62.85,1239667,ok
2020-01-08,62.88,63.455,62.77,62.92,1025188,ok
2020-01-09,63.27,63.7,62.96,63.56,917858,ok
2020-01-10,63.5,63.74,62.85,63.08,698068,ok
2020-01-13,63.18,63.26,62.33,62.48,1121575,ok
2020-01-14,62.32,62.95,62.32,62.61,1108508,ok
2020-01-15,62.44,63.25,62.305,63.02,773570,ok
2020-01-16,63.27,63.77,63.21,63.48,1676781,ok
2020-01-17,63.75,63.84,63.055,63.34,874597,ok
2020-01-21,63.0,63.175,62.3762,62.58,885688,ok
2020-01-22,62.85,62.98,62.08,62.32,627462,ok
2020-01-23,61.98,62.745,61.33,62.54,783688,ok
2020-01-24,62.52,62.54,61.41,61.95,616707,ok
2020-01-27,60.83,61.45,60.51,61.18,984308,ok
2020-01-28,61.49,61.49,60.65,61.05,1043984,ok
2020-01-29,61.35,61.66,61.05,61.05,779286,ok
2020-01-30,60.69,60.76,59.79,60.63,1384429,ok
2020-01-31,60.87,62.43,57.95,58.17,1891020,ok
2020-02-03,58.38,59.19,58.15,58.22,1172318,ok
2020-02-04,59.22,59.51,58.71,59.38,1006102,ok
2020-02-05,60.15,61.3493,60.11,61.13,1030167,ok
2020-02-06,61.28,61.35,60.04,60.07,898213,ok
2020-02-07,59.58,59.81,59.09,59.23,559445,ok
2020-02-10,59.02,59.45,58.76,59.38,606627,ok
2020-02-11,59.78,60.42,59.78,60.02,413912,ok
2020-02-12,60.18,61.33,60.18,61.12,561775,ok
2020-02-13,61.17,61.17,60.29,60.4,531518,ok
2020-02-14,60.32,60.81,60.04,60.2,431658,ok
2020-02-18,59.91,59.93,58.97,59.38,642562,ok
2020-02-19,59.43,59.83,59.0,59.5,771634,ok
2020-02-20,59.18,59.9,58.93,59.26,699362,ok
2020-02-21,58.84,59.61,58.44,59.21,980337,ok
2020-02-24,57.11,57.3,56.32,56.67,1311200,ok
2020-02-25,56.52,56.887,53.38,53.46,1059987,ok
2020-02-26,53.89,54.31,52.25,52.26,1274039,ok
2020-02-27,51.17,52.53,50.25,50.76,1309716,ok
2020-02-28,48.89,50.5,48.74,50.41,2499483,ok
