Date,Open,High,Low,Close,Volume,Status
2020-01-02,117.95,118.94,116.92,118.79,781086,ok
2020-01-03,116.5,118.4061,116.47,118.16,551707,ok
2020-01-06,116.66,119.87,116.66,119.81,1085081,ok
2020-01-07,119.94,121.56,119.25,120.33,675386,ok
2020-01-08,120.8,121.48,118.93,120.0,720893,ok
2020-01-09,119.41,120.1,116.8,117.93,876977,ok
2020-01-10,117.77,118.8,117.1,117.96,438704,ok
2020-01-13,118.0,119.93,117.77,119.85,683446,ok
2020-01-14,120.38,121.205,119.42,119.49,641777,ok
2020-01-15,118.93,119.63,117.75,118.35,500865,ok
2020-01-16,119.41,120.35,119.21,120.31,397525,ok
2020-01-17,120.7,122.14,120.2,122.1,687550,ok
2020-01-21,122.11,122.13,118.52,119.01,1174919,ok
2020-01-22,118.77,119.45,117.21,117.27,537673,ok
2020-01-23,115.86,118.39,114.1,118.02,606480,ok
2020-01-24,118.1,118.82,115.095,116.23,560436,ok
2020-01-27,113.32,114.42,112.59,112.96,815315,ok
2020-01-28,114.02,114.02,111.27,112.66,1346111,ok
2020-01-29,113.65,114.79,112.73,113.19,776453,ok
2020-01-30,111.98,116.45,111.85,116.25,793391,ok
2020-01-31,116.41,116.41,112.89,113.5,1129415,ok
2020-02-03,114.16,114.625,113.11,113.26,1540523,ok
2020-02-04,124.01,126.95,120.0,123.68,2715093,ok
2020-02-05,124.89,128.29,121.95,122.51,1424090,ok
2020-02-06,123.55,124.445,121.36,121.42,846522,ok
2020-02-07,120.24,122.04,119.46,120.56,808976,ok
2020-02-10,120.07,120.89,119.52,120.65,775539,ok
2020-02-11,120.91,121.3725,119.45,120.37,757005,ok
2020-02-12,121.44,124.18,121.44,123.69,746098,ok
2020-02-13,121.9,123.17,120.61,122.98,758766,ok
2020-02-14,122.45,122.735,120.36,121.84,883945,ok
2020-02-18,121.08,122.58,120.6,120.61,956696,ok
2020-02-19,120.94,121.36,119.06,119.8,856512,ok
2020-02-20,119.47,121.9,118.9,121.86,824743,ok
2020-02-21,120.63,121.2,116.8,117.46,914570,ok
2020-02-24,110.0,110.98,108.41,109.61,1429132,ok
2020-02-25,111.13,111.13,102.09,102.76,1526524,ok
2020-02-26,103.61,105.51,101.4,101.58,1524064,ok
2020-02-27,98.64,104.53,97.22,101.61,2105867,ok
2020-02-28,98.04,105.52,98.04,105.51,1680882,ok
2020-03-02,105.71,107.61,103.96,107.61,1555572,ok
2020-03-03,107.95,111.64,104.63,106.43,3346983,ok
2020-03-04,108.09,110.82,106.61,110.54,1875892,ok
2020-03-05,107.26,109.58,106.28,108.19,1585409,ok
2020-03-06,105.19,106.14,104.03,105.77,2192421,ok
2020-03-09,99.0,101.13,93.91,94.99,1917457,ok
2020-03-10,99.28,99.45,92.62,98.91,981755,ok
2020-03-11,96.09,96.09,90.18,90.67,1228168,ok
2020-03-12,84.82,87.44,77.84,79.67,1801648,ok
2020-03-13,82.6,84.99,76.6508,83.67,1548989,ok
2020-03-16,70.28,75.32,66.73,71.6,1593884,ok
2020-03-17,72.12,78.23,64.28,73.51,1823743,ok
2020-03-18,69.95,74.21,69.85,73.59,2113401,ok
2020-03-19,71.39,78.965,69.3,70.52,2159451,ok
2020-03-20,72.1,72.84,66.38,66.61,1366590,ok
2020-03-23,65.91,69.48,62.01,65.4,1794809,ok
2020-03-24,68.96,71.46,66.02,69.47,1329595,ok
2020-03-25,70.73,74.92,66.63,70.6,1414617,ok
2020-03-26,71.07,77.2,69.42,74.32,1692588,ok
2020-03-27,71.41,71.81,65.9,67.99,1274737,ok
2020-03-30,67.75,72.28,67.22,71.26,1195282,ok
2020-03-31,70.42,73.04,66.71,66.83,1491806,ok
2020-04-01,63.75,66.15,62.28,65.69,2076183,ok
2020-04-02,65.0,68.8,63.57,65.97,1705734,ok
2020-04-03,64.3,64.5,59.82,61.0,2030984,ok
2020-04-06,64.6,70.55,64.1,68.6,2010753,ok
2020-04-07,73.16,80.65,72.37,73.79,2485536,ok
2020-04-08,75.3,78.14,75.125,76.16,1248004,ok
2020-04-09,78.18,82.67,78.16,80.41,1020941,ok
2020-04-13,79.56,80.02,73.85,75.97,963088,ok
2020-04-14,77.58,78.0,74.63,76.5,1091093,ok
2020-04-15,73.38,73.62,68.77,69.58,1207349,ok
2020-04-16,70.19,70.39,67.67,68.52,965192,ok
2020-04-17,71.53,74.98,71.19,72.68,1142228,ok
2020-04-20,71.01,72.36,68.89,69.58,691764,ok
2020-04-21,67.0,68.95,66.36,68.32,1438752,ok
2020-04-22,69.64,69.89,66.98,67.03,974285,ok
2020-04-23,67.31,69.68,66.66,68.95,927120,ok
2020-04-24,69.43,70.4451,67.16,68.3,807968,ok
2020-04-27,70.08,75.39,69.7,74.82,1050314,ok
2020-04-28,78.86,81.06,75.8833,78.45,1560041,ok
2020-04-29,81.04,83.56,80.7,80.97,1561391,ok
