Date,Open,High,Low,Close,Volume,Status
2020-01-02,155.4,156.17,154.04,156.11,400443,ok
2020-01-03,154.09,155.94,153.12,155.29,417165,ok
2020-01-06,154.96,156.12,153.85,156.03,449287,ok
2020-01-07,155.01,156.09,154.7315,155.15,352234,ok
2020-01-08,155.73,157.5,154.18,156.27,474772,ok
2020-01-09,157.08,158.43,156.57,157.58,444666,ok
2020-01-10,158.0,158.46,155.87,156.89,392924,ok
2020-01-13,157.4,158.58,156.445,158.27,383627,ok
2020-01-14,157.48,158.42,156.95,158.32,312111,ok
2020-01-15,158.43,159.73,157.9,158.72,408888,ok
2020-01-16,159.52,160.75,158.2,160.73,725298,ok
2020-01-17,160.98,161.98,160.24,160.57,475831,ok
2020-01-21,160.39,162.31,160.01,161.94,506493,ok
2020-01-22,162.9,165.0,161.84,164.38,386256,ok
2020-01-23,163.56,164.13,160.89,161.39,531873,ok
2020-01-24,161.53,163.0994,160.81,162.39,549480,ok
2020-01-27,160.0,161.8,159.57,160.62,444043,ok
2020-01-28,161.24,164.42,161.24,163.3,533577,ok
2020-01-29,164.14,167.05,164.11,165.84,571640,ok
2020-01-30,164.31,165.52,162.99,165.44,619459,ok
2020-01-31,164.38,166.03,158.16,158.97,1157520,ok
2020-02-03,159.46,163.99,159.23,163.14,734959,ok
2020-02-04,165.44,167.65,164.92,166.85,708701,ok
2020-02-05,168.31,169.05,166.96,167.74,556010,ok
2020-02-06,168.18,170.57,167.13,170.51,379360,ok
2020-02-07,170.25,171.64,168.76,171.46,465079,ok
2020-02-10,171.07,173.29,170.815,173.19,487530,ok
2020-02-11,174.18,174.9,173.04,174.35,356720,ok
2020-02-12,173.51,174.73,172.4683,172.76,555072,ok
2020-02-13,172.59,175.16,172.28,174.88,497807,ok
2020-02-14,175.05,176.7,173.95,176.6,318328,ok
2020-02-18,176.14,176.86,174.18,174.8,637472,ok
2020-02-19,175.53,177.99,175.02,176.62,378027,ok
2020-02-20,176.4,176.53,172.51,176.0,290663,ok
2020-02-21,175.37,175.7,173.54,173.88,448201,ok
2020-02-24,169.92,171.45,168.26,169.83,436933,ok
2020-02-25,170.25,170.9,164.79,165.81,434870,ok
2020-02-26,165.96,169.72,165.55,165.92,479571,ok
2020-02-27,164.03,168.05,162.66,162.72,632628,ok
2020-02-28,158.85,160.15,153.03,158.96,1247915,ok
2020-03-02,160.5,168.91,160.05,168.75,1258805,ok
2020-03-03,168.68,171.91,162.6391,165.24,918938,ok
2020-03-04,168.3,175.26,167.52,174.82,1098348,ok
2020-03-05,172.16,172.8675,168.16,170.75,975542,ok
