Date,Open,High,Low,Close,Volume,Status
2020-01-02,203.82,205.64,202.6,205.64,588033,ok
2020-01-03,201.91,203.23,200.51,202.64,542613,ok
2020-01-06,201.48,204.32,200.92,204.25,1007160,ok
2020-01-07,204.5,205.2695,202.25,203.83,715876,ok
2020-01-08,202.78,206.8,200.52,205.38,671085,ok
2020-01-09,206.71,207.94,204.97,207.17,676054,ok
2020-01-10,207.04,207.62,204.7,205.09,777225,ok
2020-01-13,205.0,206.6,204.65,206.58,547411,ok
2020-01-14,206.58,206.58,202.3,202.9,805008,ok
2020-01-15,202.51,205.415,201.64,202.23,711595,ok
2020-01-16,203.63,205.32,202.57,205.26,562852,ok
2020-01-17,205.78,206.545,204.49,204.74,594620,ok
2020-01-21,203.52,204.32,201.37,201.79,719171,ok
2020-01-22,203.63,203.87,199.09,199.38,682857,ok
2020-01-23,199.67,202.77,196.75,202.3,766188,ok
2020-01-24,202.75,203.15,197.87,199.72,631313,ok
2020-01-27,195.33,196.08,193.61,193.92,835672,ok
2020-01-28,195.8,197.44,194.16,196.67,1165309,ok
2020-01-29,196.0,199.39,193.325,196.17,1163006,ok
2020-01-30,194.39,196.35,189.76,194.81,1151085,ok
2020-01-31,193.45,194.31,190.4,191.66,1250386,ok
2020-02-03,192.85,197.16,192.49,194.56,1019939,ok
2020-02-04,198.66,203.0,198.66,202.39,843390,ok
2020-02-05,204.93,205.93,203.41,205.27,762771,ok
2020-02-06,206.44,206.44,203.65,205.03,491665,ok
2020-02-07,203.63,204.29,202.07,202.72,583085,ok
2020-02-10,201.86,203.95,201.42,203.82,500047,ok
2020-02-11,204.44,205.88,203.5,203.96,534749,ok
2020-02-12,205.7,206.46,203.77,205.85,614694,ok
2020-02-13,204.55,205.91,200.63,201.15,572295,ok
2020-02-14,200.64,201.24,198.65,200.68,454958,ok
2020-02-18,199.45,199.92,197.07,198.74,560739,ok
2020-02-19,199.69,200.55,197.2,200.36,678032,ok
2020-02-20,200.12,205.43,199.6766,205.31,892958,ok
2020-02-21,203.47,209.605,202.22,209.37,1162589,ok
2020-02-24,200.94,203.38,199.795,202.76,1502593,ok
2020-02-25,203.56,204.815,196.09,196.87,1120376,ok
2020-02-26,198.58,201.99,194.89,195.16,854930,ok
2020-02-27,189.89,195.04,186.11,186.2,1363542,ok
2020-02-28,179.58,184.42,177.75,183.5,1587676,ok
2020-03-02,184.67,191.07,183.28,190.59,1649793,ok
2020-03-03,190.4,198.1,183.58,183.94,1629170,ok
2020-03-04,187.37,192.67,185.0,192.25,991441,ok
2020-03-05,185.52,189.56,182.76,183.4,1228107,ok
2020-03-06,177.69,180.94,174.5,178.85,1321104,ok
