Date,Open,High,Low,Close,Volume,Status
2020-01-02,135.02,137.15,135.02,136.87,2321,ok
2020-01-03,135.3,137.81,135.17,137.61,2662,ok
2020-01-06,137.77,143.66,137.77,143.25,7064,ok
2020-01-07,143.16,143.16,138.25,138.34,2704,ok
2020-01-08,136.6,136.82,133.24,135.0,2450,ok
2020-01-09,136.67,137.4,132.71,133.75,8097,ok
2020-01-10,131.45,132.21,128.16,128.36,11010,ok
2020-01-13,130.15,134.98,126.8,133.88,5389,ok
2020-01-14,134.89,135.3,132.43,133.38,3346,ok
2020-01-15,134.05,134.11,132.39,132.4,3243,ok
2020-01-16,133.25,133.25,128.87,130.95,1430,ok
2020-01-17,130.77,131.14,130.2,130.2,3999,ok
2020-01-21,131.74,137.23,131.74,136.69,8266,ok
2020-01-22,138.84,140.17,132.35,132.35,2870,ok
2020-01-23,132.75,134.34,129.82,134.34,2291,ok
2020-01-24,130.75,130.75,129.77,130.04,1924,ok
2020-01-27,126.07,126.4,124.3,126.24,1889,ok
2020-01-28,126.5,129.88,125.76,129.68,3427,ok
2020-01-29,129.72,129.75,129.4,129.4,854,ok
2020-01-30,127.23,130.63,127.23,130.6,2367,ok
2020-01-31,127.24,127.24,120.74,120.95,17596,ok
2020-02-03,127.57,128.34,127.34,127.34,1921,ok
2020-02-04,132.48,132.75,129.4,131.03,10031,ok
2020-02-05,131.91,131.91,125.73,125.73,4521,ok
2020-02-06,124.83,128.43,124.83,126.0,989,ok
2020-02-07,124.06,124.29,124.0,124.29,3835,ok
2020-02-10,127.51,132.26,127.51,132.2,1804,ok
2020-02-11,135.5,142.38,134.99,137.04,12034,ok
2020-02-12,140.17,141.11,138.17,138.38,3933,ok
2020-02-13,140.65,141.62,138.52,139.115,16943,ok
2020-02-14,147.78,149.75,129.06,130.59,22461,ok
2020-02-18,130.05,133.2,125.55,127.04,9085,ok
2020-02-19,126.88,131.22,126.88,127.67,8935,ok
2020-02-20,125.8,127.75,122.04,123.71,6743,ok
2020-02-21,121.8,121.95,118.76,119.36,11084,ok
2020-02-24,109.0,117.75,109.0,117.12,8579,ok
2020-02-25,118.97,120.23,113.86,119.21,31596,ok
2020-02-26,118.2,118.25,112.52,112.52,2270,ok
2020-02-27,109.85,114.7,107.835,110.4,7941,ok
2020-02-28,108.03,113.27,108.03,113.14,7776,ok
2020-03-02,115.7,115.87,111.66,114.35,5759,ok
2020-03-03,111.98,113.15,108.19,108.855,5154,ok
2020-03-04,109.63,109.95,108.39,109.41,1319,ok
2020-03-05,107.58,109.76,105.92,106.6,12115,ok
2020-03-06,104.01,104.01,99.57,102.08,4611,ok
2020-03-09,95.13,101.56,95.13,96.2,4078,ok
2020-03-10,99.24,99.24,93.01,97.07,4758,ok
2020-03-11,95.23,95.23,89.52,90.89,2592,ok
2020-03-12,81.01,86.43,79.21,79.3,16056,ok
2020-03-13,82.59,82.59,75.07,80.72,13594,ok
2020-03-16,71.79,75.66,63.92,63.92,6925,ok
2020-03-17,60.07,75.69,58.41,69.42,27366,ok
2020-03-18,66.66,67.9,63.07,67.79,4791,ok
2020-03-19,71.65,74.13,70.9,73.0,2760,ok
2020-03-20,77.72,77.72,75.77,76.32,1439,ok
2020-03-23,82.99,90.04,80.8,90.04,11658,ok
2020-03-24,97.17,100.4,92.88,96.57,14978,ok
2020-03-25,98.74,99.45,89.11,95.64,19157,ok
2020-03-26,93.99,94.98,87.41,89.79,12836,ok
2020-03-27,85.35,88.75,84.1,87.57,6816,ok
2020-03-30,89.9,90.07,89.58,89.82,2298,ok
2020-03-31,91.2,94.1,87.88,87.88,2485,ok
2020-04-01,84.98,86.11,81.86,82.63,16167,ok
2020-04-02,84.5,84.5,82.57,82.57,2112,ok
2020-04-03,83.15,83.15,80.0,80.17,3477,ok
2020-04-06,84.0,90.32,84.0,89.54,2233,ok
2020-04-07,89.49,89.49,87.0,87.0,701,ok
2020-04-08,90.63,91.21,87.84,87.85,4117,ok
2020-04-09,89.72,93.35,89.6,92.57,6613,ok
2020-04-13,92.67,96.56,92.67,96.56,5602,ok
2020-04-14,106.85,107.84,103.34,106.68,17227,ok
2020-04-15,102.23,112.695,102.1,112.695,3291,ok
2020-04-16,119.24,132.24,119.24,127.72,31772,ok
2020-04-17,123.58,127.88,120.4,126.48,15364,ok
2020-04-20,133.79,135.34,128.56,130.13,7554,ok
2020-04-21,131.37,132.18,120.48,124.25,16074,ok
2020-04-22,124.26,124.34,120.5,121.9,17680,ok
2020-04-23,123.8,128.24,123.05,123.05,90016,ok
2020-04-24,124.99,125.92,122.41,124.57,5809,ok
2020-04-27,127.54,128.94,127.54,128.4,2858,ok
2020-04-28,126.79,126.98,119.04,119.28,4853,ok
2020-04-29,117.16,122.1,117.16,122.1,1754,ok
2020-04-30,123.83,124.15,120.91,121.38,4067,ok
2020-05-01,121.18,121.25,112.7,114.22,3141,ok
2020-05-04,113.51,124.14,113.51,124.14,3980,ok
2020-05-05,125.25,126.1,122.44,123.7,26782,ok
2020-05-06,124.75,127.75,124.75,127.57,4202,ok
2020-05-07,132.4,138.65,132.4,137.43,25089,ok
2020-05-08,125.48,133.32,124.86,126.51,68901,ok
2020-05-11,128.85,132.75,127.0,132.33,9829,ok
2020-05-12,132.57,134.74,126.96,127.44,6646,ok
2020-05-13,127.73,127.73,114.87,117.55,24261,ok
2020-05-14,117.95,120.4,116.38,116.4,5508,ok
2020-05-15,114.6,116.05,112.78,112.87,6458,ok
2020-05-18,114.69,119.15,114.69,118.35,2984,ok
2020-05-19,119.6,119.6,115.6,116.0,5427,ok
2020-05-20,118.25,119.32,114.95,117.04,5382,ok
2020-05-21,114.28,115.01,114.28,115.01,666,ok
2020-05-22,112.31,112.31,107.99,108.19,19016,ok
2020-05-26,108.91,111.2,107.38,107.875,6441,ok
2020-05-27,107.26,108.03,102.65,106.25,5808,ok
2020-05-28,105.89,110.12,105.89,109.1,7171,ok
2020-05-29,109.89,111.7,107.7,109.53,9880,ok
2020-06-01,110.5,114.13,109.41,112.97,3695,ok
2020-06-02,114.0,114.0,110.28,110.85,8991,ok
2020-06-03,110.33,110.33,103.91,103.97,17204,ok
2020-06-04,104.1,107.66,101.91,102.88,8844,ok
2020-06-05,102.27,104.47,100.72,104.47,7124,ok
2020-06-08,105.51,112.875,105.51,112.875,9523,ok
2020-06-09,109.7,114.37,109.7,113.2,5625,ok
2020-06-10,115.96,115.96,111.5,113.84,9683,ok
2020-06-11,108.31,114.77,106.77,107.54,14780,ok
2020-06-12,109.11,109.9,106.0,108.14,2103,ok
2020-06-15,106.55,107.5,105.4,107.37,3267,ok
2020-06-16,109.56,120.68,109.56,120.68,20897,ok
2020-06-17,120.3,122.78,116.47,117.56,11163,ok
2020-06-18,119.92,128.81,119.3,127.815,9427,ok
2020-06-19,126.75,131.75,126.65,128.42,7343,ok
2020-06-22,132.34,134.02,128.81,130.11,4544,ok
2020-06-23,130.08,132.23,127.37,127.37,3720,ok
2020-06-24,127.53,127.53,122.4,123.83,3987,ok
2020-06-25,123.17,123.69,121.0,123.36,5177,ok
2020-06-26,121.83,123.3,121.83,122.83,2724,ok
2020-06-29,116.78,116.78,112.81,115.16,4252,ok
2020-06-30,115.12,117.35,115.12,116.46,6228,ok
2020-07-01,118.0,129.22,118.0,128.34,6366,ok
2020-07-02,125.92,131.52,125.92,128.68,8147,ok
2020-07-06,133.0,135.52,132.17,132.17,2269,ok
2020-07-07,134.04,135.79,129.83,130.395,4134,ok
2020-07-08,134.29,134.29,132.34,133.79,1142,ok
2020-07-09,138.26,149.97,138.26,149.81,14191,ok
2020-07-10,151.29,159.51,151.29,153.11,7511,ok
2020-07-13,159.78,162.38,147.92,148.86,7830,ok
2020-07-14,154.39,154.39,142.45,150.24,6510,ok
2020-07-15,148.8,155.73,148.8,154.075,2115,ok
2020-07-16,154.15,154.25,149.5,153.08,12806,ok
2020-07-17,151.0,151.0,148.21,148.21,3363,ok
2020-07-20,149.09,151.52,147.85,151.52,10468,ok
2020-07-21,154.89,158.25,152.77,153.11,6658,ok
2020-07-22,152.43,152.43,151.49,151.49,343,ok
2020-07-23,150.45,157.86,149.33,149.33,1788,ok
2020-07-24,147.2,151.43,147.2,151.21,1149,ok
2020-07-27,155.12,155.85,153.37,155.48,1446,ok
2020-07-28,155.03,155.03,148.77,148.78,1263,ok
2020-07-29,153.69,153.69,151.54,151.54,500,ok
2020-07-30,150.6,151.33,150.21,150.21,677,ok
2020-07-31,156.42,156.71,151.38,154.48,2254,ok
2020-08-03,161.36,163.11,157.96,162.59,4291,ok
2020-08-04,165.75,166.76,165.75,166.4,1733,ok
2020-08-05,165.54,167.35,164.71,165.67,3749,ok
2020-08-06,159.3,159.3,150.91,153.97,10201,ok
2020-08-07,159.78,159.78,154.68,156.24,2116,ok
2020-08-10,151.5,151.51,147.98,150.22,4967,ok
2020-08-11,146.69,151.55,143.41,149.24,9917,ok
2020-08-12,150.08,153.38,146.78,146.78,5720,ok
2020-08-13,149.04,150.3,149.04,150.115,1469,ok
2020-08-14,147.66,147.83,146.27,146.83,3825,ok
2020-08-17,147.24,147.24,144.33,145.5,1980,ok
2020-08-18,151.34,151.34,148.02,150.34,1502,ok
2020-08-20,147.74,150.74,147.22,150.71,1968,ok
2020-08-21,149.49,149.49,147.075,147.075,594,ok
2020-08-24,148.68,149.47,147.24,148.51,2662,ok
2020-08-25,146.855,148.04,146.58,147.78,1860,ok
2020-08-26,152.89,164.35,152.89,164.26,8879,ok
2020-08-27,161.99,162.88,159.38,161.11,2357,ok
2020-08-28,167.62,176.93,167.62,172.64,14025,ok
2020-08-31,172.99,174.37,168.71,173.79,6660,ok
2020-09-01,184.47,184.63,178.48,178.94,7512,ok
2020-09-02,179.44,179.44,175.08,178.17,2420,ok
2020-09-03,174.98,175.75,166.405,166.77,5811,ok
2020-09-04,164.09,164.09,153.44,159.97,13966,ok
2020-09-08,158.5,169.91,158.5,162.67,17533,ok
2020-09-09,163.58,163.745,160.17,161.18,2569,ok
2020-09-10,164.42,165.91,159.69,159.93,1247,ok
2020-09-11,160.9,160.9,160.9,160.9,575,ok
2020-09-14,158.33,158.33,155.5,157.83,2574,ok
2020-09-15,161.9,168.74,161.84,168.5,6132,ok
2020-09-16,171.555,173.88,168.945,169.75,3741,ok
2020-09-17,165.7,167.44,163.94,164.1,2099,ok
2020-09-18,160.54,161.9,158.03,160.21,4360,ok
2020-09-21,165.9,189.27,165.8,188.68,27228,ok
2020-09-22,188.8,194.46,182.99,193.78,13140,ok
2020-09-23,197.57,199.53,186.44,187.0,5671,ok
2020-09-24,181.55,181.55,178.14,178.14,1312,ok
2020-09-25,184.04,184.33,178.51,182.17,2999,ok
2020-09-28,187.35,187.35,184.86,185.91,752,ok
2020-09-29,186.39,189.57,184.66,187.03,2117,ok
2020-09-30,190.27,192.91,186.97,188.69,3887,ok
2020-10-01,193.88,200.41,193.245,200.41,3341,ok
2020-10-02,196.84,201.92,196.1,200.0,5061,ok
2020-10-05,199.63,203.95,199.63,201.26,798,ok
2020-10-06,206.82,208.6,204.55,204.57,1462,ok
2020-10-07,209.5,214.12,208.89,212.05,7884,ok
2020-10-08,224.66,227.9,221.39,223.58,18016,ok
2020-10-09,225.45,225.5,223.48,223.77,2316,ok
2020-10-13,220.16,238.55,219.8,238.38,11444,ok
2020-10-14,236.26,236.26,229.47,233.75,3887,ok
2020-10-15,224.25,228.86,224.25,226.45,2256,ok
2020-10-16,225.5,225.5,222.5,222.5,2141,ok
2020-10-19,225.96,227.84,223.095,223.26,6767,ok
2020-10-20,223.03,223.03,217.93,218.38,3575,ok
2020-10-21,220.52,226.98,218.74,222.62,7097,ok
2020-10-22,225.5,227.3,221.19,222.28,1898,ok
2020-10-23,221.24,223.8,219.64,223.68,2161,ok
2020-10-26,229.55,229.55,217.44,217.46,1869,ok
2020-10-27,223.29,225.59,223.29,225.49,1249,ok
