Date,Open,High,Low,Close,Volume,Status
2020-01-02,241.15,242.27,237.18,238.87,555842,ok
2020-01-03,237.71,241.8,237.71,241.03,787411,ok
2020-01-06,241.03,242.0,238.0,241.25,810687,ok
2020-01-07,241.08,241.5,235.5,237.45,539345,ok
2020-01-08,237.82,241.06,237.46,240.03,547809,ok
2020-01-09,240.94,242.68,240.1,241.2,358882,ok
2020-01-10,242.12,245.463,240.82,244.83,387018,ok
2020-01-13,246.36,250.27,246.36,250.05,668952,ok
2020-01-14,249.32,250.39,246.46,248.66,526254,ok
2020-01-15,249.03,251.29,248.63,249.5,352219,ok
2020-01-16,249.42,250.9,247.1301,250.73,698038,ok
2020-01-17,250.7,254.7627,250.01,252.04,533226,ok
2020-01-21,251.33,254.82,250.865,254.44,650228,ok
2020-01-22,255.94,256.47,251.44,252.61,586035,ok
2020-01-23,251.88,255.34,251.28,255.01,387300,ok
2020-01-24,255.01,255.78,252.7,253.15,316625,ok
2020-01-27,251.72,253.555,250.02,252.74,482339,ok
2020-01-28,253.49,253.49,251.08,251.75,574119,ok
2020-01-29,251.76,251.88,247.495,249.34,449290,ok
2020-01-30,247.81,254.0,247.11,253.74,557067,ok
2020-01-31,251.78,254.65,249.295,249.56,537791,ok
2020-02-03,250.91,254.14,248.73,249.58,518456,ok
2020-02-04,250.23,254.44,249.66,254.17,411727,ok
2020-02-05,254.7,254.7,251.41,254.57,357757,ok
2020-02-06,254.73,258.07,253.75,256.5,508570,ok
2020-02-07,256.7,259.39,255.84,258.82,363761,ok
2020-02-10,259.13,265.26,258.33,264.74,717853,ok
2020-02-11,272.15,287.47,271.99,284.0,1776883,ok
2020-02-12,284.07,293.19,281.18,292.81,1099041,ok
2020-02-13,292.8,292.92,288.63,289.78,611786,ok
2020-02-14,290.57,294.77,289.54,294.61,425178,ok
2020-02-18,294.61,294.735,289.82,291.72,581227,ok
2020-02-19,293.93,293.93,289.33,289.85,576318,ok
2020-02-20,289.59,292.39,286.02,292.13,606259,ok
2020-02-21,292.43,309.85,287.38,295.65,1696023,ok
2020-02-24,295.8,299.04,294.29,295.51,825379,ok
2020-02-25,295.88,302.39,287.49,291.09,881646,ok
2020-02-26,292.51,293.28,285.22,288.28,844443,ok
2020-02-27,283.0,288.395,270.58,271.89,1324870,ok
2020-02-28,267.05,268.44,257.22,265.09,1942492,ok
2020-03-02,266.95,285.2,265.95,285.05,1231499,ok
2020-03-03,285.0,295.4,281.94,286.66,1193961,ok
2020-03-04,288.62,304.61,287.5,303.24,1180758,ok
2020-03-05,297.49,303.69,295.88,300.32,1020683,ok
2020-03-06,292.64,295.78,276.79,285.57,1049590,ok
2020-03-09,270.44,276.05,264.09,264.71,1079080,ok
2020-03-10,270.29,282.74,265.31,281.89,1176866,ok
2020-03-11,272.91,280.325,271.21,274.7,1096002,ok
2020-03-12,257.15,282.05,245.53,263.96,1721545,ok
2020-03-13,276.37,282.695,265.75,281.89,1530122,ok
