Date,Open,High,Low,Close,Volume,Status
2020-01-02,88.12,89.35,88.05,89.35,6475843,ok
2020-01-03,88.66,89.1,88.1,88.83,4874916,ok
2020-01-06,88.11,88.41,87.47,88.13,5409850,ok
2020-01-07,87.96,88.03,87.13,87.86,6533541,ok
2020-01-08,87.94,89.35,87.78,88.88,7297235,ok
2020-01-09,90.25,91.16,90.07,90.53,9450166,ok
2020-01-10,90.8,90.89,89.63,90.16,7098085,ok
2020-01-13,90.62,91.715,90.21,91.08,7382968,ok
2020-01-14,91.19,91.44,90.86,90.99,5855400,ok
2020-01-15,91.0,92.06,91.0,91.54,6145518,ok
2020-01-16,91.99,92.61,91.63,92.58,5180320,ok
2020-01-17,92.93,93.75,92.8099,93.62,6962787,ok
2020-01-21,92.83,93.595,92.19,92.53,7094559,ok
2020-01-22,93.14,93.75,92.47,92.53,6157412,ok
2020-01-23,91.92,93.85,90.74,93.75,6100777,ok
2020-01-24,94.0,94.13,91.34,92.03,7815501,ok
2020-01-27,88.63,89.45,87.55,88.73,11066487,ok
2020-01-28,89.05,89.188,87.72,88.6,11922396,ok
2020-01-29,88.15,88.44,85.6,86.72,17703897,ok
2020-01-30,85.45,86.59,84.69,85.84,12224941,ok
2020-01-31,85.79,85.9924,84.52,84.83,11693902,ok
2020-02-03,85.07,86.7863,85.07,86.01,9092620,ok
2020-02-04,87.14,89.0,86.62,88.38,9997071,ok
2020-02-05,88.88,89.2,86.63,87.56,9982673,ok
2020-02-06,87.65,87.695,86.15,86.15,8901403,ok
2020-02-07,85.76,86.62,85.315,86.42,8073908,ok
2020-02-10,86.43,87.6175,86.1675,87.53,7289281,ok
2020-02-11,87.86,88.2299,87.35,87.51,5098622,ok
2020-02-12,87.71,89.1,87.39,88.57,7747787,ok
2020-02-13,88.5,90.505,88.26,89.925,8576615,ok
2020-02-14,90.18,90.4099,88.99,89.28,5686868,ok
2020-02-18,89.37,89.47,88.29,89.23,5291147,ok
2020-02-19,89.49,90.435,89.3,90.14,5210834,ok
2020-02-20,89.73,90.25,87.73,88.6,5969200,ok
2020-02-21,88.0,88.39,87.0,87.36,5801705,ok
2020-02-24,84.53,86.0513,84.26,84.52,8313643,ok
2020-02-25,85.02,85.35,81.67,82.19,9403953,ok
2020-02-26,82.6,83.24,80.64,80.67,10549302,ok
2020-02-27,78.83,80.87,77.36,78.29,17120832,ok
2020-02-28,76.17,78.81,75.72,78.43,19120249,ok
2020-03-02,77.92,82.41,77.66,82.38,14258675,ok
2020-03-03,82.3,82.615,78.11,78.6,12395890,ok
2020-03-04,79.29,80.2,77.88,79.67,10999608,ok
2020-03-05,77.9,77.9,75.28,76.19,12545266,ok
2020-03-06,73.46,75.71,72.05,75.34,18080148,ok
2020-03-09,70.58,74.03,70.08,70.83,15930310,ok
2020-03-10,72.56,74.95,70.03,74.87,18414048,ok
2020-03-11,72.83,74.27,67.4,68.3,17161368,ok
2020-03-12,62.9535,66.793,61.46,62.1,25170629,ok
2020-03-13,65.65,70.18,63.51,69.92,19247179,ok
2020-03-16,60.63,63.949,58.11,58.59,23354347,ok
2020-03-17,59.55,59.6199,53.61,58.98,25045192,ok
2020-03-18,55.55,57.65,50.02,56.33,28770619,ok
2020-03-19,56.23,63.36,53.55,61.41,25167423,ok
2020-03-20,62.3,65.68,57.91,58.03,28420576,ok
2020-03-23,57.23,57.44,54.0,56.55,24905790,ok
2020-03-24,62.61,65.16,61.0,64.88,28286186,ok
2020-03-25,66.83,69.64,63.4927,65.81,22977186,ok
2020-03-26,66.71,71.58,66.25,69.9,21005282,ok
2020-03-27,66.68,68.25,64.8202,66.34,18950460,ok
2020-03-30,66.56,68.2199,64.58,67.86,14199717,ok
2020-03-31,67.18,68.32,65.31,65.74,20109803,ok
2020-04-01,63.0,64.76,61.58,62.62,12880408,ok
2020-04-02,65.75,68.7,62.91,65.0,18175040,ok
2020-04-03,64.47,64.75,60.9,63.05,14676460,ok
2020-04-06,66.27,68.34,64.41,67.79,18010771,ok
2020-04-07,71.5676,72.48,68.335,68.71,13799395,ok
2020-04-08,69.58,71.92,68.5377,71.57,10417639,ok
2020-04-09,71.2,74.255,70.14,73.88,19769563,ok
2020-04-13,73.5203,73.6,70.35,71.76,11191792,ok
2020-04-14,73.69,74.33,72.66,73.67,10911999,ok
2020-04-15,72.01,73.175,70.71,72.55,10642533,ok
2020-04-16,73.11,73.76,71.345,73.51,11946812,ok
2020-04-17,76.62,77.39,74.97,77.1,14268386,ok
2020-04-20,76.02,76.98,75.085,75.32,9684741,ok
2020-04-21,73.4,73.96,71.74,72.72,10345787,ok
2020-04-22,74.55,78.06,74.43,77.45,11355290,ok
2020-04-23,77.33,77.67,74.26,75.15,15513357,ok
2020-04-24,75.75,76.03,74.21,75.58,8460619,ok
2020-04-27,76.68,78.04,76.54,77.74,8258468,ok
