Date,Open,High,Low,Close,Volume,Status
2020-01-02,7.13,7.19,7.1,7.13,15984356,ok
2020-01-03,7.05,7.14,7.01,7.09,24582177,ok
2020-01-06,7.05,7.14,7.035,7.12,18958596,ok
2020-01-07,7.08,7.155,7.05,7.07,20600402,ok
2020-01-08,7.06,7.12,7.02,7.06,20773731,ok
2020-01-09,7.06,7.135,7.03,7.05,17168295,ok
2020-01-10,7.06,7.06,6.98,7.0,17393626,ok
2020-01-13,7.0,7.05,6.96,7.05,15845475,ok
2020-01-14,7.02,7.14,6.98,7.11,20752094,ok
2020-01-15,7.12,7.2,7.1,7.17,20946759,ok
2020-01-16,7.19,7.21,7.14,7.2,13557350,ok
2020-01-17,7.21,7.23,7.16,7.17,14090812,ok
2020-01-21,7.15,7.18,7.12,7.15,12909083,ok
2020-01-22,7.16,7.21,7.12,7.2,28995637,ok
2020-01-23,7.17,7.18,7.08,7.16,18264256,ok
2020-01-24,7.15,7.18,7.05,7.11,18141599,ok
2020-01-27,7.06,7.14,7.02,7.115,18845040,ok
2020-01-28,7.13,7.16,7.1,7.13,19484413,ok
2020-01-29,7.12,7.13,7.05,7.08,15912253,ok
2020-01-30,7.05,7.19,7.02,7.19,21907751,ok
2020-01-31,7.16,7.22,7.05,7.07,18435465,ok
2020-02-03,7.1,7.2,7.08,7.17,23250354,ok
2020-02-04,7.22,7.3,7.14,7.21,20751042,ok
2020-02-05,7.25,7.29,7.17,7.17,19045075,ok
2020-02-06,7.18,7.25,7.165,7.19,13389772,ok
2020-02-07,7.14,7.16,7.09,7.11,15385038,ok
2020-02-10,7.13,7.2,7.1185,7.2,14253084,ok
2020-02-11,7.2,7.22,7.16,7.16,16604473,ok
2020-02-12,7.17,7.23,7.17,7.21,14613367,ok
2020-02-13,7.21,7.245,7.2,7.23,10570162,ok
2020-02-14,7.23,7.25,7.2,7.21,12271437,ok
2020-02-18,7.19,7.24,7.18,7.24,13627927,ok
2020-02-19,7.22,7.31,7.21,7.25,20385556,ok
2020-02-20,7.28,7.4,7.25,7.34,17588549,ok
2020-02-21,7.33,7.34,7.23,7.24,16891612,ok
2020-02-24,7.16,7.22,7.04,7.04,31409052,ok
2020-02-25,7.08,7.11,6.95,6.98,36293056,ok
2020-02-26,7.0,7.04,6.78,6.79,40390914,ok
2020-02-27,6.7,6.75,6.45,6.46,54696184,ok
2020-02-28,6.3,6.43,6.2,6.34,55313958,ok
2020-03-02,6.28,6.55,6.255,6.55,37938667,ok
2020-03-03,6.48,6.695,6.415,6.48,37680017,ok
2020-03-04,6.57,6.66,6.56,6.65,22911332,ok
2020-03-05,6.48,6.68,6.46,6.64,38219724,ok
2020-03-06,6.36,6.55,6.33,6.44,33961744,ok
2020-03-09,6.155,6.265,5.97,6.04,41161755,ok
2020-03-10,6.16,6.34,5.96,6.33,41116934,ok
2020-03-11,6.12,6.26,5.96,6.05,36458751,ok
2020-03-12,5.66,5.95,5.28,5.56,40210005,ok
2020-03-13,5.78,5.9,5.44,5.9,41060795,ok
2020-03-16,5.24,5.73,4.98,5.08,47077019,ok
2020-03-17,5.15,5.48,4.89,5.43,44691642,ok
2020-03-18,5.15,5.23,4.525,4.75,58495286,ok
2020-03-19,4.67,4.92,4.51,4.79,40726592,ok
2020-03-20,4.8,4.93,4.405,4.44,58310813,ok
2020-03-23,4.38,4.6,4.11,4.52,58213823,ok
2020-03-24,4.8,4.98,4.7,4.98,50657794,ok
2020-03-25,4.98,5.32,4.92,5.05,27040135,ok
2020-03-26,5.07,5.345,5.07,5.2,27209586,ok
2020-03-27,5.04,5.06,4.9,4.93,24632809,ok
2020-03-30,4.96,5.08,4.76,4.81,34793028,ok
2020-03-31,4.84,5.12,4.7998,4.94,29401995,ok
2020-04-01,4.76,4.91,4.6,4.64,26473071,ok
2020-04-02,4.59,4.85,4.51,4.75,23163160,ok
2020-04-03,4.73,4.76,4.41,4.48,20780746,ok
2020-04-06,4.72,4.85,4.68,4.79,24069186,ok
2020-04-07,4.92,5.1,4.82,4.91,28279108,ok
2020-04-08,4.99,5.21,4.92,5.17,17521258,ok
2020-04-09,5.24,5.38,5.15,5.25,21788410,ok
2020-04-13,5.22,5.23,4.95,5.12,18438260,ok
2020-04-14,5.17,5.44,5.14,5.42,24209334,ok
2020-04-15,5.32,5.34,5.2,5.3,21001567,ok
2020-04-16,5.32,5.38,5.215,5.3,22855435,ok
2020-04-17,5.41,5.43,5.2,5.29,18197226,ok
2020-04-20,5.2,5.33,5.17,5.22,17474307,ok
2020-04-21,5.13,5.17,4.97,5.0,20590910,ok
2020-04-22,5.13,5.13,5.03,5.05,18532464,ok
2020-04-23,5.11,5.57,5.11,5.37,51892146,ok
2020-04-24,5.46,5.54,5.29,5.505,31043192,ok
2020-04-27,5.51,5.69,5.5,5.61,21963800,ok
2020-04-28,5.89,6.02,5.58,5.755,34013878,ok
2020-04-29,5.92,6.03,5.87,5.92,32119327,ok
2020-04-30,5.92,6.0,5.8,5.91,24073151,ok
2020-05-01,5.8,5.83,5.68,5.8,24117376,ok
2020-05-04,5.75,5.825,5.61,5.75,24190930,ok
2020-05-05,5.79,5.8,5.67,5.74,24739972,ok
2020-05-06,5.76,5.77,5.62,5.66,26369648,ok
2020-05-07,5.64,5.71,5.5,5.52,36647057,ok
2020-05-08,5.62,5.75,5.57,5.745,29630857,ok
2020-05-11,5.7,5.71,5.585,5.66,25272898,ok
2020-05-12,5.66,5.68,5.41,5.43,32093601,ok
