Date,Open,High,Low,Close,Volume,Status
2020-01-02,40.52,40.72,40.075,40.17,8694538,ok
2020-01-03,41.0,41.14,40.0,40.56,9755952,ok
2020-01-06,40.61,41.075,40.19,40.82,15539992,ok
2020-01-07,40.53,40.61,39.73,40.61,10990848,ok
2020-01-08,40.28,40.44,39.31,39.41,11328092,ok
2020-01-09,39.52,40.09,38.725,39.86,12186068,ok
2020-01-10,39.73,40.09,39.5106,39.83,8089935,ok
2020-01-13,39.83,39.84,38.97,39.23,11668006,ok
2020-01-14,38.98,39.53,38.39,39.53,13961456,ok
2020-01-15,39.2,39.36,38.14,38.33,13737825,ok
2020-01-16,38.57,38.93,38.355,38.78,11771126,ok
2020-01-17,39.01,39.97,38.18,38.37,17644556,ok
2020-01-21,37.63,37.73,36.89,36.95,16710202,ok
2020-01-22,36.8,36.82,36.23,36.68,12796778,ok
2020-01-23,36.07,36.53,35.57,36.43,11843980,ok
2020-01-24,36.22,36.22,35.35,35.77,10408611,ok
2020-01-27,34.55,34.735,33.87,33.96,17360612,ok
2020-01-28,34.22,34.23,33.49,33.96,10938231,ok
2020-01-29,34.3,34.63,33.72,33.73,9011227,ok
2020-01-30,33.14,34.08,33.0,34.04,10489583,ok
2020-01-31,33.49,33.86,33.1827,33.51,16888210,ok
2020-02-03,33.44,33.7,33.19,33.46,9205559,ok
2020-02-04,34.23,34.73,33.95,34.07,12373581,ok
2020-02-05,34.77,35.66,34.73,35.07,11399933,ok
2020-02-06,35.22,35.22,34.42,34.51,7980295,ok
2020-02-07,34.0,34.7638,33.88,34.42,8582101,ok
2020-02-10,34.12,34.37,33.8129,34.35,7197775,ok
2020-02-11,34.15,34.35,33.87,34.29,8825551,ok
2020-02-12,35.22,35.375,34.44,35.05,9094918,ok
2020-02-13,34.84,35.02,33.97,34.67,11718029,ok
2020-02-14,34.81,34.87,34.135,34.42,7904645,ok
2020-02-18,33.9,33.991,32.88,33.65,11798229,ok
2020-02-19,33.88,34.34,33.64,34.29,6592276,ok
2020-02-20,34.49,34.7073,33.78,33.83,7836039,ok
2020-02-21,33.47,33.55,32.87,33.39,7246643,ok
2020-02-24,31.89,31.99,30.81,30.93,16714874,ok
2020-02-25,30.99,31.05,29.22,29.34,18709677,ok
2020-02-26,29.59,29.7432,28.38,28.38,19249381,ok
2020-02-27,27.53,28.2799,26.815,26.84,23765666,ok
2020-02-28,25.81,27.16,25.45,27.09,26832540,ok
2020-03-02,27.65,27.79,26.17,27.79,23253049,ok
2020-03-03,27.62,27.91,26.265,26.81,22020360,ok
2020-03-04,27.21,27.38,26.26,27.08,16155939,ok
2020-03-05,26.13,26.25,25.235,25.83,15754603,ok
2020-03-06,24.88,25.16,23.52,23.85,23793244,ok
2020-03-09,17.9,17.9,12.91,17.31,86147957,ok
2020-03-10,19.14,19.23,17.13,18.19,40379872,ok
2020-03-11,17.32,18.14,17.05,17.38,33296712,ok
2020-03-12,15.62,16.69,14.41,14.42,47922921,ok
2020-03-13,15.72,16.17,14.32,16.16,29182068,ok
2020-03-16,14.02,16.04,13.26,14.41,24971144,ok
2020-03-17,14.54,14.56,13.11,14.0,25536506,ok
2020-03-18,13.0,13.72,11.89,12.05,28198193,ok
2020-03-19,12.17,14.2801,11.87,13.87,25449333,ok
2020-03-20,14.3,14.58,13.1,14.28,32875150,ok
2020-03-23,14.17,14.43,12.6,12.83,24393482,ok
2020-03-24,13.54,14.93,13.5,14.65,25812593,ok
2020-03-25,14.99,15.87,13.58,14.6,24201164,ok
2020-03-26,14.51,15.643,14.375,15.52,22183990,ok
2020-03-27,14.54,14.7,13.74,13.76,21794535,ok
2020-03-30,13.35,13.69,12.95,13.28,25981531,ok
