Date,Open,High,Low,Close,Volume,Status
2020-01-02,184.5,210.0,180.0,184.0,9239.54,ok
2020-01-03,185.0,191.19,142.0,165.0,4287.12,ok
2020-01-06,160.0,164.5,135.0,137.5,5997.84,ok
2020-01-07,134.5,135.0,125.49999999999999,135.0,1780.12,ok
2020-01-08,130.5,135.0,128.0,133.5,910.96,ok
2020-01-09,132.5,144.5,132.5,142.0,1518.14,ok
2020-01-10,144.5,144.5,125.49999999999999,130.0,1280.7,ok
2020-01-13,126.0,132.0,125.94000000000001,129.5,895.16,ok
2020-01-14,126.0,136.005,125.0,134.0,512.22,ok
2020-01-15,133.5,138.275,130.5,132.5,736.28,ok
2020-01-16,135.0,136.0,122.50000000000001,125.0,935.46,ok
2020-01-17,124.77000000000001,124.77000000000001,113.795,113.99999999999999,866.66,ok
2020-01-21,114.99999999999999,119.5,113.5,113.5,1416.62,ok
2020-01-22,112.5,114.66499999999999,109.5,110.175,223.28,ok
2020-01-23,108.0,110.44,107.0,109.5,238.54,ok
2020-01-24,112.5,115.5,95.57,96.06,1383.18,ok
2020-01-27,93.175,96.0,88.0,88.505,741.34,ok
2020-01-28,91.5,97.0,90.5,97.0,1021.6,ok
2020-01-29,98.0,108.995,91.0,91.5,1205.7,ok
2020-01-30,92.0,95.5,91.58500000000001,95.005,282.1,ok
2020-01-31,92.5,95.0,86.0,87.5,836.56,ok
2020-02-03,85.005,87.5,83.0,83.5,870.3,ok
2020-02-04,85.0,89.0,84.5,87.5,762.32,ok
2020-02-05,84.5,87.5,82.5,83.0,583.46,ok
2020-02-06,82.5,86.5,76.0,76.0,1216.02,ok
2020-02-07,76.0,84.5,75.0,80.50500000000001,626.72,ok
2020-02-10,80.0,85.185,80.0,85.0,251.9,ok
2020-02-11,85.5,85.5,80.0,85.0,328.78,ok
2020-02-12,89.0,89.0,84.925,85.5,152.96,ok
2020-02-13,86.0,89.0,84.5,85.75500000000001,346.78,ok
2020-02-14,83.0,91.0,83.0,87.495,770.16,ok
2020-02-18,89.0,95.0,89.0,91.315,1028.84,ok
2020-02-19,94.0,98.5,90.0,96.5,666.28,ok
2020-02-20,99.0,104.0,96.275,102.49999999999999,754.04,ok
2020-02-21,102.49999999999999,102.49999999999999,95.5,100.0,601.16,ok
2020-02-24,95.5,99.0,93.0,99.0,422.24,ok
2020-02-25,101.0,103.365,92.5,94.5,929.1,ok
2020-02-26,95.5,96.5,92.5,93.17,526.82,ok
2020-02-27,92.5,93.0,72.0,86.46000000000001,2134.2,ok
2020-02-28,92.0,92.0,76.5,83.5,1015.82,ok
2020-03-02,80.0,83.5,78.0,83.5,130.7,ok
2020-03-03,85.0,85.0,76.0,80.5,208.84,ok
2020-03-04,77.5,80.5,77.5,80.5,58.96,ok
2020-03-05,80.5,85.5,78.5,79.0,386.18,ok
2020-03-06,80.0,84.5,77.0,80.00500000000001,239.84,ok
2020-03-09,78.0,78.0,71.5,71.95,399.18,ok
2020-03-10,79.5,79.5,66.0,67.495,352.5,ok
2020-03-11,67.00500000000001,67.00500000000001,36.0,41.5,2723.56,ok
2020-03-12,43.575,43.575,30.270000000000003,30.375000000000004,931.62,ok
2020-03-13,34.43,38.0,32.04,35.555,735.9,ok
2020-03-16,35.55,35.55,25.505,35.0,807.74,ok
2020-03-17,35.0,36.475,32.16,36.475,431.86,ok
2020-03-18,35.0,36.475,27.73,29.395,72.34,ok
2020-03-19,31.0,36.995,30.0,34.61,1482.38,ok
2020-03-20,37.0,49.495,34.75,41.5,1527.78,ok
2020-03-23,43.575,50.5,43.575,50.0,874.64,ok
2020-03-24,57.49999999999999,71.0,55.00000000000001,55.00000000000001,1416.28,ok
2020-03-25,61.0,80.0,57.25,73.5,3584.38,ok
2020-03-26,75.0,75.0,62.0,66.995,737.16,ok
2020-03-27,70.0,70.0,60.0,63.0,495.34,ok
2020-03-30,59.0,63.5,57.004999999999995,57.75,368.0,ok
2020-03-31,60.0,76.67500000000001,57.99999999999999,75.0,1464.32,ok
2020-04-01,70.0,72.505,65.0,68.0,745.6,ok
2020-04-02,71.0,71.0,57.49999999999999,58.5,545.58,ok
2020-04-03,58.5,58.5,48.5,50.5,785.1,ok
2020-04-06,53.0,55.00000000000001,51.0,53.0,421.38,ok
2020-04-07,60.135000000000005,60.135000000000005,52.31,52.31,265.54,ok
