Date,Open,High,Low,Close,Volume,Status
2020-01-02,274.57,277.9,273.72,277.84,1092326,ok
2020-01-03,274.55,278.2,274.03,276.91,576754,ok
2020-01-06,275.6,279.07,274.77,279.04,875497,ok
2020-01-07,283.12,286.69,280.97,280.98,1253709,ok
2020-01-08,281.93,286.81,281.125,285.01,1004476,ok
2020-01-09,285.68,290.9,285.68,289.58,1316140,ok
2020-01-10,290.64,290.91,288.09,288.94,834499,ok
2020-01-13,288.76,294.26,288.44,294.24,961736,ok
2020-01-14,293.85,294.26,289.9,290.17,1249145,ok
2020-01-15,290.0,296.15,290.0,294.38,1066246,ok
2020-01-16,296.19,298.2,294.02,298.19,789475,ok
2020-01-17,299.42,299.44,295.41,296.79,2246627,ok
2020-01-21,294.76,297.59,294.01,296.2,1423494,ok
2020-01-22,298.9,299.59,296.88,297.42,956340,ok
2020-01-23,294.39,297.94,294.39,297.19,813355,ok
2020-01-24,298.67,299.14,293.32,294.83,835826,ok
2020-01-27,291.0,293.93,290.01,293.13,919424,ok
2020-01-28,294.09,298.43,293.4,297.28,882437,ok
2020-01-29,298.92,300.715,297.01,297.31,760113,ok
2020-01-30,296.64,300.1,295.29,299.86,913883,ok
2020-01-31,298.51,299.89,292.67,293.73,1209723,ok
2020-02-03,294.65,297.37,294.28,295.67,1002254,ok
2020-02-04,298.97,300.889,297.81,297.92,1308004,ok
2020-02-05,299.57,300.355,291.66,294.77,1324179,ok
2020-02-06,296.98,298.89,292.27,295.52,1975094,ok
2020-02-07,297.11,297.62,294.74,295.48,1401623,ok
2020-02-10,294.43,296.79,293.7448,296.56,1088974,ok
2020-02-11,297.18,298.08,292.5767,294.12,1397488,ok
2020-02-12,295.35,304.14,294.68,303.83,1288038,ok
2020-02-13,301.92,303.82,297.6,301.35,1107731,ok
2020-02-14,301.73,307.7,300.55,307.65,979283,ok
2020-02-18,306.93,308.93,304.28,306.74,1047031,ok
2020-02-19,308.14,312.94,307.18,311.16,1341095,ok
2020-02-20,310.09,310.365,300.52,303.41,1898476,ok
2020-02-21,301.42,301.88,291.655,293.25,2066660,ok
2020-02-24,284.81,292.73,283.32,290.9,2006010,ok
2020-02-25,291.25,292.82,280.95,282.63,1439359,ok
2020-02-26,283.72,289.34,281.35,282.77,1460483,ok
2020-02-27,276.85,277.38,267.15,267.15,2298287,ok
2020-02-28,260.22,265.92,257.0,265.91,2901471,ok
2020-03-02,271.05,291.27,269.22,289.31,3140765,ok
2020-03-03,289.83,297.64,277.66,280.14,2691843,ok
2020-03-04,285.03,296.24,281.93,296.06,1468325,ok
2020-03-05,289.3,289.48,274.96,278.42,1824765,ok
2020-03-06,268.89,272.31,264.0,271.06,2513676,ok
2020-03-09,249.84,258.78,241.947,242.51,3947456,ok
2020-03-10,252.51,259.43,245.6763,259.17,3059284,ok
2020-03-11,250.91,254.77,237.23,240.36,3395473,ok
2020-03-12,224.23,231.3899,213.67,221.46,4659918,ok
2020-03-13,237.73,249.92,225.68,248.1,3394465,ok
2020-03-16,222.61,232.32,209.69,222.16,3119429,ok
2020-03-17,228.62,231.285,220.15,227.66,3205266,ok
2020-03-18,212.9,218.52,186.055,193.08,4235652,ok
2020-03-19,192.79,211.92,186.74,207.78,3203523,ok
2020-03-20,211.01,215.0,205.11,208.79,3558629,ok
2020-03-23,202.83,212.03,191.32,192.05,2605201,ok
2020-03-24,202.78,219.4,199.9,218.66,2755784,ok
2020-03-25,220.13,234.7,217.333,227.19,2045268,ok
2020-03-26,231.53,246.55,230.41,244.95,2884408,ok
2020-03-27,239.08,246.53,236.77,239.75,2924894,ok
2020-03-30,241.41,248.63,239.01,246.99,2529539,ok
2020-03-31,243.95,248.18,240.4925,245.05,3807431,ok
2020-04-01,233.96,239.44,233.41,234.33,3458017,ok
2020-04-02,233.34,241.7,230.11,241.34,1735599,ok
2020-04-03,238.33,241.48,236.02,238.8,2217558,ok
2020-04-06,248.23,257.3,243.96,255.83,2129237,ok
2020-04-07,264.86,265.24,255.74,256.06,1678564,ok
2020-04-08,259.5,262.09,255.225,261.51,1326157,ok
2020-04-09,262.95,284.88,262.95,283.55,2740528,ok
2020-04-13,279.5,280.41,267.37,268.44,2900401,ok
2020-04-14,275.6,278.99,271.25,277.34,2588707,ok
2020-04-15,270.2,274.92,267.14,273.25,1593975,ok
2020-04-16,274.18,276.145,270.89,274.55,1265372,ok
2020-04-17,282.68,286.62,278.2865,282.59,2667708,ok
2020-04-20,277.85,280.67,276.49,279.17,1512929,ok
2020-04-21,271.25,273.55,265.92,267.23,1856170,ok
2020-04-22,272.71,277.4,269.4,276.01,1112237,ok
2020-04-23,276.79,281.3,276.03,279.56,1699433,ok
2020-04-24,282.61,284.53,280.38,283.94,1124483,ok
2020-04-27,286.46,292.05,285.19,291.19,1289718,ok
2020-04-28,300.0,308.41,292.51,295.83,2048045,ok
2020-04-29,303.26,303.79,293.42,294.42,1757196,ok
2020-04-30,289.27,295.1,288.51,292.88,1916526,ok
2020-05-01,287.67,289.03,284.09,286.06,1151967,ok
2020-05-04,283.3,288.13,281.07,285.77,1187777,ok
2020-05-05,289.62,298.555,288.33,295.41,1049704,ok
2020-05-06,294.82,297.44,288.92,289.36,881034,ok
2020-05-07,294.55,297.77,292.92,295.58,1282637,ok
2020-05-08,300.0,300.0,295.78,297.65,851989,ok
2020-05-11,294.04,303.2775,292.645,300.68,1206009,ok
2020-05-12,304.96,307.17,299.21,299.21,1303868,ok
2020-05-13,297.74,302.48,291.99,294.4,1642456,ok
2020-05-14,291.41,300.26,290.08,300.12,1253732,ok
2020-05-15,298.39,304.63,297.33,303.14,1960778,ok
2020-05-18,311.05,316.255,310.62,311.63,1773091,ok
2020-05-19,311.76,317.29,310.67,311.09,1237740,ok
2020-05-20,315.36,317.065,312.38,314.0,801243,ok
2020-05-21,314.29,316.81,309.23,310.76,725210,ok
2020-05-22,310.94,312.63,307.52,311.86,621524,ok
2020-05-26,318.26,318.89,311.2,312.34,1695355,ok
2020-05-27,316.89,316.89,308.14,315.43,1182909,ok
2020-05-28,317.77,323.52,314.8,318.8,1928700,ok
2020-05-29,320.62,326.0,318.355,325.02,1935836,ok
2020-06-01,326.05,329.57,323.37,327.3,892323,ok
2020-06-02,325.82,327.82,323.31,327.37,1280258,ok
2020-06-03,330.12,334.64,326.62,333.38,1058932,ok
2020-06-04,331.1,333.6,324.34,327.39,1209060,ok
2020-06-05,332.48,334.66,329.625,333.37,1522241,ok
2020-06-08,330.88,333.08,325.8917,331.98,1116809,ok
2020-06-09,329.24,330.86,326.67,327.61,966559,ok
2020-06-10,328.98,334.09,326.12,331.18,1136350,ok
2020-06-11,325.0,326.1799,306.5,307.03,1663514,ok
2020-06-12,314.41,318.22,310.0,316.91,1168665,ok
2020-06-15,310.0,320.9,308.11,319.65,998309,ok
2020-06-16,330.0,330.0,319.06,324.93,918878,ok
2020-06-17,326.62,329.575,325.15,326.32,896707,ok
2020-06-18,324.54,327.77,323.32,326.81,726309,ok
2020-06-19,332.27,333.0,321.28,323.73,1932699,ok
2020-06-22,323.71,326.93,320.77,326.36,1330386,ok
2020-06-23,329.55,332.54,327.01,328.56,889956,ok
2020-06-24,324.55,326.44,316.4,317.97,1298209,ok
2020-06-25,318.38,328.25,316.0,327.82,1051903,ok
2020-06-26,324.9,327.93,321.14,321.6,2563823,ok
2020-06-29,325.15,325.15,318.24,321.29,1298222,ok
2020-06-30,321.61,330.58,320.42,329.48,1823443,ok
2020-07-01,330.42,336.1336,328.69,334.52,963242,ok
2020-07-02,338.35,339.29,332.6,333.25,707918,ok
2020-07-06,338.6,344.045,337.6,341.02,1296503,ok
2020-07-07,339.39,345.62,339.39,341.19,836785,ok
2020-07-08,345.39,354.75,345.39,354.32,1121156,ok
2020-07-09,353.94,356.79,349.44,352.72,1126447,ok
2020-07-10,353.02,354.34,348.53,351.81,821104,ok
2020-07-13,353.02,356.455,344.25,346.09,919729,ok
2020-07-14,344.93,351.81,343.85,351.64,724580,ok
2020-07-15,357.07,357.07,350.23,354.8,613247,ok
2020-07-16,353.08,354.655,346.85,349.51,624583,ok
2020-07-17,351.47,355.09,349.61,354.69,577783,ok
2020-07-20,352.6,359.31,352.6,358.09,597695,ok
2020-07-21,359.0,359.5,353.255,354.83,612021,ok
2020-07-22,353.88,358.24,353.64,356.45,634661,ok
2020-07-23,354.99,357.64,346.22,348.26,1383336,ok
2020-07-24,347.36,352.31,345.45,349.97,860886,ok
2020-07-27,350.13,355.505,349.39,351.32,1057902,ok
2020-07-28,356.57,356.57,343.62,347.6,1185255,ok
2020-07-29,348.23,360.0,348.23,359.86,1036260,ok
2020-07-30,354.36,356.63,348.655,352.37,1122594,ok
2020-07-31,353.66,354.74,344.72,350.25,1126780,ok
2020-08-03,352.76,355.28,349.54,350.68,673340,ok
2020-08-04,348.5,350.9,342.13,345.77,1116345,ok
2020-08-05,347.02,349.95,345.65,347.39,712909,ok
2020-08-06,347.14,352.73,346.35,352.57,623311,ok
2020-08-07,350.0,351.49,341.66,347.27,827960,ok
2020-08-10,345.0,345.31,340.48,344.07,552668,ok
2020-08-11,344.93,349.71,341.73,343.71,745146,ok
2020-08-12,347.44,353.0,347.03,349.19,522326,ok
2020-08-13,347.39,356.47,347.39,356.13,723042,ok
2020-08-14,354.48,357.75,350.85,352.27,530850,ok
2020-08-17,353.27,359.85,353.27,357.14,618798,ok
2020-08-18,357.15,362.28,356.5,360.12,561314,ok
2020-08-19,361.79,363.1,357.75,358.11,1018980,ok
2020-08-20,355.12,361.48,355.01,361.22,735509,ok
2020-08-21,361.79,363.365,358.35,362.01,722498,ok
2020-08-24,364.08,365.0,358.25,360.0,588534,ok
2020-08-25,361.16,361.285,357.15,358.5,528249,ok
2020-08-26,358.0,367.41,357.155,364.41,676869,ok
2020-08-27,365.73,367.54,359.88,363.98,600611,ok
2020-08-28,365.63,367.07,363.25,366.83,509904,ok
2020-08-31,369.12,369.275,364.27,366.42,775310,ok
2020-09-01,366.22,369.77,364.84,368.39,564890,ok
2020-09-02,370.14,379.8699,369.735,378.41,764867,ok
2020-09-03,376.4,376.68,351.75,353.69,1352424,ok
2020-09-04,353.66,356.52,337.7879,345.18,1274971,ok
2020-09-08,339.66,344.91,335.05,340.66,1054960,ok
2020-09-09,346.0,356.36,344.88,351.78,842932,ok
2020-09-10,351.58,354.685,342.53,344.48,679609,ok
2020-09-11,347.32,351.22,345.6975,348.79,681872,ok
2020-09-14,352.52,356.81,352.0,353.09,628485,ok
2020-09-15,357.42,360.53,354.63,357.2,779327,ok
2020-09-16,355.87,360.035,355.65,357.54,907133,ok
2020-09-17,352.66,358.2,349.05,351.73,783664,ok
2020-09-18,352.13,354.77,348.75,351.01,992722,ok
2020-09-21,345.88,351.21,342.09,350.89,1129835,ok
2020-09-22,351.33,353.41,344.565,350.17,748171,ok
2020-09-23,350.52,352.165,342.69,343.06,628097,ok
2020-09-24,343.2,348.395,342.09,345.87,644394,ok
2020-09-25,345.11,354.875,344.52,352.85,578870,ok
2020-09-28,357.21,359.68,355.12,355.55,741489,ok
2020-09-29,355.94,360.32,354.55,356.98,580868,ok
2020-09-30,357.0,363.71,355.62,360.6,1012012,ok
2020-10-01,364.89,368.1442,361.285,363.73,650276,ok
2020-10-02,359.87,365.5,357.0664,362.98,719508,ok
2020-10-05,365.7,365.98,361.98,364.97,517274,ok
2020-10-06,367.23,367.23,354.05,354.31,776319,ok
2020-10-07,355.92,358.83,351.88,354.9,703068,ok
2020-10-08,355.67,360.7764,355.08,357.2,547833,ok
2020-10-09,358.98,359.71,356.06,356.76,812242,ok
2020-10-12,361.64,364.09,358.18,360.09,687219,ok
2020-10-13,360.09,360.09,352.44,354.0,1163930,ok
2020-10-14,356.98,357.35,350.34,351.51,812011,ok
2020-10-15,347.81,351.54,345.28,347.45,962980,ok
2020-10-16,348.0,351.98,346.69,348.17,1109623,ok
2020-10-19,349.25,352.24,340.42,341.15,731609,ok
2020-10-20,340.33,343.86,339.3,340.15,1032538,ok
2020-10-21,342.51,344.715,337.27,337.91,691084,ok
2020-10-22,337.58,339.82,334.31,337.25,1001918,ok
2020-10-23,339.0,339.685,335.13,337.43,688550,ok
2020-10-26,333.16,336.335,330.4,333.55,893574,ok
2020-10-27,330.0,336.03,328.845,330.85,1482729,ok
2020-10-28,325.01,329.565,322.12,326.7,1505588,ok
2020-10-29,327.41,329.41,319.51,325.74,876582,ok
2020-10-30,323.46,329.78,319.04,322.73,1464438,ok
2020-11-02,328.57,335.4999,325.77,327.92,1305121,ok
2020-11-03,331.97,337.88,329.57,334.75,1186591,ok
2020-11-04,338.29,357.69,338.08,351.1,1603683,ok
2020-11-05,358.06,360.85,352.66,355.99,1317463,ok
2020-11-06,355.47,356.79,348.12,354.36,1072286,ok
2020-11-09,368.19,368.27,345.63,346.41,1316137,ok
2020-11-10,345.13,346.99,333.61,335.1,1488579,ok
2020-11-11,337.68,348.02,337.0,343.97,975903,ok
2020-11-12,344.39,345.23,338.5,341.72,697879,ok
2020-11-13,343.36,344.87,337.56,341.92,941261,ok
2020-11-16,341.01,345.36,337.45,339.62,1407720,ok
2020-11-17,338.3,341.19,336.25,336.66,1052236,ok
2020-11-18,337.86,339.38,334.86,336.48,943535,ok
2020-11-19,338.06,339.96,334.56,338.63,1111233,ok
2020-11-20,338.0,342.455,336.645,338.28,825258,ok
2020-11-23,339.26,341.54,333.635,337.12,893248,ok
2020-11-24,336.6,339.0,333.86,334.21,1469701,ok
2020-11-25,335.37,338.155,333.9,338.04,1013862,ok
2020-11-27,340.5,344.13,339.15,341.57,407732,ok
2020-11-30,343.33,353.16,342.25,351.78,3327255,ok
2020-12-01,352.73,352.73,332.995,334.32,2256158,ok
2020-12-02,338.62,338.68,330.77,333.28,1713058,ok
2020-12-03,330.36,334.6,325.66,326.61,1745578,ok
2020-12-04,330.8,339.5,329.04,339.45,3059722,ok
2020-12-07,338.23,340.19,332.845,336.24,1691421,ok
2020-12-08,335.3,336.93,333.13,333.7,1637353,ok
2020-12-09,334.25,335.155,323.905,327.28,2000275,ok
2020-12-10,327.23,329.18,323.85,325.83,1475172,ok
2020-12-11,324.9,329.035,323.26,324.82,1428977,ok
2020-12-14,327.43,328.78,323.27,323.68,1659293,ok
2020-12-15,324.79,326.68,323.2601,323.84,1206777,ok
2020-12-16,325.5,325.5,319.74,320.87,1805092,ok
2020-12-17,322.89,322.89,316.43,321.06,3021620,ok
