Date,Open,High,Low,Close,Volume,Status
2020-01-02,152.58,153.21,150.53,151.7,624032,ok
2020-01-03,149.43,151.5,149.2,150.63,638011,ok
2020-01-06,150.5,152.1293,150.23,151.62,582056,ok
2020-01-07,150.71,151.705,150.61,151.04,438917,ok
2020-01-08,151.6,152.01,150.42,150.95,839032,ok
2020-01-09,151.55,153.16,151.3,151.78,644102,ok
2020-01-10,152.39,152.5276,150.51,151.01,431968,ok
2020-01-13,150.88,151.82,150.33,151.54,522668,ok
2020-01-14,151.05,152.5,150.29,152.41,519460,ok
2020-01-15,152.34,153.77,152.15,152.57,550284,ok
2020-01-16,153.05,154.17,152.68,154.13,399311,ok
2020-01-17,154.23,154.4,153.01,154.13,628132,ok
2020-01-21,153.96,154.75,152.89,153.81,521172,ok
2020-01-22,154.45,155.0,152.77,152.79,369759,ok
2020-01-23,152.43,152.43,151.32,151.81,399101,ok
2020-01-24,151.93,151.93,150.09,151.29,486483,ok
2020-01-27,149.51,151.38,148.921,150.11,831189,ok
2020-01-28,150.11,151.79,150.11,151.05,452800,ok
2020-01-29,151.3,152.73,150.45,151.52,514227,ok
2020-01-30,150.5,153.39,150.11,153.31,568407,ok
2020-01-31,152.81,153.51,150.44,150.69,659303,ok
2020-02-03,151.51,152.1,150.58,151.0,398763,ok
2020-02-04,152.68,153.38,151.56,152.21,382401,ok
2020-02-05,153.02,154.2,152.46,152.92,341492,ok
2020-02-06,153.01,154.79,152.025,154.25,459481,ok
2020-02-07,153.86,154.46,152.01,152.87,353537,ok
2020-02-10,152.53,155.32,151.77,153.88,591367,ok
2020-02-11,157.0,162.63,155.77,162.27,2184627,ok
2020-02-12,163.0,168.12,163.0,167.83,1099360,ok
2020-02-13,166.68,167.56,164.12,167.0,783726,ok
2020-02-14,167.0,168.61,166.15,168.51,404539,ok
2020-02-18,168.11,168.39,166.99,167.93,563608,ok
2020-02-19,168.2,168.78,167.4399,168.26,382043,ok
2020-02-20,167.89,168.64,166.72,168.28,518995,ok
2020-02-21,168.06,168.66,167.2312,167.95,546605,ok
2020-02-24,165.15,168.34,164.56,167.46,860134,ok
2020-02-25,167.74,168.98,163.82,164.87,1276229,ok
2020-02-26,165.81,167.99,165.22,165.44,1086843,ok
2020-02-27,163.79,168.545,162.865,163.62,1159043,ok
2020-02-28,160.08,162.86,155.155,158.62,1618559,ok
2020-03-02,159.05,163.4,156.09,163.4,1089696,ok
2020-03-03,163.48,165.88,158.17,161.03,898114,ok
2020-03-04,163.52,165.815,159.84,164.45,851342,ok
2020-03-05,161.54,162.84,155.99,158.14,931671,ok
2020-03-06,154.51,157.42,152.26,157.03,788773,ok
2020-03-09,150.08,151.03,144.87,145.5,1061080,ok
2020-03-10,148.49,151.09,145.15,151.09,918560,ok
2020-03-11,147.67,148.79,143.26,145.25,704689,ok
2020-03-12,138.18,138.67,130.71,131.06,870861,ok
2020-03-13,136.59,137.47,127.27,136.29,900331,ok
2020-03-16,124.54,129.03,120.05,120.5,894520,ok
2020-03-17,123.32,133.88,118.04,130.63,922300,ok
2020-03-18,121.27,130.88,111.74,122.78,925353,ok
2020-03-19,121.86,125.435,116.905,121.22,811717,ok
2020-03-20,121.41,122.87,115.33,115.7,833008,ok
2020-03-23,115.43,117.75,105.69,107.76,919975,ok
2020-03-24,112.78,118.99,110.82,118.11,783429,ok
2020-03-25,117.3,123.3716,115.3125,117.82,787250,ok
2020-03-26,119.14,130.27,119.0,129.61,1020846,ok
2020-03-27,125.61,133.53,123.8,129.74,1027660,ok
2020-03-30,131.21,140.4,131.14,139.99,898726,ok
2020-03-31,139.58,142.36,137.7,139.97,1276105,ok
2020-04-01,135.21,140.03,133.79,137.7,1044221,ok
2020-04-02,137.35,141.43,136.01,139.55,732504,ok
2020-04-03,138.47,140.94,137.565,138.72,908288,ok
2020-04-06,143.96,149.51,142.21,148.65,978796,ok
2020-04-07,149.99,154.37,147.76,148.76,1080578,ok
2020-04-08,149.64,150.6,146.22,149.25,826627,ok
2020-04-09,149.15,153.73,147.86,152.69,669473,ok
2020-04-13,152.54,153.4128,145.26,149.51,737355,ok
2020-04-14,152.27,158.53,151.25,157.16,930319,ok
2020-04-15,154.17,156.04,151.97,154.75,589276,ok
2020-04-16,155.57,156.2285,149.46,150.33,888361,ok
2020-04-17,152.96,155.46,149.49,154.97,717259,ok
2020-04-20,153.9,160.16,153.44,157.45,889206,ok
2020-04-21,155.02,155.385,146.41,147.78,718770,ok
2020-04-22,149.95,152.28,147.57,150.88,393885,ok
2020-04-23,150.42,153.07,149.035,149.45,593619,ok
2020-04-24,150.5,151.12,145.53,147.82,766932,ok
2020-04-27,149.36,150.815,148.0,149.67,408219,ok
2020-04-28,150.6,151.748,146.14,146.21,523695,ok
2020-04-29,147.25,149.21,145.61,146.86,519322,ok
2020-04-30,145.86,146.24,141.23,142.5,780401,ok
2020-05-01,141.23,143.04,139.7,141.4,639584,ok
2020-05-04,141.39,141.43,138.66,139.54,400059,ok
2020-05-05,140.72,143.72,140.53,141.66,964231,ok
2020-05-06,142.42,142.68,139.51,140.99,582615,ok
2020-05-07,143.39,145.42,142.68,143.86,664809,ok
