Date,Open,High,Low,Close,Volume,Status
2020-01-02,79.36,80.77,79.201,80.76,1942041,ok
2020-01-03,79.8,79.945,79.04,79.57,1511085,ok
2020-01-06,79.95,80.87,79.25,80.79,2214769,ok
2020-01-07,81.38,82.0,81.01,81.91,3139307,ok
2020-01-08,81.92,82.31,81.06,81.49,1941178,ok
2020-01-09,82.16,82.94,81.5,82.92,1959664,ok
2020-01-10,82.68,82.87,81.6,81.69,3093195,ok
2020-01-13,81.88,82.21,81.28,82.08,2213066,ok
2020-01-14,81.96,82.56,81.51,81.53,1825317,ok
2020-01-15,81.01,81.64,80.41,81.21,2645918,ok
2020-01-16,80.07,81.66,79.23,81.14,5116055,ok
2020-01-17,84.13,85.89,81.71,82.56,7394033,ok
2020-01-21,81.75,82.69,81.07,81.31,3117683,ok
2020-01-22,81.41,81.64,80.09,80.54,2743974,ok
2020-01-23,80.06,80.5,78.81,80.46,3242916,ok
2020-01-24,80.51,80.65,77.89,78.34,2782707,ok
2020-01-27,76.15,76.8599,75.4,75.45,3330789,ok
2020-01-28,76.18,76.96,75.58,76.5,2449090,ok
2020-01-29,76.98,77.4253,76.05,76.23,1880064,ok
2020-01-30,75.51,77.865,75.27,77.61,3378794,ok
2020-01-31,76.89,76.93,75.175,75.63,2389287,ok
2020-02-03,76.01,77.58,75.98,76.09,1966735,ok
2020-02-04,77.39,78.68,77.39,77.74,2222175,ok
2020-02-05,79.06,80.07,78.79,80.04,2530739,ok
2020-02-06,80.66,81.0,78.99,80.27,2476110,ok
2020-02-07,79.35,79.915,78.56,79.14,1599521,ok
2020-02-10,78.93,79.59,78.75,79.13,1725489,ok
2020-02-11,79.4,80.63,79.39,79.78,1845236,ok
2020-02-12,80.53,81.82,80.3,80.43,1381551,ok
2020-02-13,79.79,80.31,78.47,78.85,1908701,ok
2020-02-14,78.88,79.3,77.72,77.85,1855610,ok
2020-02-18,77.4,78.44,76.7,76.88,1809796,ok
2020-02-19,77.28,78.91,76.9,78.76,1948176,ok
2020-02-20,78.12,79.42,77.85,77.89,1586455,ok
2020-02-21,77.44,77.85,76.495,77.13,3684513,ok
2020-02-24,74.01,74.47,73.02,74.01,4078476,ok
2020-02-25,74.02,74.045,70.1,70.85,4729302,ok
2020-02-26,71.07,71.68,69.5501,70.14,5197153,ok
2020-02-27,68.26,72.47,67.5,69.38,5523012,ok
2020-02-28,67.01,68.33,65.42,68.11,5657281,ok
2020-03-02,67.96,68.84,65.6,68.69,4156943,ok
2020-03-03,68.14,69.33,65.06,65.85,5678825,ok
2020-03-04,66.9,67.01,64.35,67.0,3730803,ok
2020-03-05,64.02,64.02,61.579,62.4,4049823,ok
2020-03-06,59.65,61.62,59.13,60.13,3975209,ok
2020-03-09,54.02,55.89,52.5,52.66,4425782,ok
2020-03-10,55.62,56.73,53.0138,56.73,4454342,ok
2020-03-11,54.92,55.89,52.98,54.19,6053160,ok
