Date,Open,High,Low,Close,Volume,Status
2020-01-02,36.14,36.24,36.03,36.21,3568061,ok
2020-01-03,35.67,35.975,35.55,35.69,3993939,ok
2020-01-06,35.34,35.68,35.21,35.68,5145893,ok
2020-01-07,35.51,35.585,35.16,35.18,3136875,ok
2020-01-08,35.22,35.655,35.2,35.45,4736708,ok
2020-01-09,35.65,35.85,35.31,35.43,3946327,ok
2020-01-10,35.42,35.68,35.21,35.47,4882680,ok
2020-01-13,35.53,35.575,35.19,35.41,3902753,ok
2020-01-14,35.37,35.685,35.31,35.4,7005073,ok
2020-01-15,35.27,35.45,35.05,35.2,5256440,ok
2020-01-16,35.4,35.61,35.31,35.48,5872486,ok
2020-01-17,35.59,35.97,35.49,35.76,5697579,ok
2020-01-21,35.57,36.01,35.51,35.72,5853207,ok
2020-01-22,36.07,36.43,35.84,36.42,5703041,ok
2020-01-23,36.35,36.3732,35.835,36.2,8294953,ok
2020-01-24,34.1,34.5,32.4346,32.63,15776343,ok
2020-01-27,32.08,32.26,31.7,32.2,8073115,ok
2020-01-28,32.41,32.905,32.28,32.57,6472240,ok
2020-01-29,32.62,32.915,32.48,32.64,4654142,ok
2020-01-30,32.33,33.27,32.33,33.12,6376240,ok
2020-01-31,32.93,33.01,32.205,32.41,6716903,ok
2020-02-03,32.65,32.92,32.225,32.42,7252900,ok
2020-02-04,32.9,33.21,32.61,32.65,6005856,ok
2020-02-05,33.07,33.53,32.98,33.43,6349074,ok
2020-02-06,33.38,33.66,33.08,33.19,5478253,ok
2020-02-07,32.98,33.26,32.755,33.19,6453748,ok
2020-02-10,33.05,33.34,33.05,33.27,7959509,ok
2020-02-11,33.43,33.565,33.28,33.33,9637521,ok
2020-02-12,33.52,33.92,33.32,33.58,7149346,ok
2020-02-13,33.48,33.88,33.45,33.82,4214673,ok
2020-02-14,33.85,33.99,33.57,33.75,5615783,ok
2020-02-18,33.6,33.95,33.18,33.27,5570220,ok
2020-02-19,33.32,33.46,33.005,33.37,6086476,ok
2020-02-20,33.24,33.885,33.2,33.64,4866365,ok
2020-02-21,33.51,33.565,33.03,33.33,4868351,ok
2020-02-24,32.18,32.57,32.12,32.25,8475822,ok
2020-02-25,32.21,32.25,30.59,30.76,9860725,ok
2020-02-26,31.0,31.41,30.59,30.59,9640800,ok
2020-02-27,29.86,30.79,29.39,29.68,10894902,ok
2020-02-28,28.68,29.19,28.07,29.1,17476048,ok
2020-03-02,29.28,30.4,29.15,30.39,10614550,ok
2020-03-03,30.22,30.67,28.71,28.87,9562622,ok
2020-03-04,29.37,30.28,29.09,30.14,8613899,ok
2020-03-05,29.04,29.87,28.98,29.26,10808356,ok
2020-03-06,28.1,28.87,27.755,28.25,10763688,ok
2020-03-09,26.09,26.28,24.69,25.02,10877444,ok
2020-03-10,26.13,26.42,24.58,26.27,11415707,ok
2020-03-11,25.5,25.85,24.19,24.49,14891218,ok
2020-03-12,22.56,23.98,21.65,21.67,14723600,ok
2020-03-13,23.41,24.16,22.22,24.13,13296773,ok
2020-03-16,19.5,20.01,17.75,17.85,16192480,ok
2020-03-17,18.42,18.86,16.1,17.46,18349862,ok
2020-03-18,16.15,16.59,12.15,13.93,13580912,ok
2020-03-19,13.63,15.38,12.31,14.6,15389675,ok
2020-03-20,14.97,15.2,13.26,13.41,12911058,ok
2020-03-23,13.28,13.44,12.25,12.8,14916762,ok
2020-03-24,13.88,15.25,13.68,14.74,12388306,ok
2020-03-25,15.79,17.315,15.11,16.66,13320001,ok
2020-03-26,17.15,19.86,17.0,19.03,18978471,ok
2020-03-27,17.92,18.18,16.85,17.1,11821146,ok
2020-03-30,16.94,17.0,16.06,16.77,7263835,ok
2020-03-31,16.68,16.8396,15.96,16.09,10747885,ok
2020-04-01,14.97,15.2,13.96,14.51,12834505,ok
2020-04-02,14.33,15.13,13.71,14.31,9770119,ok
2020-04-03,14.04,14.26,12.98,13.25,12080003,ok
2020-04-06,14.32,15.67,14.17,15.49,11558229,ok
2020-04-07,17.0,18.19,15.96,16.12,14933762,ok
2020-04-08,16.56,17.03,16.105,16.82,9894695,ok
2020-04-09,17.84,18.92,17.34,17.62,13614051,ok
2020-04-13,17.82,18.02,16.135,16.22,11938875,ok
2020-04-14,16.46,16.98,15.6,15.9,10696724,ok
2020-04-15,14.94,15.29,14.56,14.95,8363071,ok
2020-04-16,14.85,15.0,14.02,14.17,9833903,ok
2020-04-17,15.13,15.7,14.99,15.62,11646340,ok
2020-04-20,15.14,15.985,14.78,15.59,10747612,ok
2020-04-21,15.0,15.985,14.51,15.17,10929115,ok
2020-04-22,15.63,16.17,15.25,16.05,9970270,ok
2020-04-23,16.06,16.68,16.04,16.1,9048078,ok
2020-04-24,16.25,17.015,16.19,16.97,12224514,ok
2020-04-27,17.17,17.78,17.07,17.62,11560345,ok
2020-04-28,18.65,19.23,18.39,18.74,10486355,ok
2020-04-29,19.98,21.38,19.86,21.05,14835418,ok
2020-04-30,20.38,20.91,19.42,19.79,10494868,ok
2020-05-01,18.65,18.76,18.05,18.51,8218547,ok
2020-05-04,17.95,18.56,17.57,18.43,7775318,ok
2020-05-05,18.9,19.35,17.95,18.0,7899778,ok
2020-05-06,18.2,18.42,17.26,17.3,6320774,ok
2020-05-07,17.58,18.36,17.5,17.99,8191632,ok
2020-05-08,18.48,18.68,18.3,18.62,4907820,ok
2020-05-11,18.18,18.23,17.535,17.73,6252705,ok
2020-05-12,17.76,18.12,16.96,16.98,5827455,ok
2020-05-13,16.73,16.79,15.75,15.87,14054369,ok
2020-05-14,15.4,17.18,15.17,17.07,11878177,ok
2020-05-15,16.79,17.13,16.455,16.54,6019174,ok
2020-05-18,17.65,18.11,17.56,17.96,7788995,ok
2020-05-19,17.8,18.2476,17.23,17.63,8177877,ok
2020-05-20,18.06,18.425,17.98,18.11,8362393,ok
2020-05-21,18.08,18.36,17.85,18.13,4733866,ok
2020-05-22,18.08,18.15,17.545,17.85,4521222,ok
2020-05-26,19.0,19.745,18.9,19.48,6925984,ok
2020-05-27,20.95,21.4,20.165,21.35,14811825,ok
2020-05-28,22.01,22.34,21.01,21.24,10115732,ok
2020-05-29,20.55,21.12,20.23,20.37,9237387,ok
2020-06-01,20.47,21.28,20.19,21.1,5751414,ok
2020-06-02,21.52,22.39,21.5,22.07,11442634,ok
2020-06-03,22.89,24.1,22.75,23.69,11010823,ok
2020-06-04,23.42,24.48,22.94,24.33,8537252,ok
2020-06-05,26.75,27.5,25.355,25.52,13584632,ok
2020-06-08,26.91,27.0,26.125,26.87,11088653,ok
2020-06-09,25.77,26.165,25.36,25.86,6656081,ok
2020-06-10,25.59,25.71,24.15,24.37,8059145,ok
2020-06-11,22.16,23.32,21.99,22.15,9077452,ok
2020-06-12,23.78,23.82,22.4,23.77,9480513,ok
2020-06-15,22.71,24.65,22.5323,24.39,9095590,ok
2020-06-16,25.96,26.01,24.33,25.16,9950281,ok
2020-06-17,25.26,25.49,24.66,24.75,11956560,ok
2020-06-18,24.17,24.8,24.02,24.25,9068424,ok
2020-06-19,24.88,24.91,23.365,23.77,14823217,ok
2020-06-22,23.53,24.095,23.18,23.79,11375391,ok
2020-06-23,24.16,24.51,23.775,23.92,10912105,ok
2020-06-24,23.25,23.35,22.07,22.09,8393091,ok
2020-06-25,21.91,22.81,21.69,22.75,7674532,ok
2020-06-26,22.22,22.31,21.24,21.39,11816495,ok
2020-06-29,21.74,22.17,21.325,21.95,5313052,ok
2020-06-30,21.77,22.29,21.64,22.16,4662013,ok
2020-07-01,22.3,22.67,21.4,21.61,5988211,ok
2020-07-02,22.35,22.825,21.8,21.86,7211943,ok
2020-07-06,22.48,22.87,22.31,22.8,4960260,ok
2020-07-07,22.58,22.67,21.76,21.79,4684178,ok
2020-07-08,21.76,22.34,21.62,22.32,5180996,ok
2020-07-09,22.27,22.29,21.04,21.34,5288391,ok
2020-07-10,21.39,22.58,21.28,22.56,4884583,ok
2020-07-13,22.93,23.21,22.27,22.69,7377253,ok
2020-07-14,22.57,22.955,22.15,22.45,6947279,ok
2020-07-15,22.75,23.77,22.74,23.64,7054808,ok
2020-07-16,23.42,24.13,23.25,23.75,4541338,ok
2020-07-17,23.7,23.83,23.01,23.21,6367785,ok
2020-07-20,23.15,23.275,22.37,22.38,6842180,ok
2020-07-21,22.05,23.21,21.67,22.64,8415429,ok
2020-07-22,22.24,23.15,22.14,22.92,4752067,ok
2020-07-23,22.7,23.5,22.65,23.39,7382624,ok
2020-07-24,23.5,23.84,23.18,23.56,7298558,ok
2020-07-27,23.4,23.81,22.88,23.74,5637061,ok
2020-07-28,23.51,23.8,23.01,23.08,4834716,ok
2020-07-29,23.08,23.81,22.97,23.78,4075716,ok
2020-07-30,23.21,23.315,22.72,23.17,4594703,ok
2020-07-31,23.0,23.0,21.895,22.13,6281211,ok
2020-08-03,22.3,22.99,22.04,22.72,6037274,ok
2020-08-04,22.68,22.98,22.55,22.65,4207964,ok
2020-08-05,22.93,23.39,22.69,23.33,5664644,ok
2020-08-06,23.07,23.34,22.89,23.09,4311503,ok
2020-08-07,22.86,23.69,22.55,23.69,5086852,ok
2020-08-10,23.73,25.0,23.71,24.59,7728498,ok
2020-08-11,25.55,26.125,25.03,25.1,5512346,ok
2020-08-12,25.65,25.71,24.07,24.74,5416040,ok
2020-08-13,24.4,24.77,24.18,24.7,4459899,ok
2020-08-14,24.4,25.24,24.175,24.93,3860156,ok
2020-08-17,24.8,24.88,24.22,24.35,4962541,ok
2020-08-18,24.44,24.55,23.885,23.98,4975240,ok
2020-08-19,24.13,24.53,23.9,24.11,4647008,ok
2020-08-20,23.71,24.12,23.66,23.94,4431740,ok
2020-08-21,23.9,24.275,23.82,23.91,2264115,ok
2020-08-24,24.1,25.26,23.93,25.25,5358154,ok
2020-08-25,25.59,25.72,24.71,24.9,3955677,ok
2020-08-26,24.78,25.01,24.3337,24.45,3012471,ok
2020-08-27,24.53,25.745,24.4946,25.58,5587798,ok
2020-08-28,25.75,25.93,25.43,25.78,3140864,ok
2020-08-31,25.77,25.77,24.81,24.81,5755793,ok
2020-09-01,24.65,25.19,24.39,24.86,3633709,ok
2020-09-02,24.87,25.01,24.51,24.82,6939288,ok
2020-09-03,25.06,25.88,24.6,25.12,7629383,ok
2020-09-04,25.65,26.49,25.38,26.17,7218231,ok
2020-09-08,25.61,26.1,25.31,25.53,5358966,ok
2020-09-09,25.8,25.855,25.141,25.6,3077736,ok
2020-09-10,25.79,26.59,25.315,25.4,5687178,ok
2020-09-11,25.49,25.85,25.27,25.79,3330314,ok
2020-09-14,26.01,27.38,26.01,26.96,5575785,ok
2020-09-15,27.06,27.14,26.47,26.49,4964087,ok
2020-09-16,26.65,27.915,26.135,27.59,7267458,ok
2020-09-17,27.08,27.73,26.89,27.64,4944214,ok
2020-09-18,27.45,27.765,27.062,27.23,5310045,ok
2020-09-21,26.1,26.49,25.665,25.9,6442576,ok
2020-09-22,25.91,26.27,25.12,25.61,5322111,ok
2020-09-23,25.73,26.28,24.97,25.1,5876619,ok
2020-09-24,24.88,25.455,24.2,24.77,4978574,ok
2020-09-25,24.57,25.27,24.52,25.14,3443567,ok
2020-09-28,25.85,26.26,25.65,25.79,3322087,ok
2020-09-29,25.84,25.97,25.275,25.55,3377412,ok
2020-09-30,25.68,26.615,25.55,26.17,6467741,ok
2020-10-01,26.45,26.7,26.1121,26.65,5059787,ok
2020-10-02,26.13,27.6,25.88,27.46,3597365,ok
2020-10-05,27.88,28.48,27.83,28.38,4232076,ok
2020-10-06,28.85,29.03,27.17,27.5,5768205,ok
2020-10-07,27.95,28.71,27.89,28.3,3930884,ok
2020-10-08,28.57,29.195,28.39,29.15,3265709,ok
2020-10-09,29.24,29.49,28.66,28.84,6596024,ok
2020-10-12,29.18,29.18,28.7514,28.87,4034787,ok
2020-10-13,28.61,28.9,28.3036,28.54,3181633,ok
2020-10-14,28.67,29.045,28.53,28.67,2827108,ok
2020-10-15,28.31,29.1399,28.12,29.1,2565369,ok
2020-10-16,29.31,29.865,29.21,29.38,3656599,ok
2020-10-19,29.61,29.985,29.035,29.08,5455288,ok
2020-10-20,28.06,28.41,27.43,27.61,11557937,ok
2020-10-21,27.52,27.65,26.805,26.86,6723727,ok
2020-10-22,27.25,28.06,27.02,27.96,5013602,ok
2020-10-23,28.23,28.43,27.16,27.75,7351507,ok
2020-10-26,27.27,27.29,26.37,26.89,5266669,ok
2020-10-27,26.89,26.997,26.22,26.23,3668936,ok
2020-10-28,25.39,25.825,24.875,25.17,6082836,ok
2020-10-29,25.08,25.605,24.76,25.46,4320945,ok
2020-10-30,25.01,25.35,24.47,25.02,4695281,ok
2020-11-02,25.51,26.175,25.35,25.96,3552634,ok
2020-11-03,26.74,26.95,26.415,26.66,3985191,ok
2020-11-04,25.94,27.31,25.179,26.52,6709689,ok
2020-11-05,26.86,27.66,26.83,27.48,4233290,ok
2020-11-06,27.53,27.765,26.65,26.8,3108385,ok
2020-11-09,29.99,31.0,29.75,29.85,11257262,ok
2020-11-10,29.87,30.36,29.57,29.61,5692152,ok
2020-11-11,29.74,29.805,28.55,29.4,5649214,ok
2020-11-12,28.92,29.825,28.7,29.11,4225212,ok
2020-11-13,29.51,30.24,29.34,30.02,4021739,ok
2020-11-16,31.0,31.52,30.58,31.11,6004523,ok
2020-11-17,30.55,30.76,29.555,30.57,3914654,ok
2020-11-18,30.62,31.36,30.08,30.08,4522820,ok
2020-11-19,29.8,30.17,29.48,30.05,3129039,ok
2020-11-20,29.78,29.87,29.32,29.45,4045870,ok
2020-11-23,30.08,30.9,29.84,30.63,3396300,ok
2020-11-24,31.5,31.99,31.16,31.97,5505470,ok
2020-11-25,31.6,31.6,30.995,31.38,3173250,ok
2020-11-27,31.2,31.315,30.86,31.09,1351073,ok
2020-11-30,31.6,31.91,30.435,30.47,6726547,ok
2020-12-01,31.25,32.04,31.09,31.47,4775003,ok
2020-12-02,31.4,32.465,31.03,32.33,4440842,ok
2020-12-03,32.19,32.73,32.05,32.35,3168804,ok
2020-12-04,32.76,33.04,32.18,32.97,4127188,ok
2020-12-07,32.83,32.95,32.33,32.57,4580562,ok
2020-12-08,32.07,32.52,31.873,32.39,3836956,ok
2020-12-09,32.55,32.85,32.05,32.35,4979804,ok
2020-12-10,32.3,33.105,31.89,32.98,4741263,ok
2020-12-11,32.61,32.7,32.0082,32.27,4805238,ok
2020-12-14,32.75,32.78,31.64,31.91,3039129,ok
2020-12-15,32.35,32.76,31.7,32.73,4375068,ok
2020-12-16,32.92,33.1,32.285,32.96,3083916,ok
2020-12-17,33.09,33.33,32.81,33.3,3046965,ok
2020-12-18,33.21,33.25,32.17,32.35,8973935,ok
2020-12-21,32.7,33.885,32.31,33.38,6644718,ok
2020-12-22,33.51,33.935,33.24,33.26,3663365,ok
2020-12-23,33.6,34.4,33.535,34.13,2976334,ok
2020-12-24,34.2,34.2,33.61,33.96,844443,ok
2020-12-28,34.17,34.52,33.95,33.95,1903184,ok
2020-12-29,34.07,34.21,33.45,33.93,2217026,ok
2020-12-30,34.0,34.65,33.93,34.29,2617542,ok
2020-12-31,34.21,34.78,34.1,34.71,2331659,ok
2021-01-04,35.0,35.04,34.07,34.14,6207590,ok
2021-01-05,34.25,34.98,34.195,34.77,5154191,ok
2021-01-06,35.54,37.35,35.16,36.88,10200043,ok
2021-01-07,37.29,37.43,36.39,36.71,8355637,ok
2021-01-08,36.85,36.97,36.04,36.58,4614975,ok
2021-01-11,35.98,36.53,35.6,36.29,4701412,ok
2021-01-12,36.43,37.05,36.21,36.56,3777903,ok
2021-01-13,36.67,37.96,36.61,37.41,7977660,ok
2021-01-14,37.71,39.18,37.52,38.91,10254773,ok
2021-01-15,38.23,39.185,37.84,38.77,7955723,ok
2021-01-19,39.68,39.96,39.29,39.7,7771888,ok
2021-01-20,40.0,40.69,39.56,39.91,5688925,ok
2021-01-21,39.49,39.95,38.07,38.17,7097087,ok
2021-01-22,37.59,37.66,37.17,37.37,5598213,ok
2021-01-25,36.96,37.0,35.53,36.63,6013565,ok
2021-01-26,36.92,36.97,35.35,35.38,5316897,ok
2021-01-27,35.14,35.75,34.15,34.38,9433487,ok
2021-01-28,34.83,36.08,34.26,35.89,11743395,ok
2021-01-29,34.87,35.85,33.41,33.65,12483537,ok
2021-02-01,34.63,34.86,33.99,34.69,7520438,ok
2021-02-02,35.1,36.25,35.077,36.04,8212020,ok
2021-02-03,36.03,36.43,35.65,36.11,5291849,ok
2021-02-04,36.0,37.63,36.0,37.14,8455097,ok
2021-02-05,37.6,37.82,37.18,37.29,4858889,ok
2021-02-08,37.55,37.7563,37.07,37.67,7481482,ok
2021-02-09,37.61,37.74,37.1,37.12,7013050,ok
2021-02-10,37.45,37.92,36.83,37.88,4124652,ok
2021-02-11,37.88,37.965,36.85,37.28,2945637,ok
2021-02-12,37.32,37.71,36.91,37.15,2992158,ok
2021-02-16,37.46,38.03,37.095,37.9,3757312,ok
2021-02-17,37.7,38.305,37.31,37.47,4642891,ok
2021-02-18,37.06,37.42,36.45,36.65,4937032,ok
2021-02-19,37.06,38.315,36.98,38.08,5612726,ok
2021-02-22,37.95,39.38,37.94,38.82,6068832,ok
2021-02-23,39.0,39.23,38.01,38.48,6820879,ok
2021-02-24,38.66,40.32,38.6,40.22,8010194,ok
2021-02-25,40.5,40.6,38.715,39.02,7490960,ok
2021-02-26,38.77,39.46,37.98,38.68,7518187,ok
2021-03-01,39.46,40.44,39.4,40.0,8210993,ok
2021-03-02,39.83,40.29,39.44,39.56,6106571,ok
2021-03-03,39.84,40.895,39.71,40.12,5423464,ok
2021-03-04,39.77,40.18,37.76,38.91,8090787,ok
2021-03-05,39.75,40.22,37.92,40.1,7214810,ok
2021-03-08,40.51,41.21,40.04,40.64,8167866,ok
2021-03-09,40.46,40.735,39.62,40.17,6960005,ok
2021-03-10,40.48,41.86,40.47,41.61,6144280,ok
2021-03-11,41.43,42.81,41.25,42.66,5369642,ok
2021-03-12,43.02,43.24,42.57,42.7,4044485,ok
2021-03-15,42.83,43.01,41.62,42.82,6448617,ok
2021-03-16,42.67,42.685,41.31,42.2,6820222,ok
2021-03-17,42.47,43.16,41.88,43.14,7243802,ok
2021-03-18,43.43,43.61,40.99,41.26,8054680,ok
2021-03-19,40.61,41.52,40.0201,40.97,9836018,ok
2021-03-22,40.86,40.96,40.245,40.54,6843480,ok
2021-03-23,40.06,40.395,38.45,38.8,9354386,ok
2021-03-24,39.5,40.035,39.22,39.49,9934028,ok
2021-03-25,39.1,40.86,38.24,40.73,8072426,ok
2021-03-26,41.66,41.88,40.39,41.32,6159094,ok
2021-03-29,40.67,40.96,39.815,40.3,7423405,ok
2021-03-30,40.57,41.31,40.57,41.06,6312627,ok
2021-03-31,40.94,41.61,40.64,40.66,5550303,ok
2021-04-01,40.94,41.83,40.84,41.66,5775937,ok
2021-04-05,42.16,42.51,41.84,42.22,7898722,ok
2021-04-06,42.05,42.505,41.89,42.19,5310882,ok
2021-04-07,42.34,43.03,42.21,42.49,5536258,ok
2021-04-08,42.2,42.34,41.43,42.25,4697052,ok
2021-04-09,42.88,43.09,42.2388,42.8,6593831,ok
2021-04-12,42.81,43.24,42.545,43.15,4670994,ok
