Date,Open,High,Low,Close,Volume,Status
2020-01-02,84.0,84.5,81.95,83.26,1417448,ok
2020-01-03,81.61,83.52,81.3,82.96,551760,ok
2020-01-06,82.37,86.96,82.275,86.94,1038347,ok
2020-01-07,86.97,87.2,85.41,85.73,974014,ok
2020-01-08,86.23,87.42,86.0,86.22,951964,ok
2020-01-09,86.0,86.44,85.175,85.37,983581,ok
2020-01-10,85.92,86.1941,84.78,85.16,1118951,ok
2020-01-13,89.04,98.975,88.63,95.97,4250025,ok
2020-01-14,95.72,98.95,94.34,96.87,1878413,ok
2020-01-15,96.74,96.86,93.15,94.0,1565550,ok
2020-01-16,94.05,97.34,94.04,96.91,1053414,ok
2020-01-17,97.55,97.87,95.2,95.6,1229754,ok
2020-01-21,96.89,101.275,96.52,98.25,1809424,ok
2020-01-22,99.95,102.8,99.66,101.42,1705392,ok
2020-01-23,101.22,103.24,100.6,102.8,1389349,ok
2020-01-24,103.22,103.53,97.25,98.1,1330730,ok
2020-01-27,95.28,97.31,93.56,95.97,1448078,ok
2020-01-28,96.6,99.98,96.51,99.42,887513,ok
2020-01-29,100.56,104.1704,99.23,103.48,1434268,ok
2020-01-30,101.84,105.1671,101.19,104.75,1508924,ok
2020-01-31,103.8,104.61,99.46,101.71,1002033,ok
2020-02-03,102.69,103.3,101.39,101.99,891862,ok
2020-02-04,103.92,107.45,103.42,107.15,1588693,ok
2020-02-05,108.94,109.73,106.02,107.06,1377795,ok
2020-02-06,107.39,110.76,106.96,108.74,1066623,ok
2020-02-07,107.92,108.0682,105.51,105.84,1060591,ok
2020-02-10,106.0,109.93,105.85,109.7,1030788,ok
2020-02-11,110.5,112.09,109.85,110.43,1050271,ok
2020-02-12,108.19,111.27,106.0,110.0,1339219,ok
2020-02-13,109.62,113.08,108.94,112.02,1091703,ok
2020-02-14,112.6,113.16,110.35,111.77,1090778,ok
2020-02-18,111.0,117.87,110.8,117.24,1865837,ok
2020-02-19,118.64,119.26,116.64,117.36,2199093,ok
2020-02-20,117.0,117.15,111.75,115.9,1894267,ok
2020-02-21,115.45,115.6,110.75,113.54,1582041,ok
2020-02-24,107.5,115.71,106.05,114.26,1913493,ok
2020-02-25,114.94,125.91,110.5,118.4,3651588,ok
2020-02-26,120.0,120.26,113.01,116.86,3483123,ok
2020-02-27,138.9,148.0,129.04,135.15,8996479,ok
2020-02-28,139.7,145.0,120.15,124.96,6032185,ok
2020-03-02,126.94,128.466,121.06,124.49,2969866,ok
2020-03-03,124.5,124.63,119.37,123.58,2242281,ok
2020-03-04,125.17,126.0,122.59,124.64,2355857,ok
2020-03-05,123.4,138.07,122.76,134.33,4000262,ok
2020-03-06,139.03,140.63,132.36,135.9,4198481,ok
2020-03-09,125.81,136.09,120.0,133.54,2441470,ok
2020-03-10,137.51,150.97,127.5607,146.07,5538795,ok
2020-03-11,152.06,153.75,130.1001,137.4,6157729,ok
2020-03-12,126.75,131.7099,117.6,118.8,3990081,ok
2020-03-13,125.56,140.0,106.4156,127.95,5298428,ok
2020-03-16,122.61,132.74,115.405,116.74,4466196,ok
2020-03-17,119.96,132.78,102.01,118.24,5500502,ok
2020-03-18,115.01,137.88,115.0,136.93,5088662,ok
2020-03-19,140.15,148.49,132.07,139.63,4803124,ok
2020-03-20,140.48,158.2,137.28,141.74,4097586,ok
2020-03-23,146.48,168.0,143.79,167.44,5492953,ok
2020-03-24,173.75,176.4,148.48,162.02,8011916,ok
2020-03-25,159.31,160.7999,134.125,142.11,13377100,ok
2020-03-26,148.01,160.0,143.0006,159.5,5861312,ok
2020-03-27,157.91,170.98,156.0,164.16,3862308,ok
2020-03-30,170.79,171.0,159.52,163.56,3627163,ok
2020-03-31,159.86,161.9768,150.05,155.01,3189054,ok
2020-04-01,153.5,166.85,151.1,162.53,3191102,ok
2020-04-02,161.55,166.7499,154.47,159.32,2339966,ok
2020-04-03,156.51,162.48,155.01,156.21,1467356,ok
2020-04-06,150.0,151.7962,143.07,150.13,2679400,ok
2020-04-07,143.88,147.11,138.2,141.25,3680100,ok
