Date,Open,High,Low,Close,Volume,Status
2020-01-02,348.77,357.69,348.2138,357.49,193764,ok
2020-01-03,353.8,361.7334,353.8,360.05,202467,ok
2020-01-06,359.37,363.41,357.725,358.63,222449,ok
2020-01-07,358.01,362.43,356.7,361.09,263100,ok
2020-01-08,362.58,364.97,360.13,361.55,242582,ok
2020-01-09,363.86,368.2,362.64,366.1,186461,ok
2020-01-10,367.54,368.17,362.52,365.55,140409,ok
2020-01-13,367.33,371.13,366.38,369.88,170373,ok
2020-01-14,370.36,373.375,367.45,370.44,182068,ok
2020-01-15,370.04,377.21,370.04,375.01,216807,ok
2020-01-16,376.7,379.06,374.005,377.54,172736,ok
2020-01-17,378.94,380.45,375.87,376.88,265398,ok
2020-01-21,377.66,384.74,377.53,383.33,448626,ok
2020-01-22,389.06,398.99,373.735,375.38,753745,ok
2020-01-23,370.53,379.22,367.1,368.13,487680,ok
2020-01-24,368.2,369.75,360.21,361.87,364116,ok
2020-01-27,353.36,373.93,352.29,370.41,364028,ok
2020-01-28,372.1,381.42,370.4378,380.53,297242,ok
2020-01-29,381.48,382.6495,375.38,376.17,188970,ok
2020-01-30,374.05,379.945,370.58,373.99,199981,ok
2020-01-31,372.67,374.41,364.0,365.06,202302,ok
2020-02-03,367.37,371.86,366.96,369.34,166860,ok
2020-02-04,371.88,378.88,371.88,378.0,196615,ok
2020-02-05,380.87,380.87,374.83,379.82,127805,ok
2020-02-06,381.49,383.29,377.01,380.82,90835,ok
2020-02-07,380.34,385.85,378.09,384.24,146765,ok
2020-02-10,383.77,385.06,380.38,382.41,135886,ok
2020-02-11,385.1,389.29,382.41,386.94,174702,ok
2020-02-12,388.0,390.82,384.36,385.56,133095,ok
2020-02-13,385.18,394.4,385.18,392.02,189334,ok
2020-02-14,393.48,396.555,388.61,389.48,118027,ok
2020-02-18,389.89,392.12,387.87,388.6,108201,ok
2020-02-19,390.61,396.595,389.89,394.06,158809,ok
2020-02-20,392.86,395.92,383.2973,392.15,147181,ok
2020-02-21,391.11,391.11,384.03,385.66,287259,ok
2020-02-24,379.71,380.795,369.7,370.06,292273,ok
2020-02-25,370.78,373.51,356.23,357.84,249011,ok
2020-02-26,358.03,366.0,354.7,355.16,186163,ok
2020-02-27,350.14,351.9,339.12,339.17,243162,ok
2020-02-28,328.54,339.34,318.1358,337.32,451882,ok
2020-03-02,337.32,346.95,331.325,345.9,300230,ok
2020-03-03,347.01,359.65,344.32,353.43,353057,ok
2020-03-04,359.46,366.07,355.23,365.78,226003,ok
2020-03-05,357.99,367.25,350.67,361.03,353482,ok
2020-03-06,347.42,349.9269,332.14,337.62,253051,ok
2020-03-09,308.49,322.01,303.76,303.89,328007,ok
2020-03-10,311.69,316.305,298.8929,315.81,343451,ok
2020-03-11,304.815,311.21,295.3,299.83,283337,ok
2020-03-12,280.68,280.68,260.19,274.25,456972,ok
2020-03-13,290.47,292.61,264.57,292.34,260308,ok
2020-03-16,288.71,288.71,250.21,254.87,349123,ok
2020-03-17,257.58,267.33,243.671,260.89,456666,ok
2020-03-18,239.81,242.78,195.34,201.18,325075,ok
2020-03-19,199.16,228.26,196.0,226.24,344227,ok
2020-03-20,226.72,247.23,226.5,233.66,1138058,ok
2020-03-23,231.08,237.96,222.764,234.4,389818,ok
2020-03-24,246.56,266.73,246.56,265.62,451761,ok
2020-03-25,269.45,301.305,266.98,286.79,474736,ok
2020-03-26,292.23,305.53,290.06,305.53,353794,ok
2020-03-27,293.54,297.64,279.33,282.23,335163,ok
2020-03-30,282.45,296.19,278.97,295.38,218319,ok
2020-03-31,293.22,301.37,293.22,297.27,389562,ok
2020-04-01,285.02,292.03,273.39,277.11,298486,ok
2020-04-02,273.54,293.65,270.1,292.47,249701,ok
2020-04-03,290.11,296.24,285.74,288.73,346438,ok
2020-04-06,303.0,311.9375,300.13,308.39,261071,ok
2020-04-07,320.74,333.16,314.57,315.12,296286,ok
2020-04-08,320.35,332.26,319.15,329.81,224660,ok
2020-04-09,338.43,342.94,322.91,327.92,267580,ok
2020-04-13,326.8,326.8,311.87,319.08,155198,ok
2020-04-14,327.99,328.685,320.24,324.43,282488,ok
2020-04-15,315.79,317.75,307.2,313.25,246930,ok
2020-04-16,314.11,314.11,302.42,305.77,383337,ok
2020-04-17,316.86,321.025,313.22,318.08,536561,ok
2020-04-20,311.04,323.06,308.83,317.69,246283,ok
2020-04-21,311.53,313.645,302.45,304.8,156744,ok
2020-04-22,312.62,322.92,310.72,311.17,282283,ok
2020-04-23,312.0,324.65,312.0,314.55,178867,ok
2020-04-24,316.25,317.0,303.73,316.04,199770,ok
2020-04-27,317.02,321.08,312.71,319.94,179542,ok
2020-04-28,325.0,331.9016,322.09,325.9,155404,ok
2020-04-29,330.0,341.965,330.0,338.61,224564,ok
2020-04-30,332.7,332.7,325.66,325.67,288302,ok
2020-05-01,323.54,324.68,314.73,319.83,183491,ok
2020-05-04,313.37,319.795,310.77,317.95,178761,ok
2020-05-05,321.42,325.12,318.7,319.17,156930,ok
2020-05-06,320.75,322.24,314.425,316.87,136893,ok
2020-05-07,322.96,324.96,317.9,320.24,169318,ok
2020-05-08,324.31,334.5,324.31,332.72,280970,ok
2020-05-11,327.0,338.33,325.32,334.65,298053,ok
2020-05-12,330.0,338.11,325.42,325.42,250184,ok
2020-05-13,325.38,325.85,312.18,319.52,208894,ok
2020-05-14,313.91,315.05,303.19,314.73,165021,ok
2020-05-15,309.8,316.98,309.8,315.07,217548,ok
2020-05-18,328.07,332.98,326.465,330.18,228382,ok
2020-05-19,329.35,334.72,326.94,327.83,152227,ok
2020-05-20,334.46,335.52,331.88,333.0,134386,ok
2020-05-21,333.0,339.35,330.81,339.22,208233,ok
2020-05-22,340.35,340.35,333.7865,338.29,197014,ok
2020-05-26,349.49,354.94,345.405,351.67,232509,ok
2020-05-27,353.6,361.96,349.745,361.38,192796,ok
2020-05-28,367.23,374.69,364.67,369.93,225819,ok
2020-05-29,366.44,374.76,358.85,374.12,578960,ok
2020-06-01,372.12,375.0,364.35,365.14,200678,ok
2020-06-02,364.01,364.01,354.01,359.9,189459,ok
2020-06-03,364.7,369.42,361.5358,365.22,199616,ok
2020-06-04,361.35,372.68,360.7725,372.56,251926,ok
2020-06-05,378.0,385.07,374.13,377.0,232724,ok
