Date,Open,High,Low,Close,Volume,Status
2020-01-02,96.85,97.09,95.74,96.51,1866482,ok
2020-01-03,94.96,95.57,94.55,95.37,1439794,ok
2020-01-06,94.8,95.27,94.44,94.71,1150129,ok
2020-01-07,94.38,96.84,93.88,96.67,2103847,ok
2020-01-08,96.96,98.16,96.86,97.67,2000979,ok
2020-01-09,98.1,98.31,97.27,97.77,1253950,ok
2020-01-10,97.92,98.23,97.69,98.07,1528650,ok
2020-01-13,98.21,98.21,97.25,97.92,1225371,ok
2020-01-14,98.8,100.78,98.56,100.32,2502590,ok
2020-01-15,99.68,99.91,98.61,98.84,1275373,ok
2020-01-16,99.4,99.52,98.63,99.5,1395761,ok
2020-01-17,99.58,100.25,99.34,100.18,1709720,ok
2020-01-21,100.58,100.68,99.34,99.5,2619998,ok
2020-01-22,99.83,100.26,98.95,98.95,1464414,ok
2020-01-23,98.31,100.42,97.78,100.37,1728021,ok
2020-01-24,101.0,101.0,98.15,98.4,1794792,ok
2020-01-27,96.65,97.565,96.33,96.84,2012022,ok
2020-01-28,97.54,98.24,96.65,98.1,2131134,ok
2020-01-29,99.29,100.9,97.86,98.07,2735771,ok
2020-01-30,97.17,97.47,93.89,95.82,2750921,ok
2020-01-31,95.3,95.66,91.82,92.18,1949384,ok
2020-02-03,92.89,94.21,92.6,94.0,2355583,ok
2020-02-04,95.71,96.5995,94.58,95.33,2109915,ok
2020-02-05,96.04,97.02,95.62,96.96,2134507,ok
2020-02-06,97.09,97.48,94.55,94.63,1505608,ok
2020-02-07,93.91,93.91,92.48,93.22,1583646,ok
2020-02-10,92.66,93.37,91.96,93.18,1226891,ok
2020-02-11,93.73,95.11,93.42,93.45,1530388,ok
2020-02-12,94.39,94.97,93.6871,94.92,1971630,ok
2020-02-13,94.47,94.99,93.77,94.54,1609996,ok
2020-02-14,94.56,94.9,92.75,93.3,1433930,ok
2020-02-18,92.74,92.87,91.42,91.98,1651350,ok
2020-02-19,92.47,93.745,92.09,93.38,1147005,ok
2020-02-20,92.35,93.56,92.05,92.92,987804,ok
2020-02-21,92.04,92.63,90.9,91.73,1363002,ok
2020-02-24,88.91,89.18,87.27,88.09,1914574,ok
2020-02-25,89.0,89.02,86.02,86.35,2510828,ok
2020-02-26,86.94,88.73,86.15,86.16,2286447,ok
2020-02-27,84.19,86.26,83.115,83.19,2269574,ok
2020-02-28,80.43,83.08,78.83,82.87,3458347,ok
2020-03-02,83.62,85.36,81.55,85.35,2015248,ok
2020-03-03,85.14,86.481,82.3,83.0,2237705,ok
2020-03-04,84.09,85.825,83.01,85.8,1645549,ok
2020-03-05,82.94,83.4,81.0,81.37,2027377,ok
