Date,Open,High,Low,Close,Volume,Status
2020-01-02,68.84,69.79,68.54,69.68,1100833,ok
2020-01-03,68.13,68.91,67.47,68.23,1363418,ok
2020-01-06,67.31,67.345,66.23,66.75,1717617,ok
2020-01-07,67.08,68.87,66.85,68.22,2097484,ok
2020-01-08,68.39,68.87,68.0,68.3,1188128,ok
2020-01-09,68.91,69.5,67.47,68.26,1782997,ok
2020-01-10,68.53,68.88,67.825,67.93,1200913,ok
2020-01-13,69.82,69.82,68.75,69.27,1482486,ok
2020-01-14,69.27,70.74,69.27,70.27,2240768,ok
2020-01-15,70.27,70.27,68.64,69.15,1580333,ok
2020-01-16,69.43,70.82,69.4256,70.5,1609853,ok
2020-01-17,70.55,70.72,70.04,70.29,1300466,ok
2020-01-21,70.46,71.98,70.25,71.55,2956262,ok
2020-01-22,72.53,73.79,72.46,73.59,4299255,ok
2020-01-23,79.05,81.57,74.95,76.21,16146835,ok
2020-01-24,75.87,76.2,71.4,72.1,5662275,ok
2020-01-27,70.51,70.51,69.035,69.49,3699442,ok
2020-01-28,69.96,71.63,69.02,71.15,2625120,ok
2020-01-29,71.57,71.95,69.71,70.025,2232917,ok
2020-01-30,69.72,70.66,68.33,68.85,2411880,ok
2020-01-31,68.36,68.77,65.58,65.99,2952793,ok
2020-02-03,66.38,67.88,66.31,67.8,2033015,ok
2020-02-04,69.01,70.658,68.9168,70.47,2006730,ok
2020-02-05,71.75,71.83,70.2,71.28,1377207,ok
2020-02-06,71.28,71.715,70.73,71.37,1119956,ok
2020-02-07,70.69,71.0,69.21,69.45,1604909,ok
2020-02-10,69.0,70.63,68.83,70.55,1182558,ok
2020-02-11,71.39,73.04,71.2,72.4,1565745,ok
2020-02-12,72.77,73.56,72.46,73.1,1503098,ok
2020-02-13,72.72,73.6,72.115,72.58,2073785,ok
2020-02-14,72.8,72.88,69.66,70.16,2040249,ok
2020-02-18,67.92,68.31,66.725,67.39,4029097,ok
2020-02-19,68.33,68.7,67.85,67.98,2210201,ok
2020-02-20,67.86,68.57,66.25,67.89,1793334,ok
2020-02-21,67.56,67.56,65.64,66.0,2329956,ok
2020-02-24,63.185,64.51,62.675,63.88,4037275,ok
2020-02-25,64.7,64.78,61.19,61.63,2879526,ok
2020-02-26,61.98,62.96,61.1196,61.43,1973074,ok
2020-02-27,59.53,60.2,57.58,58.41,4047688,ok
2020-02-28,55.77,58.97,55.32,58.76,3649402,ok
2020-03-02,59.41,60.68,57.58,60.49,2780288,ok
2020-03-03,60.51,61.44,57.9,58.47,2071551,ok
2020-03-04,59.59,62.5,59.57,62.47,2588617,ok
2020-03-05,60.64,61.54,59.79,60.62,1637732,ok
2020-03-06,58.66,59.71,57.25,58.92,1917185,ok
2020-03-09,53.4,56.51,53.0101,55.08,2484204,ok
2020-03-10,56.88,59.16,55.08,59.01,2713884,ok
2020-03-11,57.29,58.09,54.67,54.88,2535144,ok
2020-03-12,50.8,53.06,49.6,49.83,3130232,ok
2020-03-13,53.23,54.88,48.68,54.53,2910590,ok
2020-03-16,48.1,53.92,46.775,48.15,2791912,ok
2020-03-17,49.55,52.145,47.39,51.72,2535439,ok
2020-03-18,47.57,51.1,42.87,46.18,2665228,ok
2020-03-19,45.77,50.08,45.57,47.0,2558466,ok
2020-03-20,48.39,49.92,44.07,44.29,2663741,ok
2020-03-23,44.61,47.38,43.32,45.97,2652540,ok
2020-03-24,48.33,52.98,47.83,52.82,3422632,ok
2020-03-25,53.25,56.99,51.05,54.24,3288069,ok
2020-03-26,54.97,57.54,54.72,57.51,2442560,ok
2020-03-27,55.63,56.61,54.56,54.85,2156721,ok
2020-03-30,54.98,56.09,53.74,55.24,1872103,ok
2020-03-31,55.97,56.07,53.41,54.17,2192726,ok
2020-04-01,52.39,53.935,51.43,52.14,1839552,ok
2020-04-02,51.21,53.54,51.15,53.43,1387342,ok
2020-04-03,52.71,54.02,51.89,52.86,1426542,ok
2020-04-06,55.06,59.46,55.06,59.2,2591870,ok
2020-04-07,61.57,62.15,58.93,59.19,2910605,ok
2020-04-08,59.95,62.98,59.12,62.78,1911981,ok
2020-04-09,63.61,64.89,60.44,61.15,2686599,ok
2020-04-13,60.81,61.43,59.82,60.96,908208,ok
2020-04-14,62.71,64.61,62.56,63.31,1557507,ok
2020-04-15,60.92,61.82,59.23,61.1,1727458,ok
2020-04-16,62.43,64.59,61.96,63.86,3100168,ok
2020-04-17,65.375,66.44,63.25,63.83,2944499,ok
2020-04-20,63.11,63.81,62.46,62.47,1362925,ok
2020-04-21,61.47,62.47,60.23,60.93,3005237,ok
2020-04-22,66.2835,66.2835,57.49,62.78,6689916,ok
2020-04-23,60.43,62.55,60.43,61.2,2608671,ok
2020-04-24,61.22,62.17,60.28,62.0,1564837,ok
2020-04-27,62.64,65.1058,62.4588,63.75,1626676,ok
2020-04-28,64.58,64.84,61.8,63.19,1755337,ok
2020-04-29,63.09,67.54,63.09,67.32,2598459,ok
2020-04-30,66.7,66.87,62.53,62.54,2207599,ok
2020-05-01,60.73,61.0607,56.71,57.85,3333279,ok
2020-05-04,57.34,59.18,57.05,58.58,2171347,ok
2020-05-05,60.4722,61.65,59.09,59.44,1709790,ok
2020-05-06,60.42,61.68,59.825,60.5,1596684,ok
2020-05-07,61.36,62.64,61.36,62.43,2482217,ok
2020-05-08,63.1,65.705,63.1,65.09,2052703,ok
2020-05-11,64.18,64.55,63.0656,63.11,2790417,ok
2020-05-12,63.41,63.92,61.29,61.3,1735957,ok
2020-05-13,61.2,62.2247,58.64,59.73,1718300,ok
2020-05-14,58.93,61.55,57.33,61.39,2040983,ok
2020-05-15,57.44,59.36,56.42,56.89,3275490,ok
2020-05-18,58.51,60.97,57.5,60.65,2534835,ok
2020-05-19,60.99,62.97,60.73,61.12,1562895,ok
2020-05-20,62.73,63.84,62.5,63.53,2042432,ok
2020-05-21,62.86,63.42,60.94,61.74,1530896,ok
2020-05-22,61.95,62.8,61.1,62.75,850399,ok
2020-05-26,64.8,65.865,63.11,64.85,1924775,ok
2020-05-27,65.97,67.69,64.92,67.59,2647579,ok
2020-05-28,67.65,68.17,64.21,64.56,2279936,ok
2020-05-29,64.77,67.25,64.77,67.02,2465128,ok
2020-06-01,66.84,67.95,66.5,67.16,1963973,ok
2020-06-02,67.38,69.49,67.12,69.45,1344941,ok
2020-06-03,71.27,73.48,70.62,72.32,2479193,ok
2020-06-04,72.45,73.685,71.84,73.19,1996384,ok
2020-06-05,75.91,78.03,75.2,76.76,2529873,ok
2020-06-08,78.0,78.19,73.91,74.9,2851252,ok
2020-06-09,73.66,75.71,72.5,74.865,2979758,ok
2020-06-10,75.35,77.48,74.96,76.28,2280848,ok
2020-06-11,74.0,74.47,70.76,70.81,2753224,ok
2020-06-12,73.5,74.19,70.32,71.75,2548652,ok
2020-06-15,70.43,74.67,70.06,74.57,2745039,ok
2020-06-16,77.66,78.86,75.81,77.03,2605225,ok
2020-06-17,77.47,78.77,77.08,78.42,2155705,ok
2020-06-18,78.86,79.93,78.01,79.61,2025212,ok
2020-06-19,80.43,82.79,80.03,82.75,4815175,ok
2020-06-22,82.94,84.5,81.7891,83.85,2598564,ok
2020-06-23,85.0,85.42,83.5,83.74,1988140,ok
2020-06-24,83.66,84.86,80.9,81.36,3000695,ok
2020-06-25,81.48,84.83,80.6301,84.83,2551761,ok
2020-06-26,84.621,84.97,81.64,81.85,2395952,ok
2020-06-29,81.78,83.34,80.58,82.83,1607211,ok
2020-06-30,83.6125,84.86,82.16,84.51,2338153,ok
2020-07-01,84.7,84.79,82.81,82.91,1422420,ok
2020-07-02,84.0,85.72,83.67,84.58,1609794,ok
2020-07-06,86.92,89.58,86.2,88.13,1793878,ok
2020-07-07,87.78,88.88,86.3,86.34,1995054,ok
2020-07-08,87.46,88.45,86.62,87.75,1724326,ok
2020-07-09,88.28,89.27,87.13,88.46,1440872,ok
2020-07-10,88.5,88.85,85.88,87.38,2076710,ok
2020-07-13,88.45,90.7,86.81,86.85,2280526,ok
2020-07-14,83.5235,86.64,82.91,86.61,2584656,ok
2020-07-15,87.17,87.17,84.69,86.53,1590784,ok
2020-07-16,85.16,86.53,84.87,86.1,1096930,ok
2020-07-17,86.27,86.63,85.61,86.42,1031724,ok
2020-07-20,86.95,89.855,86.42,89.74,1575289,ok
2020-07-21,89.74,90.38,88.41,89.72,3364699,ok
2020-07-22,89.24,90.2299,86.49,89.49,3475706,ok
2020-07-23,89.7721,90.645,84.3785,86.1,2764168,ok
2020-07-24,84.175,84.97,82.74,83.53,2253295,ok
2020-07-27,84.99,88.9,84.36,88.32,3006491,ok
2020-07-28,87.34,88.05,86.24,87.0,2203320,ok
2020-07-29,87.75,89.82,87.63,88.77,2318034,ok
2020-07-30,87.71,88.75,86.23,88.61,1451320,ok
2020-07-31,88.47,89.03,86.18,88.96,2330764,ok
2020-08-03,89.46,91.31,89.46,90.26,1747131,ok
2020-08-04,90.25,90.39,88.48,89.53,1126536,ok
2020-08-05,89.76,90.87,89.35,90.65,3476553,ok
2020-08-06,91.0,92.24,89.53,90.86,1675103,ok
2020-08-07,90.3,90.97,85.64,87.57,2315277,ok
2020-08-10,87.75,88.43,86.08,87.1,1418624,ok
2020-08-11,86.85,88.0,86.05,86.27,1525325,ok
2020-08-12,87.27,89.93,86.3612,89.65,1310048,ok
2020-08-13,90.0,90.87,88.8986,89.98,996984,ok
2020-08-14,90.27,93.4381,89.65,90.06,1314682,ok
2020-08-17,91.0,92.48,90.28,91.98,929396,ok
2020-08-18,92.48,92.65,90.04,91.23,1133122,ok
2020-08-19,91.62,92.28,90.085,90.24,840751,ok
2020-08-20,89.0,89.23,88.02,88.73,1181356,ok
2020-08-21,88.58,88.58,87.52,88.0,1258350,ok
2020-08-24,88.97,89.86,88.27,89.09,829897,ok
2020-08-25,89.51,90.34,89.16,90.31,1158242,ok
