Date,Open,High,Low,Close,Volume,Status
2020-01-02,128.74,128.9,125.26,126.07,5152676,ok
2020-01-03,124.66,125.53,123.93,124.76,5019830,ok
2020-01-06,123.97,124.6517,123.22,123.58,4228712,ok
2020-01-07,123.0,124.43,123.0,123.8,3667938,ok
2020-01-08,124.05,125.2472,123.34,123.4,5732562,ok
2020-01-09,123.5,124.91,122.66,123.5,5369999,ok
2020-01-10,124.71,125.7,124.05,124.73,4678388,ok
2020-01-13,124.59,124.68,122.9267,123.87,3633700,ok
2020-01-14,123.6,125.66,123.435,125.26,3293810,ok
2020-01-15,117.49,119.4,115.56,117.0,26743413,ok
2020-01-16,117.14,117.32,115.83,116.32,9361595,ok
2020-01-17,116.49,117.79,116.17,116.92,7303836,ok
2020-01-21,116.66,116.66,113.82,114.04,8188045,ok
2020-01-22,114.14,115.08,113.77,113.9,5070573,ok
2020-01-23,113.53,115.57,113.096,115.53,4641911,ok
2020-01-24,116.0,116.0,113.64,114.32,4338894,ok
2020-01-27,112.95,116.21,112.57,115.78,6779205,ok
2020-01-28,116.15,116.46,115.43,115.44,3865136,ok
2020-01-29,115.78,116.08,114.25,114.27,5253317,ok
2020-01-30,113.77,114.71,112.89,114.67,4466432,ok
2020-01-31,113.41,113.79,110.37,110.74,6961859,ok
2020-02-03,111.14,113.41,111.0,112.51,5187064,ok
2020-02-04,113.64,114.8,113.2,113.25,3625983,ok
2020-02-05,114.01,115.9,113.85,115.53,3636704,ok
2020-02-06,115.99,116.38,114.756,115.14,4024950,ok
2020-02-07,115.02,115.645,114.46,115.61,2970771,ok
2020-02-10,115.6,117.24,115.6,116.98,3861956,ok
2020-02-11,117.07,117.14,115.12,116.69,3065138,ok
2020-02-12,116.66,118.75,116.47,118.11,3764763,ok
2020-02-13,117.84,118.5,117.42,118.28,2654853,ok
2020-02-14,118.3,118.46,116.3,116.63,3289074,ok
2020-02-18,116.95,117.8664,116.35,117.83,3124505,ok
2020-02-19,117.69,118.13,117.05,117.39,2866708,ok
2020-02-20,116.97,118.29,116.57,118.26,2659414,ok
2020-02-21,117.83,118.88,116.8,117.01,3856485,ok
2020-02-24,114.48,115.99,113.12,113.78,5305158,ok
2020-02-25,114.19,115.1499,111.63,111.72,5095911,ok
2020-02-26,112.18,112.705,110.29,110.66,4319837,ok
2020-02-27,108.38,109.38,105.54,105.62,6713420,ok
2020-02-28,102.21,104.2,100.74,103.0,9223549,ok
2020-03-02,103.38,109.44,102.946,109.06,9691097,ok
2020-03-03,112.0,112.2,103.96,105.84,10927418,ok
2020-03-04,107.0,108.07,104.67,107.82,6834765,ok
2020-03-05,105.64,108.44,105.25,105.97,5294937,ok
2020-03-06,104.16,106.43,102.75,105.95,5370785,ok
2020-03-09,99.76,107.68,99.76,104.03,7346571,ok
2020-03-10,106.24,109.59,104.8,108.33,7461033,ok
2020-03-11,106.03,107.98,103.42,105.58,6103609,ok
