Date,Open,High,Low,Close,Volume,Status
2020-01-02,27.16,27.32,26.58,26.93,3823624,ok
2020-01-03,26.51,26.93,26.43,26.92,3511198,ok
2020-01-06,26.67,27.3,26.6,27.26,4040493,ok
2020-01-07,27.3,27.81,27.08,27.52,2765824,ok
2020-01-08,27.68,27.96,27.26,27.7,3624581,ok
2020-01-09,27.77,27.77,26.925,27.38,2983472,ok
2020-01-10,27.29,27.615,27.17,27.43,2324078,ok
2020-01-13,27.56,28.2,27.415,28.1,2693867,ok
2020-01-14,28.26,28.785,28.12,28.63,4262195,ok
2020-01-15,28.55,28.78,28.275,28.56,3603757,ok
2020-01-16,28.88,29.19,28.69,28.85,2607413,ok
2020-01-17,28.89,28.99,28.6286,28.89,2475863,ok
2020-01-21,28.75,28.75,28.2,28.36,3559386,ok
2020-01-22,28.26,28.42,27.6,27.65,3385957,ok
2020-01-23,27.43,28.025,27.02,27.94,2696105,ok
2020-01-24,27.97,27.97,27.07,27.29,3258794,ok
2020-01-27,26.48,26.81,26.16,26.24,3976176,ok
2020-01-28,26.55,26.67,25.97,26.4,3629466,ok
2020-01-29,26.58,26.94,26.53,26.76,3691536,ok
2020-01-30,26.4,26.74,26.21,26.64,4661223,ok
2020-01-31,26.57,26.57,25.5667,25.77,4950281,ok
2020-02-03,25.93,26.42,25.82,26.03,5261512,ok
2020-02-04,26.77,27.5,26.62,27.2,4588548,ok
2020-02-05,27.57,28.455,27.538,28.39,4885833,ok
2020-02-06,29.85,30.4,28.98,29.0,8871670,ok
2020-02-07,27.95,28.41,27.525,27.97,6067880,ok
2020-02-10,27.86,28.51,27.73,28.51,3914517,ok
2020-02-11,28.87,28.94,28.51,28.58,3518380,ok
2020-02-12,28.85,29.49,28.7,29.47,3721113,ok
2020-02-13,29.08,29.26,28.54,28.83,3771240,ok
2020-02-14,28.83,29.23,28.71,29.21,2763495,ok
2020-02-18,28.75,29.1,27.92,28.1,4149845,ok
2020-02-19,28.19,28.45,27.85,28.04,3176204,ok
2020-02-20,28.1,28.95,27.89,28.81,3213714,ok
2020-02-21,28.45,28.79,27.74,27.99,4309670,ok
2020-02-24,26.33,26.41,25.37,25.55,6669853,ok
2020-02-25,25.8,25.805,24.245,24.35,5951301,ok
2020-02-26,24.58,25.1,23.5,23.52,4868075,ok
2020-02-27,22.77,24.39,22.29,22.95,6576811,ok
2020-02-28,22.22,23.47,22.11,23.45,6564849,ok
2020-03-02,23.51,23.75,22.68,23.69,5852943,ok
2020-03-03,23.78,24.78,23.09,23.36,7162827,ok
2020-03-04,23.66,24.34,23.08,24.33,4956122,ok
2020-03-05,23.09,23.49,21.97,22.22,5737559,ok
2020-03-06,21.25,22.23,21.035,21.7,4719372,ok
2020-03-09,20.02,20.26,18.13,18.43,5948841,ok
2020-03-10,19.56,19.94,18.0,19.16,5497077,ok
2020-03-11,18.44,18.53,17.36,17.57,5920536,ok
2020-03-12,16.18,16.47,14.71,15.01,5996343,ok
2020-03-13,15.57,16.23,14.06,16.23,9506101,ok
2020-03-16,13.25,13.95,11.475,11.48,7939936,ok
2020-03-17,11.8,13.2,10.85,13.19,9038581,ok
2020-03-18,12.02,13.38,11.87,13.36,7852639,ok
2020-03-19,13.09,13.95,12.09,12.71,8261013,ok
2020-03-20,13.07,13.15,11.7,12.04,10161433,ok
2020-03-23,12.0,12.17,10.505,10.58,7546312,ok
2020-03-24,11.51,13.83,11.36,13.72,5540758,ok
2020-03-25,13.91,15.665,13.53,14.9,7120583,ok
2020-03-26,14.69,15.795,14.02,15.16,6986834,ok
2020-03-27,14.17,14.45,13.06,13.91,5186112,ok
2020-03-30,13.96,14.11,12.89,13.21,5773447,ok
2020-03-31,12.96,13.65,12.785,12.95,5512262,ok
2020-04-01,12.0,12.18,10.86,11.07,5569420,ok
2020-04-02,10.72,11.3,10.18,11.01,8042946,ok
2020-04-03,10.65,11.21,10.475,11.09,4702095,ok
2020-04-06,11.92,13.3,11.87,13.04,6567351,ok
2020-04-07,14.12,15.13,13.975,14.47,8662409,ok
2020-04-08,15.15,15.59,14.705,14.97,5924317,ok
2020-04-09,15.65,16.66,15.1,15.7,7291441,ok
2020-04-13,15.95,15.95,14.26,14.77,3925794,ok
2020-04-14,15.1,15.57,14.85,15.38,3227730,ok
2020-04-15,14.5,14.625,13.855,14.42,4336312,ok
2020-04-16,14.43,14.625,13.96,14.41,3710011,ok
2020-04-17,15.16,15.98,15.1,15.22,3880225,ok
2020-04-20,14.71,15.2,14.12,14.21,3808210,ok
2020-04-21,13.62,14.05,13.31,13.75,4891123,ok
2020-04-22,14.02,14.18,13.34,13.41,3426174,ok
2020-04-23,13.44,14.24,13.42,13.77,3235663,ok
2020-04-24,13.93,14.055,13.45,13.64,6277809,ok
2020-04-27,14.0,15.33,13.7309,15.05,6168884,ok
2020-04-28,15.8,16.29,15.23,16.11,5122971,ok
2020-04-29,16.88,17.35,16.61,17.05,6275388,ok
2020-04-30,16.5,16.55,14.25,14.88,12074629,ok
2020-05-01,14.41,15.2,14.06,15.16,5153994,ok
2020-05-04,14.58,15.35,14.31,14.77,5409798,ok
2020-05-05,15.38,15.58,14.715,14.77,4548665,ok
2020-05-06,14.99,15.22,13.98,14.07,4826963,ok
2020-05-07,14.32,14.81,14.27,14.5,5377344,ok
2020-05-08,14.99,15.06,14.53,14.88,4614761,ok
2020-05-11,14.53,14.56,13.7601,13.92,4120280,ok
2020-05-12,13.97,14.32,13.14,13.19,4467888,ok
2020-05-13,13.0,13.1,11.74,11.93,9159573,ok
2020-05-14,11.63,12.485,11.51,12.41,6308003,ok
2020-05-15,11.95,12.49,11.68,12.2,7955734,ok
2020-05-18,13.16,13.54,12.99,13.39,6576800,ok
2020-05-19,13.19,13.195,12.58,12.86,6534974,ok
2020-05-20,13.16,13.4,13.0,13.26,6053463,ok
2020-05-21,13.24,14.55,13.17,14.24,7686465,ok
2020-05-22,14.34,14.65,13.84,13.98,5172821,ok
2020-05-26,14.86,15.18,14.59,14.75,5864527,ok
2020-05-27,15.37,15.55,14.81,15.38,6960098,ok
2020-05-28,15.36,15.47,13.84,13.99,6315505,ok
2020-05-29,13.76,14.2,13.31,13.6,18881910,ok
2020-06-01,13.74,14.3881,13.58,14.19,7297216,ok
2020-06-02,14.38,14.61,14.1,14.5,6322544,ok
2020-06-03,14.93,16.22,14.87,15.69,9876500,ok
2020-06-04,15.67,16.68,15.23,16.44,6864452,ok
2020-06-05,17.91,17.95,17.3,17.31,9222261,ok
2020-06-08,18.11,18.15,17.17,17.98,6208209,ok
2020-06-09,17.3,17.315,16.52,16.55,6813894,ok
2020-06-10,16.42,16.5,15.44,15.48,5964275,ok
2020-06-11,14.12,14.575,13.93,14.12,6201868,ok
2020-06-12,14.99,15.15,14.04,14.48,4181693,ok
2020-06-15,13.84,14.39,13.65,14.19,5334471,ok
2020-06-16,15.32,15.68,14.79,14.99,6053313,ok
2020-06-17,14.98,14.99,14.21,14.22,3326560,ok
2020-06-18,14.0,14.445,13.8,13.98,3540366,ok
2020-06-19,14.59,14.69,13.52,13.53,9328968,ok
2020-06-22,13.5,13.855,13.3,13.71,5504505,ok
2020-06-23,14.01,14.07,13.485,13.78,3698943,ok
2020-06-24,13.48,13.58,12.69,12.8,4421298,ok
2020-06-25,12.62,12.69,12.31,12.6,4918217,ok
2020-06-26,12.45,12.765,12.3,12.55,9181289,ok
2020-06-29,12.7,13.37,12.41,13.35,6374891,ok
2020-06-30,13.2,13.515,12.97,13.28,5027747,ok
