Date,Open,High,Low,Close,Volume,Status
2020-01-02,122.35,125.17,122.25,125.16,1315972,ok
2020-01-03,123.9,125.54,123.105,124.75,958779,ok
2020-01-06,124.16,125.57,123.28,125.52,771309,ok
2020-01-07,125.42,126.67,125.245,126.02,826735,ok
2020-01-08,126.5,128.0,126.25,127.22,751109,ok
2020-01-09,127.69,128.48,126.83,128.28,903172,ok
2020-01-10,128.43,128.87,127.13,127.46,955014,ok
2020-01-13,127.97,131.07,127.82,131.03,1733221,ok
2020-01-14,131.04,131.25,129.42,129.73,980790,ok
2020-01-15,129.72,130.715,129.01,130.15,663060,ok
2020-01-16,131.02,132.04,130.74,132.02,921932,ok
2020-01-17,132.49,132.755,131.59,132.26,1418615,ok
2020-01-21,131.74,132.9223,131.6,132.3,1491683,ok
2020-01-22,132.91,133.545,132.24,132.57,1178132,ok
2020-01-23,131.44,133.25,130.64,133.21,1108414,ok
2020-01-24,133.96,134.555,130.37,131.18,1019888,ok
2020-01-27,130.02,130.6978,127.43,128.54,1197425,ok
2020-01-28,130.09,131.94,129.07,131.3,1336044,ok
2020-01-29,134.15,137.485,132.5,136.12,1782911,ok
2020-01-30,132.4,136.65,132.28,136.57,1521112,ok
2020-01-31,136.25,136.34,133.09,133.53,1954830,ok
2020-02-03,134.28,136.0,133.15,134.52,1477809,ok
2020-02-04,136.5,137.9,135.7,136.81,1122490,ok
2020-02-05,138.98,138.99,135.69,137.94,1172592,ok
2020-02-06,138.2,139.47,136.945,137.77,1058006,ok
2020-02-07,137.29,138.57,136.77,138.24,729016,ok
2020-02-10,138.0,138.796,137.41,138.48,783067,ok
2020-02-11,139.05,139.815,138.26,138.61,751251,ok
2020-02-12,138.87,139.5,137.12,138.48,940296,ok
2020-02-13,138.01,138.01,136.13,136.42,1258225,ok
2020-02-14,136.46,137.485,136.11,137.39,713895,ok
2020-02-18,137.4,138.195,136.635,137.78,870701,ok
2020-02-19,138.33,139.36,137.5,139.06,866752,ok
2020-02-20,138.91,139.35,136.83,137.74,1105068,ok
2020-02-21,137.64,137.64,134.84,136.27,1059010,ok
2020-02-24,132.36,133.23,130.91,131.75,1288842,ok
2020-02-25,132.74,133.2,125.98,126.54,1865959,ok
2020-02-26,127.2,129.35,126.58,126.61,1697208,ok
2020-02-27,123.86,125.3,119.76,119.84,2036102,ok
2020-02-28,115.93,118.11,113.69,118.01,3329692,ok
2020-03-02,119.11,125.67,117.76,125.48,2737047,ok
2020-03-03,124.44,126.59,121.1,123.49,2985902,ok
2020-03-04,125.36,128.94,124.035,128.76,2005894,ok
2020-03-05,125.04,125.23,119.9595,122.01,2083924,ok
2020-03-06,116.78,118.37,113.89,116.75,2228735,ok
2020-03-09,106.15,110.81,103.5025,103.64,3009096,ok
2020-03-10,108.13,113.73,106.2,112.79,2795268,ok
2020-03-11,109.08,110.15,103.97,105.52,2359215,ok
2020-03-12,97.08,100.81,91.68,91.73,3494035,ok
2020-03-13,97.35,107.36,95.01,107.33,3063404,ok
2020-03-16,91.84,108.55,88.3,97.55,3687442,ok
2020-03-17,99.3,108.96,97.1,108.11,3420632,ok
2020-03-18,101.55,109.535,98.61,108.41,3937207,ok
2020-03-19,107.12,109.16,100.615,102.61,3098148,ok
2020-03-20,102.4,102.4,90.0,90.34,3946689,ok
2020-03-23,89.975,90.545,82.51,85.42,3411652,ok
2020-03-24,90.15,93.03,87.49,89.5,3037211,ok
2020-03-25,90.58,95.67,88.84,92.99,4559541,ok
2020-03-26,94.72,102.03,93.01,101.34,2229902,ok
2020-03-27,99.22,101.89,95.66,98.43,1625885,ok
2020-03-30,97.84,100.33,95.72,98.83,1966356,ok
2020-03-31,97.69,99.03,96.0,97.65,1796928,ok
2020-04-01,93.65,96.08,92.36,93.87,2337488,ok
2020-04-02,92.98,97.95,92.7931,97.14,1421578,ok
2020-04-03,96.19,98.45,94.055,95.19,1159103,ok
