Date,Open,High,Low,Close,Volume,Status
2020-01-02,91.08,91.61,89.79,89.97,2655827,ok
2020-01-03,90.16,91.56,89.91,90.58,2506151,ok
2020-01-06,90.22,90.3,89.52,90.15,2262550,ok
2020-01-07,89.61,90.64,88.81,88.84,2092852,ok
2020-01-08,89.04,89.87,88.68,89.39,2167410,ok
2020-01-09,90.0,90.426,89.03,89.21,2488503,ok
2020-01-10,90.72,92.39,90.05,91.92,4463551,ok
2020-01-13,92.46,94.24,92.37,93.46,3770283,ok
2020-01-14,93.49,93.68,91.64,91.94,2813945,ok
2020-01-15,91.64,92.33,90.44,90.79,2814730,ok
2020-01-16,89.66,90.9,88.41,90.02,2982155,ok
2020-01-17,90.11,90.82,89.06,89.86,2685194,ok
2020-01-21,89.64,90.25,86.98,87.47,4196987,ok
2020-01-22,88.25,89.38,87.53,87.61,3197462,ok
2020-01-23,87.27,88.36,86.15,87.96,3024639,ok
2020-01-24,88.32,88.38,84.91,85.93,2687984,ok
2020-01-27,84.7,85.55,83.82,84.15,2323047,ok
2020-01-28,84.16,84.97,83.63,84.57,1680434,ok
2020-01-29,84.99,85.0,82.96,84.41,3642053,ok
2020-01-30,84.08,85.06,83.89,84.75,2267520,ok
2020-01-31,84.58,84.81,82.315,82.63,2486670,ok
2020-02-03,83.05,84.69,83.04,83.27,2031108,ok
2020-02-04,83.96,84.85,83.64,83.89,2428509,ok
2020-02-05,84.04,84.64,83.795,84.11,2586508,ok
2020-02-06,81.0,82.15,78.48,79.77,7576683,ok
2020-02-07,79.77,81.27,79.77,80.35,3269026,ok
2020-02-10,80.6,81.95,80.3596,81.58,3145013,ok
2020-02-11,82.09,83.49,80.81,80.99,3463639,ok
2020-02-12,80.99,81.24,80.25,80.36,3468037,ok
2020-02-13,80.27,81.53,79.71,81.18,2472174,ok
2020-02-14,81.34,81.7,80.31,80.51,2071813,ok
2020-02-18,80.19,80.51,79.68,80.15,2264961,ok
2020-02-19,80.27,80.4871,77.82,77.83,4346724,ok
2020-02-20,77.85,79.1131,77.28,78.8,2471414,ok
2020-02-21,78.68,79.03,77.6,77.83,2198005,ok
2020-02-24,76.3,77.03,75.37,75.59,2612634,ok
2020-02-25,75.79,76.38,71.35,71.71,4152836,ok
2020-02-26,73.05,73.27,71.08,71.09,3479428,ok
2020-02-27,69.81,71.7,69.05,69.19,4438581,ok
2020-02-28,67.06,68.22,65.7204,67.83,4496676,ok
2020-03-02,68.32,70.56,67.72,70.54,3780633,ok
2020-03-03,70.18,71.52,67.64,68.5,3953154,ok
2020-03-04,69.6,70.6,68.9,70.39,3904564,ok
2020-03-05,69.0,69.0099,66.23,67.01,3365148,ok
2020-03-06,65.14,65.775,63.33,64.65,4823105,ok
2020-03-09,60.0,63.28,60.0,60.88,3992622,ok
2020-03-10,62.45,63.66,59.71,62.76,3535583,ok
2020-03-11,61.22,61.37,57.6484,58.55,3764983,ok
2020-03-12,53.89,54.54,49.94,51.8,4591265,ok
2020-03-13,54.4,54.512,49.2288,52.51,4585526,ok
2020-03-16,46.57,47.971,44.1301,45.05,5660878,ok
2020-03-17,45.88,49.68,44.83,47.86,7030699,ok
2020-03-18,45.0,48.37,42.57,44.18,5830962,ok
2020-03-19,44.0,57.3,42.68,54.21,6611136,ok
2020-03-20,57.16,61.0,53.18,53.62,8209527,ok
2020-03-23,53.34,58.83,53.0,57.6,5383308,ok
2020-03-24,62.02,64.7,57.71,59.99,5800879,ok
2020-03-25,60.0,65.67,59.75,63.19,5593603,ok
2020-03-26,63.47,65.83,60.52,61.23,4811587,ok
2020-03-27,59.45,59.8672,57.5,58.59,4273933,ok
2020-03-30,58.94,59.53,57.285,59.15,3884640,ok
2020-03-31,59.34,59.34,57.36,57.87,3815684,ok
2020-04-01,56.4,57.58,55.05,55.34,2965684,ok
2020-04-02,54.66,55.97,52.67,54.15,2875654,ok
2020-04-03,53.09,54.12,52.33,53.82,2874669,ok
2020-04-06,56.25,56.91,54.96,56.45,2765611,ok
2020-04-07,58.44,59.61,56.7,57.37,2889012,ok
2020-04-08,57.68,59.25,57.11,58.41,3366804,ok
2020-04-09,59.0,61.64,59.0,60.94,2866261,ok
2020-04-13,61.67,62.69,61.02,62.18,3072470,ok
2020-04-14,62.96,63.48,61.1639,61.41,3332324,ok
2020-04-15,60.65,60.77,58.79,60.15,3051217,ok
2020-04-16,60.15,61.03,58.8741,60.88,3110771,ok
2020-04-17,62.14,62.96,61.43,62.34,2884571,ok
2020-04-20,61.88,64.97,61.58,63.86,3442825,ok
2020-04-21,62.79,63.28,61.48,61.91,2811657,ok
2020-04-22,62.19,62.8999,59.6,59.92,3988765,ok
2020-04-23,59.0,61.45,58.94,60.9,2910300,ok
2020-04-24,60.92,60.9575,58.65,58.98,4386098,ok
2020-04-27,59.57,60.2,58.9602,59.68,3546662,ok
2020-04-28,60.96,63.71,60.12,62.8,3887888,ok
2020-04-29,62.8,63.9,62.25,63.3,3267365,ok
2020-04-30,63.0,63.14,60.88,62.19,2816883,ok
2020-05-01,61.22,61.67,59.26,60.01,2774759,ok
2020-05-04,58.25,58.37,54.28,55.32,11134510,ok
2020-05-05,55.3,57.7881,54.91,56.99,5994255,ok
2020-05-06,57.49,57.49,54.77,54.78,5470916,ok
2020-05-07,55.66,57.9054,55.55,57.26,5002244,ok
2020-05-08,57.96,61.1,57.82,60.39,5191779,ok
2020-05-11,59.83,61.18,59.55,60.76,3789945,ok
2020-05-12,61.26,61.87,59.96,60.08,3008245,ok
2020-05-13,60.0,60.15,57.5,58.12,3783394,ok
2020-05-14,57.3,59.22,56.6,59.16,2968556,ok
2020-05-15,58.74,59.61,57.955,58.21,2438019,ok
2020-05-18,59.5,61.28,59.4,60.83,2691869,ok
2020-05-19,60.7,60.77,58.36,58.36,2121198,ok
2020-05-20,59.1,60.98,58.79,60.65,2764774,ok
2020-05-21,60.59,60.59,58.42,59.25,3178818,ok
2020-05-22,59.71,59.75,58.74,59.19,1390706,ok
2020-05-26,60.46,62.47,60.23,61.64,3193465,ok
2020-05-27,62.96,63.24,61.02,62.75,3844236,ok
2020-05-28,62.74,63.6,61.634,62.66,3091862,ok
2020-05-29,61.6,61.9,59.75,61.44,3934282,ok
2020-06-01,61.55,63.1,60.72,62.61,2186140,ok
2020-06-02,62.61,62.93,61.7701,62.5,2437761,ok
2020-06-03,63.01,63.74,57.75,60.1,10554751,ok
2020-06-04,61.78,64.195,60.885,64.07,6634495,ok
2020-06-05,66.64,66.77,64.22,64.92,6777243,ok
2020-06-08,66.23,68.71,65.21,68.67,5001915,ok
2020-06-09,68.06,68.1304,65.41,66.77,4056699,ok
2020-06-10,66.97,67.41,64.53,64.54,3598720,ok
2020-06-11,62.68,62.88,59.49,59.85,3842372,ok
2020-06-12,61.5,62.59,60.22,62.2,2919228,ok
2020-06-15,60.65,62.78,59.53,62.76,3010443,ok
2020-06-16,64.36,65.38,62.92,64.85,4552837,ok
2020-06-17,65.35,65.65,63.2,63.49,2394115,ok
2020-06-18,62.45,64.75,62.13,64.02,1564598,ok
2020-06-19,64.83,64.83,62.83,63.22,3891607,ok
2020-06-22,62.03,62.17,60.89,61.42,3058629,ok
2020-06-23,62.15,62.95,61.1098,61.16,2558601,ok
2020-06-24,60.52,60.58,58.4236,59.44,3444125,ok
2020-06-25,59.0,60.34,58.15,59.87,2177347,ok
2020-06-26,59.78,59.88,57.97,58.28,3445637,ok
2020-06-29,58.78,59.46,57.98,59.26,1698758,ok
2020-06-30,59.16,60.35,58.79,59.71,2132830,ok
2020-07-01,59.68,60.55,58.49,58.57,2139325,ok
2020-07-02,59.32,60.29,58.26,58.45,2424943,ok
2020-07-06,59.51,59.77,58.83,59.45,1664588,ok
2020-07-07,59.04,59.64,57.76,58.69,2644647,ok
2020-07-08,58.72,58.755,57.45,57.93,2505209,ok
2020-07-09,57.74,57.74,55.28,55.58,3927217,ok
2020-07-10,55.69,58.6,55.61,58.52,2522130,ok
2020-07-13,59.13,59.45,57.77,58.02,2288243,ok
2020-07-14,57.65,59.085,57.26,58.81,2672971,ok
2020-07-15,59.98,61.34,59.44,60.52,2077866,ok
2020-07-16,60.0,61.1,59.75,60.37,1467185,ok
2020-07-17,60.48,61.4005,60.28,60.82,1372043,ok
2020-07-20,60.47,60.55,59.89,60.16,1041890,ok
2020-07-21,60.65,61.45,60.4441,60.58,1459446,ok
2020-07-22,60.42,60.5,59.63,60.35,1462524,ok
2020-07-23,60.35,61.66,60.31,60.91,1476770,ok
2020-07-24,60.93,61.53,60.36,60.82,1194455,ok
2020-07-27,60.56,61.06,59.96,60.98,1108204,ok
2020-07-28,60.55,61.32,60.37,60.74,1255446,ok
2020-07-29,61.12,62.0,60.34,62.0,1554863,ok
2020-07-30,61.33,61.64,60.3,61.57,1493069,ok
