Date,Open,High,Low,Close,Volume,Status
2020-01-02,45.05,45.5,44.61,45.48,1487517,ok
2020-01-03,44.83,45.2498,44.5,44.74,1670584,ok
2020-01-06,44.61,44.8,44.33,44.78,1334518,ok
2020-01-07,44.35,44.955,44.14,44.76,1025360,ok
2020-01-08,44.66,44.86,44.11,44.17,2072478,ok
2020-01-09,44.39,45.29,43.98,45.15,1444349,ok
2020-01-10,45.11,45.36,44.26,44.29,1136503,ok
2020-01-13,44.58,45.2,44.11,45.04,1549573,ok
2020-01-14,44.96,45.73,44.91,45.35,1319340,ok
2020-01-15,45.04,45.44,44.97,45.34,969598,ok
2020-01-16,45.63,46.05,45.5,46.0,1835118,ok
2020-01-17,46.25,46.66,45.9515,46.12,1583757,ok
2020-01-21,45.89,46.13,45.0786,45.5,1359214,ok
2020-01-22,45.27,45.404,44.56,44.58,1079677,ok
2020-01-23,44.25,45.13,43.72,45.1,2368833,ok
2020-01-24,45.34,45.34,44.25,44.7,1018993,ok
2020-01-27,43.73,44.86,43.62,44.7,1978613,ok
2020-01-28,44.98,46.12,44.72,45.7,2433928,ok
2020-01-29,47.46,47.665,46.27,47.1,3707933,ok
2020-01-30,46.52,47.175,45.48,46.93,2313737,ok
2020-01-31,46.59,46.8,45.85,45.93,2376443,ok
2020-02-03,46.21,46.92,46.06,46.29,1647431,ok
2020-02-04,46.82,51.32,46.65,50.9,6613540,ok
2020-02-05,51.2,51.53,50.66,50.93,3244557,ok
2020-02-06,51.27,51.29,50.29,50.68,1306076,ok
2020-02-07,50.3,51.155,50.09,50.75,1410751,ok
2020-02-10,50.51,50.82,50.22,50.46,981901,ok
2020-02-11,50.84,51.0,49.44,49.5,1202834,ok
2020-02-12,49.96,50.25,49.14,49.18,2399978,ok
2020-02-13,48.93,49.23,47.915,48.0,2104765,ok
2020-02-14,48.06,48.16,47.68,48.08,979185,ok
2020-02-18,47.66,48.02,47.48,47.64,1906240,ok
2020-02-19,47.85,47.94,47.19,47.23,1179478,ok
2020-02-20,47.02,47.85,46.96,47.63,1050427,ok
2020-02-21,47.25,47.68,46.745,47.36,1006012,ok
2020-02-24,45.85,46.25,45.57,45.88,1335050,ok
2020-02-25,46.06,46.06,43.01,43.14,1829579,ok
2020-02-26,43.58,43.58,41.6338,41.85,2520059,ok
2020-02-27,40.91,42.115,39.45,40.88,3015778,ok
2020-02-28,39.35,40.6,38.41,40.6,2953336,ok
2020-03-02,40.84,41.77,39.47,41.77,2016507,ok
2020-03-03,41.68,42.82,40.48,40.5,1861798,ok
2020-03-04,41.16,41.48,40.06,40.98,1481121,ok
2020-03-05,39.48,39.67,36.88,37.17,1882093,ok
2020-03-06,35.75,36.61,35.13,35.97,1977793,ok
2020-03-09,32.84,33.39,30.0,31.03,3039118,ok
2020-03-10,32.44,34.09,29.77,34.09,2604602,ok
2020-03-11,32.73,33.2,30.07,30.24,3079682,ok
2020-03-12,27.85,27.85,24.34,25.06,3782582,ok
2020-03-13,26.9,29.14,26.07,29.12,3710257,ok
2020-03-16,26.5,28.1,26.01,26.9,2899336,ok
2020-03-17,27.39,28.13,23.29,28.1,3305823,ok
2020-03-18,25.51,27.365,24.0,25.79,3213383,ok
2020-03-19,24.91,26.26,22.05,25.45,3548793,ok
2020-03-20,25.78,26.0183,22.14,22.29,2608973,ok
2020-03-23,22.01,22.98,20.26,21.66,3778464,ok
2020-03-24,23.15,24.0,21.25,22.98,5064593,ok
2020-03-25,23.85,27.28,23.55,26.03,5285433,ok
2020-03-26,26.74,29.38,26.07,29.23,3855675,ok
2020-03-27,27.75,28.56,26.45,26.69,2040377,ok
2020-03-30,26.2,27.9,25.57,27.67,1856332,ok
2020-03-31,27.11,28.46,26.39,26.67,1876216,ok
2020-04-01,25.0,25.67,24.18,24.86,1868071,ok
2020-04-02,24.36,26.66,23.85,24.5,2204732,ok
2020-04-03,24.47,25.37,24.3,24.85,1639825,ok
2020-04-06,26.56,27.83,26.18,27.34,2532607,ok
2020-04-07,29.3,29.66,26.5,26.62,1631384,ok
2020-04-08,27.14,28.21,26.72,27.89,1997046,ok
2020-04-09,28.62,30.13,28.1,29.44,2203691,ok
2020-04-13,29.42,29.6,26.72,27.44,1282611,ok
2020-04-14,28.02,28.3753,27.25,27.45,1261375,ok
2020-04-15,26.52,26.81,25.2242,25.89,1304702,ok
2020-04-16,25.68,25.755,24.38,24.73,1592880,ok
2020-04-17,26.05,27.84,26.02,27.75,2383186,ok
2020-04-20,26.78,27.72,25.99,26.67,1251789,ok
2020-04-21,25.68,26.38,25.55,26.15,1295326,ok
2020-04-22,26.9,27.09,26.4,26.61,1396497,ok
2020-04-23,27.09,28.16,26.88,27.82,2053319,ok
2020-04-24,28.0,28.31,26.95,27.03,1810162,ok
2020-04-27,27.22,28.38,26.99,28.16,1377449,ok
2020-04-28,29.04,29.97,28.51,29.02,1003379,ok
2020-04-29,30.0,30.69,29.61,30.02,1576504,ok
2020-04-30,28.77,29.0484,26.07,26.36,3404431,ok
2020-05-01,25.61,26.3919,25.365,26.22,2524731,ok
2020-05-04,25.89,25.89,24.76,25.64,2952010,ok
2020-05-05,26.06,26.88,25.26,25.3,1752706,ok
2020-05-06,25.42,25.68,24.6399,25.07,2307420,ok
2020-05-07,25.6,26.66,25.44,25.68,1455885,ok
2020-05-08,26.24,27.38,26.0,27.3,1335244,ok
2020-05-11,26.77,26.84,25.42,25.82,1695077,ok
2020-05-12,26.18,26.5,24.83,24.84,1381665,ok
2020-05-13,24.48,24.5255,23.13,23.38,1588419,ok
2020-05-14,22.75,24.1,21.92,23.97,1679450,ok
2020-05-15,23.58,24.51,23.32,24.2,1519556,ok
2020-05-18,25.73,27.54,25.47,27.19,2208701,ok
2020-05-19,27.14,27.54,26.33,26.49,974974,ok
2020-05-20,26.88,27.67,26.88,27.33,1032548,ok
2020-05-21,27.31,27.7472,26.91,26.95,1228381,ok
2020-05-22,27.35,27.35,26.42,26.91,936717,ok
2020-05-26,28.5,30.635,28.44,30.02,2080486,ok
2020-05-27,31.19,31.92,30.18,31.45,2211635,ok
2020-05-28,32.04,32.13,30.6536,31.02,2147305,ok
2020-05-29,30.42,31.3397,29.77,30.97,2788175,ok
2020-06-01,30.88,31.71,30.73,31.55,1239707,ok
2020-06-02,31.83,32.65,31.55,31.9,1733984,ok
2020-06-03,32.96,34.905,32.79,34.74,1820217,ok
2020-06-04,34.77,36.99,34.04,36.97,2247536,ok
2020-06-05,39.29,40.42,38.39,39.12,2882830,ok
2020-06-08,41.09,41.38,40.085,40.55,2392098,ok
2020-06-09,38.38,39.23,37.78,38.51,1584283,ok
2020-06-10,37.88,38.0,35.34,35.36,2114864,ok
2020-06-11,32.5,33.08,31.56,31.63,2528144,ok
2020-06-12,33.75,34.25,32.51,34.15,3202074,ok
2020-06-15,32.1,34.405,32.03,33.84,1804514,ok
2020-06-16,35.98,36.24,33.99,34.98,1349132,ok
2020-06-17,34.8,35.13,34.34,34.59,1096740,ok
2020-06-18,34.0,35.56,33.83,35.01,1288231,ok
2020-06-19,35.87,35.955,33.92,34.51,4112749,ok
2020-06-22,34.13,34.39,33.4,34.09,1753533,ok
2020-06-23,34.37,34.61,33.85,33.98,1464426,ok
2020-06-24,33.09,33.33,32.13,32.43,1653947,ok
2020-06-25,32.02,33.09,31.71,33.0,1273599,ok
2020-06-26,32.61,32.73,31.29,31.86,2849123,ok
2020-06-29,32.78,33.61,32.19,33.37,1322106,ok
2020-06-30,33.01,33.41,32.54,32.91,1513859,ok
2020-07-01,33.05,33.75,31.85,31.92,1491870,ok
2020-07-02,32.83,33.7,32.36,32.45,1007122,ok
2020-07-06,33.36,33.75,32.65,33.22,971376,ok
2020-07-07,32.74,32.9,31.45,31.49,1034176,ok
2020-07-08,31.42,31.99,31.13,31.71,1085866,ok
2020-07-09,31.37,31.685,30.055,30.13,1708071,ok
2020-07-10,30.34,31.33,30.145,31.06,1778519,ok
2020-07-13,31.56,32.64,30.9,32.03,1501661,ok
2020-07-14,31.8,32.89,31.54,32.61,951904,ok
2020-07-15,33.48,33.91,33.07,33.66,1282436,ok
2020-07-16,33.21,34.01,32.6,33.51,782290,ok
2020-07-17,33.6,33.8,33.05,33.44,971418,ok
2020-07-20,33.5,33.5,32.45,32.99,1228326,ok
2020-07-21,33.33,34.47,33.15,34.01,1913085,ok
2020-07-22,33.69,34.54,33.35,34.35,730043,ok
2020-07-23,34.0,35.0,33.9225,34.61,1010193,ok
2020-07-24,34.73,34.99,34.28,34.35,1251853,ok
2020-07-27,34.18,34.52,33.665,34.18,737524,ok
2020-07-28,34.09,34.52,33.96,34.2,907062,ok
2020-07-29,34.27,34.46,34.06,34.27,1043187,ok
2020-07-30,34.47,37.09,34.3,35.14,2209933,ok
2020-07-31,35.71,35.71,34.18,34.94,1696018,ok
2020-08-03,34.97,36.0,34.0,35.9,1410027,ok
2020-08-04,35.8,36.3,35.59,35.91,1223001,ok
2020-08-05,36.4,36.92,35.96,36.5,1298332,ok
2020-08-06,36.41,37.34,36.32,37.03,1593396,ok
2020-08-07,36.98,37.61,36.78,37.58,990292,ok
2020-08-10,37.68,38.93,37.68,38.86,1045390,ok
2020-08-11,39.95,40.35,38.54,38.68,1627547,ok
2020-08-12,39.29,39.39,37.64,38.19,1607630,ok
2020-08-13,37.69,38.28,37.22,37.39,727719,ok
2020-08-14,37.03,38.83,37.01,38.49,1938794,ok
2020-08-17,38.73,38.885,37.714,37.84,1611230,ok
2020-08-18,37.63,37.85,37.18,37.24,1204682,ok
2020-08-19,37.29,38.16,37.07,37.71,1071049,ok
2020-08-20,37.14,37.54,37.12,37.42,859788,ok
2020-08-21,37.28,37.73,37.26,37.6,1070391,ok
2020-08-24,37.74,39.3,37.74,39.29,1105519,ok
2020-08-25,39.63,39.7151,38.46,38.66,706877,ok
2020-08-26,38.38,38.915,38.03,38.83,868396,ok
2020-08-27,38.84,39.9,38.84,39.32,850852,ok
2020-08-28,39.38,39.99,39.34,39.97,626914,ok
2020-08-31,40.0,40.0,39.25,39.43,1364351,ok
2020-09-01,38.94,39.54,38.76,39.4,1767465,ok
2020-09-02,39.5,40.67,39.41,40.61,1611071,ok
2020-09-03,40.82,41.08,38.7,39.01,1089607,ok
2020-09-04,39.79,40.05,38.69,38.94,1417523,ok
2020-09-08,38.59,38.755,37.625,38.27,1643406,ok
2020-09-09,38.57,38.935,38.19,38.53,1028960,ok
2020-09-10,38.55,39.2,38.48,38.52,1100972,ok
2020-09-11,38.63,39.16,38.4,38.74,1214157,ok
2020-09-14,39.0,39.51,38.655,39.33,1112636,ok
2020-09-15,39.39,39.59,38.77,39.07,922876,ok
2020-09-16,39.1,40.12,38.83,39.61,1498673,ok
2020-09-17,39.05,39.5,38.6,39.11,1599755,ok
2020-09-18,38.78,39.28,37.48,37.65,2979943,ok
2020-09-21,36.56,36.74,35.23,35.67,1530734,ok
2020-09-22,35.8,36.38,35.28,35.6,1079756,ok
2020-09-23,35.8,36.33,34.765,34.8,1184867,ok
2020-09-24,34.65,35.44,33.76,34.68,1413933,ok
2020-09-25,34.28,35.51,34.23,35.27,819709,ok
2020-09-28,36.07,37.165,36.07,36.81,955966,ok
2020-09-29,36.57,37.09,36.42,36.77,975788,ok
2020-09-30,36.86,37.4,35.83,36.09,1101190,ok
2020-10-01,35.63,36.55,34.78,35.11,1580159,ok
2020-10-02,34.29,36.44,34.1783,35.72,1643783,ok
2020-10-05,36.26,36.73,36.04,36.4,669177,ok
2020-10-06,36.8,37.075,35.65,35.72,976521,ok
2020-10-07,36.21,36.59,35.92,36.44,1454353,ok
2020-10-08,36.77,37.24,36.26,37.02,1033638,ok
2020-10-09,37.49,37.66,36.69,36.76,887688,ok
2020-10-12,36.66,36.97,36.3262,36.87,1049724,ok
2020-10-13,36.46,36.6,35.675,35.99,649044,ok
2020-10-14,35.83,36.5,35.765,35.99,2064334,ok
2020-10-15,35.57,36.445,35.11,36.34,1257269,ok
2020-10-16,36.69,36.86,36.16,36.27,968666,ok
2020-10-19,36.5,36.59,35.275,35.49,771691,ok
2020-10-20,35.87,36.13,34.92,34.98,1274506,ok
2020-10-21,34.7,35.01,34.42,34.53,947559,ok
2020-10-22,34.55,34.95,34.37,34.86,788606,ok
2020-10-23,35.26,35.77,34.97,35.19,1321562,ok
2020-10-26,34.57,34.59,33.15,34.01,1000598,ok
2020-10-27,33.76,34.01,32.94,32.95,1903791,ok
2020-10-28,32.14,33.16,31.82,32.09,2236158,ok
2020-10-29,32.33,34.63,32.2,34.07,2266142,ok
2020-10-30,34.13,35.81,34.13,35.8,2022552,ok
2020-11-02,36.31,37.82,35.99,37.72,1554398,ok
2020-11-03,38.36,39.8,38.07,39.44,1525384,ok
2020-11-04,38.84,39.715,37.82,38.06,1440823,ok
2020-11-05,38.23,39.02,38.23,38.77,1267178,ok
2020-11-06,38.52,39.15,38.41,38.83,850290,ok
2020-11-09,43.76,45.02,42.0,42.49,3750921,ok
2020-11-10,42.77,44.29,42.49,43.89,1311092,ok
