Date,Open,High,Low,Close,Volume,Status
2020-01-02,19.35,19.38,19.02,19.24,3271951,ok
2020-01-03,18.99,19.43,18.89,19.27,2711550,ok
2020-01-06,19.0,19.05,18.21,18.37,4200650,ok
2020-01-07,18.34,18.61,18.25,18.59,2644477,ok
2020-01-08,18.67,18.78,18.04,18.16,2479710,ok
2020-01-09,18.17,18.24,17.6131,17.78,1927947,ok
2020-01-10,17.76,17.84,17.56,17.77,1123778,ok
2020-01-13,17.8,18.05,17.6797,18.04,1518712,ok
2020-01-14,18.09,18.84,18.06,18.76,1999068,ok
2020-01-15,18.71,19.06,18.6999,18.9,1344491,ok
2020-01-16,19.05,19.32,18.96,19.02,1426606,ok
2020-01-17,19.19,19.23,18.31,18.37,2270574,ok
2020-01-21,18.32,18.39,18.03,18.09,2157925,ok
2020-01-22,18.09,18.71,18.09,18.31,1450281,ok
2020-01-23,18.2,18.895,17.98,18.78,1684118,ok
2020-01-24,18.88,18.98,18.52,18.61,1607134,ok
2020-01-27,18.02,18.64,17.95,18.45,1236349,ok
2020-01-28,18.56,18.75,18.24,18.68,1284882,ok
2020-01-29,18.8,19.1,18.68,18.68,1239845,ok
2020-01-30,18.6,18.69,18.25,18.55,1177009,ok
2020-01-31,18.49,18.54,17.9146,17.96,1339978,ok
2020-02-03,18.07,18.36,17.97,17.98,2482947,ok
2020-02-04,18.29,18.7315,18.16,18.42,2277198,ok
2020-02-05,18.62,18.8,18.09,18.5,1661510,ok
2020-02-06,18.63,18.74,18.35,18.4,1479788,ok
2020-02-07,18.46,18.52,17.87,17.97,2154821,ok
2020-02-10,18.13,18.471,18.01,18.15,2540193,ok
2020-02-11,15.26,15.58,15.02,15.12,16126475,ok
2020-02-12,15.26,15.895,15.2,15.45,6487031,ok
2020-02-13,15.45,15.568,15.08,15.13,4984923,ok
2020-02-14,15.15,15.5,15.15,15.45,3637737,ok
2020-02-18,15.35,15.445,14.91,15.0,4699030,ok
2020-02-19,15.0,15.12,14.8,14.96,3275969,ok
2020-02-20,15.0,15.1,14.73,14.94,3033827,ok
2020-02-21,14.86,15.05,14.51,14.57,2996511,ok
2020-02-24,13.98,14.21,13.81,14.14,3690203,ok
2020-02-25,14.28,14.34,13.27,13.46,3230124,ok
2020-02-26,13.59,13.6819,13.04,13.04,3370683,ok
2020-02-27,12.72,13.23,12.37,12.55,5848158,ok
2020-02-28,12.19,12.73,12.18,12.48,9194116,ok
2020-03-02,12.55,12.63,12.19,12.49,6345242,ok
2020-03-03,12.52,12.75,11.88,12.2,7170552,ok
2020-03-04,12.41,12.465,11.84,12.39,4389162,ok
2020-03-05,12.02,12.22,11.6017,11.73,4598687,ok
2020-03-06,11.33,11.6141,11.03,11.14,7530181,ok
2020-03-09,10.31,10.52,9.51,9.91,4275453,ok
2020-03-10,10.31,10.4,9.665,10.29,5025049,ok
2020-03-11,10.03,10.265,9.87,9.99,5598206,ok
2020-03-12,9.23,9.51,8.67,8.75,6572801,ok
2020-03-13,9.15,9.49,8.77,9.48,3825202,ok
2020-03-16,8.28,9.36,8.13,8.33,4276451,ok
2020-03-17,8.58,9.08,8.07,8.96,6926646,ok
2020-03-18,8.39,8.79,7.25,7.39,6420275,ok
2020-03-19,7.29,8.165,6.8,8.01,4965036,ok
2020-03-20,8.01,8.425,7.1475,7.23,11032371,ok
2020-03-23,7.15,7.5,6.79,7.14,3339096,ok
2020-03-24,7.46,8.06,7.46,8.01,6613341,ok
2020-03-25,8.18,8.74,7.585,8.24,7212126,ok
2020-03-26,8.32,8.96,8.08,8.76,5615831,ok
2020-03-27,8.4,8.58,8.07,8.32,3230073,ok
2020-03-30,8.25,8.49,7.9198,8.41,3147815,ok
2020-03-31,8.36,8.64,7.955,8.06,3078898,ok
2020-04-01,7.66,7.81,7.2,7.45,3456807,ok
2020-04-02,7.32,7.57,6.6,6.89,5159910,ok
2020-04-03,6.85,7.5,6.6,7.48,4134741,ok
2020-04-06,7.92,8.24,7.72,8.0,3686321,ok
2020-04-07,8.62,8.84,8.19,8.39,4331637,ok
2020-04-08,8.55,8.98,8.48,8.64,3001774,ok
2020-04-09,8.97,9.55,8.92,9.35,3784450,ok
2020-04-13,9.29,9.35,8.6,8.73,2989851,ok
2020-04-14,9.08,9.19,8.7575,8.97,2368011,ok
2020-04-15,8.46,8.77,8.25,8.65,3092127,ok
2020-04-16,8.66,8.66,8.23,8.36,2445776,ok
2020-04-17,8.71,9.045,8.7,8.89,3180075,ok
2020-04-20,8.59,9.06,8.57,8.64,2783051,ok
2020-04-21,8.42,8.85,8.3,8.52,1970258,ok
2020-04-22,8.73,8.92,8.56,8.56,1580775,ok
2020-04-23,8.58,8.98,8.58,8.74,1832665,ok
2020-04-24,8.84,9.185,8.84,8.97,3288817,ok
2020-04-27,9.03,9.5,8.88,9.35,2528505,ok
2020-04-28,9.73,9.94,9.445,9.64,3862032,ok
2020-04-29,9.8,10.17,9.73,9.79,3524552,ok
2020-04-30,9.1,9.71,9.0,9.27,4106162,ok
2020-05-01,9.02,9.055,8.61,8.76,3699105,ok
2020-05-04,8.55,8.8499,8.35,8.71,2886937,ok
2020-05-05,8.96,8.96,8.42,8.46,3518382,ok
2020-05-06,8.5,8.62,8.09,8.23,3080876,ok
2020-05-07,8.36,8.83,8.3575,8.61,3905396,ok
2020-05-08,8.86,8.95,8.64,8.94,6501076,ok
2020-05-11,8.43,8.49,7.83,8.0,11773617,ok
2020-05-12,8.1,8.29,7.6,7.68,8642775,ok
2020-05-13,7.59,7.59,6.9,6.93,8846212,ok
2020-05-14,6.82,7.02,6.37,6.91,5721973,ok
2020-05-15,6.71,6.96,6.58,6.91,5687640,ok
2020-05-18,7.4,7.55,7.25,7.3,8766700,ok
2020-05-19,7.32,7.39,6.95,7.08,7356744,ok
2020-05-20,7.23,7.6,7.12,7.47,5742854,ok
2020-05-21,6.93,7.97,6.91,7.7,26844567,ok
2020-05-22,7.7,7.7,7.32,7.38,21484308,ok
2020-05-26,7.69,7.92,7.55,7.86,20873940,ok
2020-05-27,8.18,8.52,7.93,8.51,14106350,ok
2020-05-28,8.85,8.8533,8.05,8.12,11724788,ok
2020-05-29,8.0,8.195,7.8,7.86,16378230,ok
