Date,Open,High,Low,Close,Volume,Status
2020-01-02,89.57,90.57,89.105,89.74,2671623,ok
2020-01-03,86.8,88.16,86.26,87.9,3562918,ok
2020-01-06,86.72,88.07,86.65,87.7,2652773,ok
2020-01-07,87.41,88.16,86.74,86.77,2594744,ok
2020-01-08,86.9,88.45,86.3,87.3,4153259,ok
2020-01-09,87.72,88.72,87.5,87.95,2252191,ok
2020-01-10,88.04,88.26,86.97,87.31,2035663,ok
2020-01-13,87.31,87.67,86.7,86.89,2707860,ok
2020-01-14,88.17,89.64,87.71,87.85,3243640,ok
2020-01-15,87.61,88.8,87.25,88.29,1878934,ok
2020-01-16,88.79,89.715,88.78,89.54,2427506,ok
2020-01-17,89.8,90.1,88.96,89.7,4221217,ok
2020-01-21,87.88,88.0,84.57,85.79,9546684,ok
2020-01-22,86.75,87.565,83.15,83.34,8453244,ok
2020-01-23,83.0,85.17,81.06,84.88,6194380,ok
2020-01-24,84.31,84.73,80.28,81.9,6869764,ok
2020-01-27,78.0,78.46,76.55,77.63,8671260,ok
2020-01-28,78.25,78.475,77.0,77.05,7575578,ok
2020-01-29,77.4,77.4899,75.01,75.21,5512397,ok
2020-01-30,74.66,77.98,74.44,77.75,5900393,ok
2020-01-31,77.17,77.29,74.52,74.8,5196562,ok
2020-02-03,75.49,77.1199,74.88,74.91,3951366,ok
2020-02-04,76.64,79.53,76.5,78.89,6423869,ok
2020-02-05,80.76,82.36,80.05,81.85,6993789,ok
2020-02-06,82.4,82.7211,79.79,80.5,5218811,ok
2020-02-07,80.0,80.24,78.65,79.48,3129720,ok
2020-02-10,78.95,79.61,77.78,79.47,3492868,ok
2020-02-11,80.02,81.45,79.945,80.53,2763727,ok
2020-02-12,81.08,82.6,81.0,82.2,2907099,ok
2020-02-13,81.0,81.74,80.37,80.99,2998888,ok
2020-02-14,81.02,81.44,79.4,79.55,3119656,ok
2020-02-18,79.0,80.625,78.65,80.24,4183723,ok
2020-02-19,80.94,80.94,79.19,79.42,3350290,ok
2020-02-20,79.3,81.67,79.3,79.91,2893884,ok
2020-02-21,79.4,79.4,77.32,78.01,4545057,ok
2020-02-24,75.08,76.02,73.65,75.47,6332868,ok
2020-02-25,75.76,76.18,70.32,70.57,8076210,ok
2020-02-26,71.75,71.91,65.89,66.53,9372177,ok
2020-02-27,62.9,69.02,61.2,64.94,10257090,ok
2020-02-28,62.85,64.8799,60.825,61.59,9957999,ok
2020-03-02,61.13,61.27,57.0425,61.26,13015179,ok
2020-03-03,63.14,63.53,57.96,58.29,9208799,ok
2020-03-04,59.51,59.74,56.315,59.47,10671198,ok
2020-03-05,57.11,57.16,50.93,51.59,13974729,ok
2020-03-06,48.61,56.0,48.2601,52.1,16492236,ok
2020-03-09,49.585,50.99,45.915,46.78,12307563,ok
2020-03-10,51.0,54.33,46.62,52.56,15642906,ok
2020-03-11,50.53,51.23,48.05,49.34,10917056,ok
2020-03-12,42.77,44.31,37.01,37.08,19423635,ok
2020-03-13,41.33,42.49,34.0,41.64,24135263,ok
2020-03-16,34.34,39.37,30.38,35.47,28259544,ok
2020-03-17,36.49,38.14,30.05,30.67,21078874,ok
2020-03-18,28.81,28.97,17.8,21.38,35372666,ok
2020-03-19,21.34,23.99,18.09,21.28,31611169,ok
2020-03-20,23.37,30.74,22.2,24.5,37407966,ok
2020-03-23,25.97,26.6,23.37,26.25,25585768,ok
2020-03-24,31.99,34.15,30.01,33.0,31502493,ok
2020-03-25,38.0,39.47,33.29,36.6,32988796,ok
2020-03-26,38.38,39.78,34.53,35.55,29647797,ok
2020-03-27,35.02,35.2,32.03,32.84,18379566,ok
2020-03-30,30.69,31.8,28.0,30.16,18386439,ok
2020-03-31,31.31,33.605,30.5831,31.55,16568762,ok
2020-04-01,29.51,29.69,25.3601,25.65,27541553,ok
2020-04-02,25.24,26.09,23.0,23.42,25212818,ok
2020-04-03,24.2165,24.9395,21.56,22.885,28350252,ok
2020-04-06,23.9,24.8,21.8,24.02,32386709,ok
2020-04-07,28.2,28.69,23.7241,24.48,43809293,ok
2020-04-08,25.65,27.54,24.51,27.51,32657738,ok
2020-04-09,29.92,34.04,29.57,31.5,54118482,ok
2020-04-13,32.63,32.7,27.59,28.91,36493665,ok
2020-04-14,30.52,32.21,30.38,30.9,28650556,ok
2020-04-15,31.97,32.6,29.88,31.86,46775180,ok
2020-04-16,30.348,30.49,27.92,28.21,44795626,ok
2020-04-17,29.9,30.11,28.86,29.08,26829601,ok
2020-04-20,27.9265,28.67,26.69,27.79,37042169,ok
2020-04-21,27.01,28.36,26.76,27.88,28293236,ok
2020-04-22,27.3,27.66,25.01,25.88,90730574,ok
2020-04-23,26.0,26.56,25.66,25.72,35812489,ok
2020-04-24,25.92,26.15,24.67,25.56,34850727,ok
2020-04-27,25.985,26.34,24.87,25.0,35980034,ok
2020-04-28,25.86,28.43,25.5,27.84,59812102,ok
2020-04-29,29.58,31.84,29.49,31.21,52643463,ok
2020-04-30,29.66,31.07,28.32,29.58,44896845,ok
2020-05-01,28.1,29.25,26.13,26.62,47710309,ok
2020-05-04,23.91,25.56,22.76,25.26,63152395,ok
2020-05-05,26.04,26.35,23.98,24.12,35651671,ok
2020-05-06,23.96,24.35,22.385,22.91,43355299,ok
2020-05-07,22.96,24.45,22.4498,22.75,44179275,ok
2020-05-08,23.58,25.44,23.32,25.42,55613248,ok
2020-05-11,24.5,24.64,23.46,23.97,47485794,ok
2020-05-12,23.95,24.4627,22.74,22.76,40420913,ok
2020-05-13,22.51,22.64,20.33,20.71,59007864,ok
2020-05-14,19.72,20.43,18.18,20.3,74107763,ok
2020-05-15,19.67,20.9599,19.28,19.92,39807953,ok
2020-05-18,21.79,24.26,21.46,24.13,72914839,ok
2020-05-19,25.62,25.67,23.33,23.68,81387952,ok
2020-05-20,24.38,25.39,24.3,24.91,56271963,ok
2020-05-21,25.09,26.58,25.0,25.84,53737286,ok
2020-05-22,26.38,26.58,24.67,25.4,45062054,ok
2020-05-26,27.48,29.88,27.45,29.54,88220681,ok
2020-05-27,32.25,32.75,28.535,30.69,89323153,ok
2020-05-28,30.0,30.0,28.53,28.89,57401175,ok
2020-05-29,27.11,28.88,26.65,28.04,64483619,ok
2020-06-01,28.19,30.29,27.9534,29.46,57585068,ok
2020-06-02,30.12,30.92,29.31,29.91,47473423,ok
2020-06-03,30.75,33.9,30.39,33.65,85543749,ok
2020-06-04,35.77,39.85,34.14,39.1,142812822,ok
2020-06-05,48.95,48.95,41.26,42.405,135585062,ok
2020-06-08,45.86,48.85,44.57,48.69,89957309,ok
2020-06-09,45.0,46.1,41.5,44.64,79612837,ok
2020-06-10,42.04,42.6,38.3,39.72,105254914,ok
2020-06-11,33.255,36.38,32.22,33.32,104768771,ok
2020-06-12,37.51,39.68,36.15,39.66,98882648,ok
2020-06-15,36.04,39.87,35.51,39.0,102434837,ok
2020-06-16,42.51,42.75,39.52,40.21,71155208,ok
2020-06-17,39.09,39.77,38.22,39.25,60125887,ok
2020-06-18,37.65,40.2,37.5,39.34,64927112,ok
2020-06-19,39.94,40.26,35.7626,36.84,101013889,ok
2020-06-22,35.18,37.1,35.0,36.54,65256605,ok
2020-06-23,36.56,36.88,34.37,36.08,63531776,ok
2020-06-24,34.68,35.23,32.62,33.07,65450849,ok
2020-06-25,31.35,34.7566,31.03,34.69,72479467,ok
2020-06-26,34.5,34.61,32.0,32.89,58993341,ok
2020-06-29,33.2,35.5,31.805,35.27,64905787,ok
2020-06-30,34.6,35.36,33.23,34.61,54406449,ok
2020-07-01,36.92,38.37,34.03,34.45,87861288,ok
2020-07-02,35.88,36.08,33.95,34.14,53576626,ok
2020-07-06,34.76,35.41,33.52,35.21,46540285,ok
2020-07-07,34.07,34.12,32.38,32.55,47337561,ok
2020-07-08,31.62,33.03,31.32,32.53,55863871,ok
2020-07-09,32.0,32.49,29.96,30.17,53324015,ok
2020-07-10,29.38,32.9,29.23,32.67,80475539,ok
2020-07-13,33.2304,33.37,31.01,31.76,56572983,ok
2020-07-14,30.7,32.32,30.42,31.74,44172199,ok
2020-07-15,34.13,36.78,33.1602,36.37,84741889,ok
2020-07-16,34.6,35.38,33.88,34.49,53333159,ok
2020-07-17,34.27,34.98,33.48,33.92,37397502,ok
2020-07-20,33.9,34.39,32.18,32.33,36534210,ok
2020-07-21,32.64,33.785,32.46,33.07,45932073,ok
2020-07-22,32.82,33.26,31.63,31.67,48195751,ok
2020-07-23,31.35,35.13,30.95,33.23,82254207,ok
2020-07-24,32.877,33.69,32.47,32.88,38446609,ok
2020-07-27,32.89,33.66,32.05,32.42,33062563,ok
2020-07-28,32.27,34.04,32.27,33.46,41625352,ok
2020-07-29,33.61,34.15,32.215,32.57,31122766,ok
2020-07-30,32.03,32.28,31.55,31.74,31536796,ok
2020-07-31,31.69,31.77,30.69,31.38,29612057,ok
2020-08-03,31.33,32.28,30.3185,31.87,35214418,ok
2020-08-04,32.0135,33.7,32.01,32.29,30010096,ok
2020-08-05,33.31,34.57,32.17,33.73,49260749,ok
2020-08-06,34.25,35.03,33.23,34.4,51250743,ok
2020-08-07,33.9,34.415,33.45,34.33,30394464,ok
2020-08-10,34.65,37.55,34.64,37.54,48876392,ok
2020-08-11,39.64,39.86,36.6604,36.83,56549341,ok
2020-08-12,37.55,37.74,35.47,36.4,35005417,ok
2020-08-13,35.745,37.52,35.52,35.81,35460092,ok
2020-08-14,35.35,36.5713,35.2,36.18,28384144,ok
2020-08-17,36.21,36.3,34.36,34.4,22574255,ok
2020-08-18,34.39,34.88,33.58,33.98,19070273,ok
2020-08-19,34.3611,36.56,34.13,34.44,40587931,ok
2020-08-20,33.92,34.39,33.2,34.05,28196951,ok
2020-08-21,33.8,34.44,32.98,33.04,22730340,ok
2020-08-24,33.67,36.3869,33.2,36.32,50533589,ok
2020-08-25,36.44,36.9399,34.48,35.22,39748269,ok
2020-08-26,35.26,35.51,34.11,34.25,23414509,ok
2020-08-27,35.5,37.99,35.18,36.22,51046519,ok
2020-08-28,37.1396,37.44,35.89,37.34,35228929,ok
2020-08-31,37.25,37.44,35.73,36.0,27114238,ok
2020-09-01,35.25,37.24,34.95,36.01,29757267,ok
2020-09-02,36.1,37.1,35.21,36.89,26622811,ok
2020-09-03,37.13,39.77,36.14,37.4,53966447,ok
2020-09-04,38.15,38.7415,36.46,38.21,33121590,ok
2020-09-08,37.3,38.48,36.48,37.28,33207116,ok
2020-09-09,36.9,37.0803,35.59,36.03,25407620,ok
2020-09-10,36.35,37.33,36.18,36.45,24905319,ok
2020-09-11,36.63,36.8,35.48,36.07,19198709,ok
2020-09-14,36.3,36.88,35.84,36.74,18939876,ok
2020-09-15,36.84,37.88,36.38,36.8,21378239,ok
2020-09-16,36.9,38.9,36.3601,38.3,33301841,ok
2020-09-17,37.69,39.28,37.14,38.355,31339682,ok
2020-09-18,38.16,38.34,36.68,36.97,32772794,ok
2020-09-21,35.4,35.47,33.18,33.79,29900929,ok
2020-09-22,34.15,34.65,33.56,34.07,16700552,ok
2020-09-23,34.28,35.05,33.05,33.08,21576925,ok
2020-09-24,32.785,33.4,31.22,32.74,24638809,ok
2020-09-25,32.56,34.27,32.49,34.2,21461109,ok
2020-09-28,35.32,36.9,34.6622,35.94,34828066,ok
2020-09-29,35.55,35.61,34.24,34.51,25029773,ok
2020-09-30,34.95,36.22,34.54,34.75,29441351,ok
2020-10-01,35.23,35.49,34.5665,35.18,18972215,ok
2020-10-02,33.36,36.77,33.27,36.01,35080985,ok
2020-10-05,36.43,36.5798,35.4201,36.2,18046415,ok
2020-10-06,36.73,37.09,34.84,34.88,28719027,ok
2020-10-07,36.51,37.22,35.88,36.38,27677310,ok
2020-10-08,37.16,37.69,35.85,37.0,28333465,ok
2020-10-09,37.0535,37.8,36.27,37.12,25311770,ok
2020-10-12,36.7,36.99,36.26,36.38,20202572,ok
2020-10-13,35.67,35.95,35.215,35.26,17302985,ok
2020-10-14,35.26,36.33,35.17,35.61,15064442,ok
2020-10-15,35.18,35.38,33.639,34.25,23651963,ok
2020-10-16,34.305,34.58,33.815,34.16,16210035,ok
2020-10-19,34.45,36.55,34.44,35.5,33094432,ok
2020-10-20,36.16,36.59,35.2,36.06,22578065,ok
2020-10-21,35.91,36.14,35.21,35.54,16092670,ok
2020-10-22,35.9,37.45,35.65,37.24,24747751,ok
2020-10-23,37.1,38.1,36.52,38.01,20690272,ok
2020-10-26,37.37,37.4,34.67,35.34,25924487,ok
2020-10-27,35.11,35.65,34.15,34.17,17594206,ok
2020-10-28,33.11,33.66,32.16,32.6,21822932,ok
2020-10-29,32.63,33.75,32.43,33.57,17257404,ok
2020-10-30,33.15,34.02,32.83,33.86,18795301,ok
2020-11-02,34.08,34.1,32.95,33.78,13901027,ok
2020-11-03,34.32,34.68,33.76,34.02,16309029,ok
