Date,Open,High,Low,Close,Volume,Status
2020-01-02,144.26,144.26,141.01,142.31,398374,ok
2020-01-03,140.76,142.17,140.1,141.97,262697,ok
2020-01-06,141.11,142.42,140.715,141.86,434809,ok
2020-01-07,141.23,142.95,140.7,142.43,645668,ok
2020-01-08,142.66,145.42,142.27,145.08,827964,ok
2020-01-09,145.32,146.01,143.907,144.33,417461,ok
2020-01-10,144.76,146.4,144.75,146.05,545991,ok
2020-01-13,146.41,147.15,144.37,144.88,448985,ok
2020-01-14,144.23,145.49,143.73,145.46,463624,ok
2020-01-15,145.12,145.96,143.96,144.3,447912,ok
2020-01-16,144.96,145.2,143.74,143.94,417420,ok
2020-01-17,144.46,145.95,144.19,145.03,798643,ok
2020-01-21,145.28,145.28,143.93,144.99,830917,ok
2020-01-22,145.51,146.18,143.885,145.58,640188,ok
2020-01-23,145.43,147.88,144.7,147.78,404065,ok
2020-01-24,147.91,147.98,145.731,147.26,656464,ok
2020-01-27,145.57,146.65,144.36,144.98,434117,ok
2020-01-28,146.4,148.27,145.03,145.22,517480,ok
2020-01-29,145.91,146.11,143.87,143.9,291201,ok
2020-01-30,143.29,143.67,140.22,140.93,564981,ok
2020-01-31,140.26,140.27,136.73,137.11,695564,ok
2020-02-03,137.98,139.76,137.03,137.26,568607,ok
2020-02-04,138.64,140.76,137.98,138.49,564210,ok
2020-02-05,139.52,143.25,139.24,142.0,574706,ok
2020-02-06,142.65,143.68,140.955,141.08,583823,ok
2020-02-07,141.0,141.51,137.94,138.13,579946,ok
2020-02-10,137.97,139.68,137.555,139.61,471977,ok
2020-02-11,140.01,141.77,139.88,141.68,278347,ok
2020-02-12,142.27,143.03,140.25,140.31,358494,ok
2020-02-13,139.81,141.93,139.81,141.5,452171,ok
2020-02-14,141.69,141.69,139.57,139.93,507155,ok
2020-02-18,139.97,140.67,137.79,139.09,468114,ok
2020-02-19,139.55,139.76,138.3,139.03,454566,ok
2020-02-20,139.13,140.27,137.72,140.03,559046,ok
2020-02-21,139.69,143.0,139.69,142.72,467772,ok
2020-02-24,140.23,142.21,139.34,141.23,927838,ok
2020-02-25,141.79,142.67,135.3475,135.48,852740,ok
2020-02-26,136.24,137.9,134.535,135.21,1034646,ok
2020-02-27,134.13,134.13,126.28,128.24,1681674,ok
2020-02-28,124.8,126.12,121.39,123.74,1388751,ok
2020-03-02,124.4,132.53,123.32,131.82,1050177,ok
2020-03-03,131.24,134.67,124.72,125.34,1092659,ok
2020-03-04,129.6,132.575,128.68,131.71,1091847,ok
2020-03-05,127.64,129.05,124.65,127.57,889493,ok
2020-03-06,123.35,126.6,121.975,125.97,966749,ok
2020-03-09,120.97,120.97,113.09,114.59,1044752,ok
2020-03-10,117.63,119.975,113.855,119.56,889425,ok
2020-03-11,116.47,116.535,107.8,110.14,822946,ok
2020-03-12,102.35,104.55,98.02,99.8,1587689,ok
2020-03-13,105.24,105.9707,97.58,105.09,1024816,ok
2020-03-16,95.64,97.04,81.68,81.7,1059868,ok
2020-03-17,83.45,84.87,77.48,80.76,1567965,ok
2020-03-18,75.26,75.28,66.01,67.69,1686963,ok
2020-03-19,66.67,85.66,65.2,84.84,2253842,ok
2020-03-20,86.75,90.46,73.545,75.42,1866229,ok
2020-03-23,75.17,81.215,71.0301,71.84,1727350,ok
2020-03-24,76.86,78.93,73.13,78.16,1832964,ok
2020-03-25,78.99,93.51,76.31,87.95,2065954,ok
2020-03-26,89.95,97.97,87.05,91.84,1770893,ok
2020-03-27,88.95,92.125,86.22,88.99,1375674,ok
2020-03-30,89.2,100.41,88.68,100.13,1399404,ok
2020-03-31,100.73,102.64,96.29,99.08,1479446,ok
2020-04-01,93.91,95.78,86.42,87.92,1036677,ok
2020-04-02,85.43,94.65,84.86,88.71,965384,ok
2020-04-03,88.3,89.75,83.28,85.38,571872,ok
2020-04-06,89.86,97.39,89.28,96.5,925385,ok
2020-04-07,101.89,104.055,97.72,98.39,779449,ok
2020-04-08,99.67,110.06,99.67,106.99,883031,ok
2020-04-09,108.0,110.5808,103.47,104.51,775694,ok
2020-04-13,103.38,104.12,98.41,100.72,669110,ok
2020-04-14,103.0,107.72,102.495,107.55,549058,ok
2020-04-15,102.32,104.6915,101.475,103.09,601082,ok
2020-04-16,103.11,103.89,98.99,101.67,453937,ok
2020-04-17,105.4,108.47,104.57,107.79,559614,ok
2020-04-20,105.05,106.17,102.26,102.69,665293,ok
2020-04-21,99.3,103.31,97.56,97.78,692298,ok
2020-04-22,100.32,102.05,97.99,98.1,639799,ok
2020-04-23,99.01,103.27,98.0,101.2,497070,ok
2020-04-24,102.03,103.0,99.44,101.65,480029,ok
2020-04-27,103.15,106.43,102.725,105.08,705982,ok
2020-04-28,103.38,108.43,101.63,105.37,1266877,ok
2020-04-29,106.39,113.52,105.98,110.53,706273,ok
2020-04-30,107.77,108.9,105.58,105.69,836559,ok
2020-05-01,102.98,103.655,97.6,99.15,750660,ok
2020-05-04,97.71,99.14,95.635,98.43,749870,ok
2020-05-05,100.3,104.48,100.3,101.9,610899,ok
2020-05-06,102.18,102.55,95.28,95.6,689195,ok
2020-05-07,97.09,100.0,96.31,96.53,537679,ok
2020-05-08,98.66,102.34,97.88,102.06,538182,ok
2020-05-11,100.79,100.79,97.73,98.47,422923,ok
2020-05-12,99.18,100.23,93.52,93.52,569188,ok
2020-05-13,93.09,94.065,90.09,91.8,544789,ok
2020-05-14,90.37,91.67,86.645,91.48,629769,ok
2020-05-15,91.14,93.59,90.51,92.63,443154,ok
2020-05-18,96.22,101.224,96.22,100.13,903660,ok
2020-05-19,99.4,102.39,97.38,100.51,590740,ok
2020-05-20,101.51,103.94,100.28,103.28,723667,ok
2020-05-21,102.8,106.15,101.93,105.57,714824,ok
2020-05-22,105.9,106.1,101.2,104.17,571560,ok
2020-05-26,107.73,109.72,105.87,106.38,770353,ok
2020-05-27,108.42,111.11,106.99,110.43,573911,ok
2020-05-28,111.88,111.88,106.37,107.25,470629,ok
2020-05-29,106.59,106.95,103.19,105.45,903559,ok
2020-06-01,105.0,107.66,103.15,104.59,692877,ok
2020-06-02,104.69,105.45,103.12,104.03,422872,ok
2020-06-03,105.27,107.9,104.32,104.43,475201,ok
2020-06-04,102.83,105.09,101.61,102.91,676033,ok
2020-06-05,105.48,112.97,105.48,109.16,924257,ok
2020-06-08,110.53,114.54,110.01,111.21,791128,ok
2020-06-09,113.17,113.81,107.18,109.22,919963,ok
2020-06-10,108.73,108.85,102.4,102.45,649904,ok
2020-06-11,98.34,99.82,92.22,94.9,1330169,ok
2020-06-12,98.8,99.44,92.84,95.58,886726,ok
2020-06-15,92.51,100.75,91.22,100.53,1102614,ok
2020-06-16,103.89,105.17,98.93,102.0,861100,ok
2020-06-17,102.37,102.37,96.44,96.86,855907,ok
2020-06-18,96.01,98.49,93.44,97.77,688645,ok
2020-06-19,99.79,101.87,95.84,96.7,1444038,ok
2020-06-22,96.32,96.63,93.7,96.11,979769,ok
2020-06-23,97.31,97.54,94.39,95.54,936118,ok
2020-06-24,93.67,93.7,89.06,89.3,1294309,ok
2020-06-25,88.74,92.07,87.86,90.44,1021117,ok
2020-06-26,90.41,92.92,88.47,89.34,1187293,ok
2020-06-29,90.57,93.33,89.03,92.27,512294,ok
2020-06-30,91.57,93.42,89.23,92.89,635811,ok
2020-07-01,93.31,96.0,92.26,93.18,669246,ok
2020-07-02,95.03,98.385,93.34,93.61,1077688,ok
2020-07-06,95.46,96.87,93.0,94.82,967941,ok
2020-07-07,93.48,94.0,90.735,91.17,476315,ok
2020-07-08,91.74,91.88,88.99,90.7,480481,ok
2020-07-09,89.75,90.34,86.67,88.61,563432,ok
2020-07-10,88.18,89.92,87.0,89.76,457396,ok
2020-07-13,89.9,92.0,89.09,90.08,614054,ok
2020-07-14,89.69,92.94,88.81,92.68,624246,ok
2020-07-15,94.9,98.6,94.85,97.95,564435,ok
2020-07-16,97.39,99.45,95.5401,98.4,503221,ok
2020-07-17,99.03,99.2049,96.62,97.6,612668,ok
2020-07-20,97.6,97.64,95.03,96.03,595871,ok
2020-07-21,96.69,101.47,96.69,100.2,1180322,ok
2020-07-22,102.12,106.9572,101.55,106.01,1096505,ok
2020-07-23,105.76,107.91,105.75,107.5,862142,ok
2020-07-24,108.21,108.78,106.69,108.08,656988,ok
2020-07-27,107.1,110.27,105.78,109.37,980656,ok
2020-07-28,112.0,114.41,108.09,109.07,1014464,ok
2020-07-29,110.16,114.83,110.16,113.12,743155,ok
2020-07-30,111.51,113.06,108.56,112.07,588264,ok
2020-07-31,111.27,111.57,108.38,109.9,652599,ok
2020-08-03,110.3,110.86,107.11,107.75,945474,ok
2020-08-04,106.99,109.06,106.45,106.71,684481,ok
2020-08-05,107.93,109.8,107.225,108.14,650409,ok
2020-08-06,108.28,109.16,106.78,107.82,535567,ok
2020-08-07,107.21,110.11,107.21,109.44,770073,ok
2020-08-10,109.62,114.1,109.5,112.62,642607,ok
2020-08-11,114.1,115.44,112.68,112.96,558960,ok
2020-08-12,113.84,114.195,112.335,113.46,449351,ok
2020-08-13,112.5,113.0,110.88,111.93,414393,ok
2020-08-14,111.49,114.445,111.36,114.16,426282,ok
2020-08-17,114.6,115.28,113.46,114.39,449575,ok
2020-08-18,114.71,114.75,111.38,112.11,515885,ok
2020-08-19,112.35,113.75,111.7,111.88,463245,ok
2020-08-20,110.75,112.39,109.16,110.22,332117,ok
2020-08-21,110.05,111.33,108.17,108.7,778358,ok
2020-08-24,109.8,112.68,108.21,111.08,457746,ok
2020-08-25,111.6,111.6,108.14,109.7,406756,ok
2020-08-26,109.48,109.59,106.73,108.3,541024,ok
2020-08-27,109.39,113.365,108.8,111.94,359726,ok
2020-08-28,112.09,112.69,110.96,112.62,202388,ok
2020-08-31,111.97,112.68,110.21,110.35,562098,ok
2020-09-01,109.45,110.7,108.57,110.57,458400,ok
2020-09-02,110.45,112.875,108.9,112.34,505731,ok
2020-09-03,113.5,114.6,111.06,112.1,576103,ok
2020-09-04,113.35,114.85,111.48,113.57,618987,ok
2020-09-08,113.75,113.75,109.06,109.32,656949,ok
2020-09-09,110.17,112.58,109.77,111.22,552892,ok
2020-09-10,112.08,114.165,111.69,112.88,672293,ok
2020-09-11,112.91,114.0,112.26,113.2,956154,ok
2020-09-14,114.0,117.3,113.74,116.88,547617,ok
2020-09-15,117.45,118.92,116.895,117.7,842000,ok
2020-09-16,118.58,122.99,118.195,121.49,941824,ok
2020-09-17,119.93,122.41,117.385,122.03,698417,ok
2020-09-18,121.31,121.95,117.8,117.93,1270554,ok
2020-09-21,107.11,108.71,101.05,107.84,1924809,ok
2020-09-22,107.58,107.7,103.985,106.43,834441,ok
2020-09-23,106.58,107.4925,101.19,101.58,831320,ok
2020-09-24,101.13,103.91,99.47,102.63,720532,ok
2020-09-25,101.47,105.88,101.47,105.39,478779,ok
2020-09-28,106.72,108.95,103.81,104.41,1135489,ok
2020-09-29,103.21,104.0,99.96,102.53,737581,ok
2020-09-30,103.47,108.61,103.325,107.02,747779,ok
2020-10-01,107.12,108.1,104.57,106.2,647264,ok
2020-10-02,104.09,109.97,103.36,109.15,482638,ok
2020-10-05,110.04,111.88,109.175,111.54,551611,ok
2020-10-06,112.64,113.78,110.24,110.64,579333,ok
2020-10-07,111.37,113.82,108.64,109.5,717101,ok
2020-10-08,110.43,113.22,110.12,112.89,363416,ok
2020-10-09,120.0,120.01,111.51,111.73,562833,ok
2020-10-12,111.24,111.78,108.48,109.82,374323,ok
2020-10-13,108.94,111.08,107.63,109.43,502288,ok
2020-10-14,109.2,112.86,109.2,111.05,409500,ok
2020-10-15,109.29,112.83,108.76,112.71,482458,ok
2020-10-16,112.81,114.65,111.74,112.89,445407,ok
2020-10-19,112.43,113.25,110.07,110.35,403676,ok
2020-10-20,111.12,114.22,110.49,112.72,323530,ok
2020-10-21,112.14,113.15,110.01,111.88,353829,ok
2020-10-22,112.46,114.05,110.87,112.13,471706,ok
2020-10-23,112.79,115.85,112.51,115.58,419859,ok
2020-10-26,113.31,115.755,112.1568,114.79,871603,ok
2020-10-27,114.17,115.25,111.125,111.39,457976,ok
2020-10-28,109.13,110.24,105.78,106.37,767230,ok
2020-10-29,105.79,106.98,103.35,105.45,688810,ok
2020-10-30,109.49,112.65,106.01,109.55,1215861,ok
2020-11-02,111.51,114.15,110.22,113.88,968711,ok
2020-11-03,115.14,118.88,113.805,118.21,949274,ok
2020-11-04,119.34,119.34,111.13,112.28,1525405,ok
2020-11-05,113.46,119.69,113.04,117.82,623870,ok
2020-11-06,117.47,118.44,116.5,116.62,405728,ok
2020-11-09,126.42,134.52,125.35,126.77,991405,ok
2020-11-10,127.83,133.99,127.76,132.51,699203,ok
2020-11-11,132.4,132.57,127.28,129.61,624240,ok
2020-11-12,128.52,131.59,125.42,127.14,624032,ok
2020-11-13,128.3,134.14,127.2,133.2,432836,ok
2020-11-16,136.45,136.61,131.58,132.91,475903,ok
2020-11-17,131.55,134.07,129.695,133.27,497110,ok
2020-11-18,133.07,134.78,131.03,132.61,519603,ok
2020-11-19,131.69,134.18,129.18,133.95,512589,ok
