Date,Open,High,Low,Close,Volume,Status
2020-01-02,168.41,168.67,164.41,168.65,826335,ok
2020-01-03,164.99,166.56,161.37,165.71,1088997,ok
2020-01-06,162.61,165.69,162.36,165.38,707756,ok
2020-01-07,165.0,165.97,163.63,165.08,525704,ok
2020-01-08,165.31,166.27,163.61,164.81,688699,ok
2020-01-09,165.91,165.92,162.62,163.23,923183,ok
2020-01-10,163.23,163.45,158.65,159.47,993371,ok
2020-01-13,160.6,160.86,155.71,157.44,1537730,ok
2020-01-14,156.27,157.07,152.62,154.34,1419828,ok
2020-01-15,153.24,156.05,152.245,154.89,924757,ok
2020-01-16,156.03,157.79,155.51,157.65,891773,ok
2020-01-17,158.46,161.28,158.14,158.72,1119302,ok
2020-01-21,157.9,157.9,154.79,154.99,1146429,ok
2020-01-22,156.43,156.95,154.63,155.27,742227,ok
2020-01-23,153.66,155.35,150.84,155.15,1107195,ok
2020-01-24,155.24,155.82,149.51,151.65,1232300,ok
2020-01-27,146.54,149.72,146.04,146.27,1521571,ok
2020-01-28,148.25,151.55,147.31,150.5,872432,ok
2020-01-29,151.5,153.66,150.56,152.26,1298475,ok
2020-01-30,150.05,152.56,140.07,141.58,2642115,ok
2020-01-31,139.84,140.84,135.265,135.69,2159304,ok
2020-02-03,137.19,141.31,136.72,139.52,1731559,ok
2020-02-04,142.27,149.33,141.61,147.53,1547991,ok
2020-02-05,151.0,155.28,150.25,154.38,1329065,ok
2020-02-06,155.26,155.26,150.36,152.61,770860,ok
2020-02-07,151.28,151.56,149.05,149.75,819999,ok
2020-02-10,149.27,151.09,148.26,150.75,537720,ok
2020-02-11,152.59,156.0,151.9,154.05,1061208,ok
2020-02-12,156.95,160.08,156.02,158.87,1093815,ok
2020-02-13,157.47,160.29,157.0,160.08,847404,ok
2020-02-14,159.99,161.11,154.9,156.86,602119,ok
2020-02-18,155.25,156.59,151.52,153.98,847926,ok
2020-02-19,154.85,156.49,153.16,153.55,619481,ok
2020-02-20,152.76,159.115,152.55,155.72,821825,ok
2020-02-21,153.72,154.47,150.8,151.41,973028,ok
2020-02-24,143.73,143.97,139.43,141.95,1431257,ok
2020-02-25,142.66,143.5,132.72,134.64,1736963,ok
2020-02-26,136.65,137.69,131.56,131.72,1450519,ok
2020-02-27,126.32,136.83,123.63,129.64,1918358,ok
2020-02-28,124.54,135.36,124.1,132.48,2541416,ok
2020-03-02,134.52,135.8,127.0,135.8,1979351,ok
2020-03-03,135.41,138.61,126.57,128.64,1508550,ok
2020-03-04,131.06,132.33,126.38,130.16,1566652,ok
2020-03-05,125.36,125.74,118.67,119.82,1923290,ok
2020-03-06,114.05,118.36,111.65,115.67,2691628,ok
2020-03-09,100.99,106.77,97.9,98.96,3339800,ok
