Date,Open,High,Low,Close,Volume,Status
2020-01-02,59.47,59.48,59.01,59.2,4504244,ok
2020-01-03,58.5,58.81,58.02,58.51,5161813,ok
2020-01-06,57.07,57.79,56.82,57.71,6869161,ok
2020-01-07,57.53,57.69,57.14,57.16,4008009,ok
2020-01-08,57.2,57.51,57.025,57.04,5627463,ok
2020-01-09,57.35,57.56,56.86,57.06,5775679,ok
2020-01-10,57.1,57.15,56.58,56.67,5284986,ok
2020-01-13,56.52,56.7769,56.19,56.71,6235835,ok
2020-01-14,56.69,57.2,56.47,56.59,6866644,ok
2020-01-15,55.47,55.82,54.49,54.97,10158636,ok
2020-01-16,54.75,55.27,54.4,55.19,12176120,ok
2020-01-17,55.32,55.49,55.11,55.35,9546374,ok
2020-01-21,54.89,54.99,54.36,54.42,9490582,ok
2020-01-22,54.55,55.02,54.45,54.94,6804876,ok
2020-01-23,54.79,55.01,54.35,54.88,7107833,ok
2020-01-24,54.86,54.86,53.5,53.84,6179476,ok
2020-01-27,53.0,53.7099,52.87,53.54,6296191,ok
2020-01-28,53.84,54.4,53.665,53.86,5965248,ok
2020-01-29,53.98,54.36,53.53,53.6,5026620,ok
2020-01-30,53.19,54.32,53.18,54.25,6190795,ok
2020-01-31,53.76,53.9099,53.05,53.22,6355120,ok
2020-02-03,53.57,54.25,53.55,53.69,6336937,ok
2020-02-04,54.38,54.84,54.19,54.22,5512227,ok
2020-02-05,55.0,55.3858,54.81,55.2,6071561,ok
2020-02-06,55.52,55.6,54.725,54.8,4608849,ok
2020-02-07,54.64,54.74,54.3,54.62,3626662,ok
2020-02-10,54.44,54.64,54.095,54.64,5602661,ok
2020-02-11,54.71,55.31,54.7,54.93,5309416,ok
2020-02-12,55.26,55.69,54.785,54.81,4112596,ok
2020-02-13,54.66,55.365,54.48,55.18,4928082,ok
2020-02-14,55.21,55.33,54.84,55.11,4351459,ok
2020-02-18,54.88,55.1,53.795,54.42,5591757,ok
2020-02-19,54.7,54.88,54.61,54.75,4219792,ok
2020-02-20,54.57,55.23,54.52,54.8,4906182,ok
2020-02-21,54.52,54.69,54.045,54.55,5666030,ok
2020-02-24,53.05,53.6,52.95,53.08,7773758,ok
2020-02-25,53.03,53.33,50.55,50.72,10564594,ok
2020-02-26,51.19,51.45,49.65,49.66,12018527,ok
2020-02-27,48.7,49.58,47.51,47.52,13413943,ok
2020-02-28,46.01,46.71,44.91,46.44,24633447,ok
2020-03-02,46.48,48.16,45.51,48.16,12673932,ok
2020-03-03,47.98,49.04,45.6806,46.1,13197702,ok
2020-03-04,46.57,46.8,45.315,46.66,12095635,ok
2020-03-05,45.3,45.3,43.125,43.78,12815769,ok
2020-03-06,41.68,42.73,41.405,42.45,14127558,ok
2020-03-09,38.02,39.05,35.88,36.32,17812040,ok
2020-03-10,38.44,38.93,36.15,38.64,16815707,ok
2020-03-11,37.0,37.65,35.525,36.21,18948657,ok
2020-03-12,33.63,34.4,31.02,31.61,20621124,ok
2020-03-13,34.62,37.15,32.9577,37.1,20211428,ok
2020-03-16,30.05,35.5,30.0,32.57,14279971,ok
2020-03-17,33.37,34.31,31.24,33.72,16232175,ok
2020-03-18,31.39,33.96,30.91,33.0,18092911,ok
2020-03-19,32.33,33.93,31.074,33.21,16042749,ok
2020-03-20,33.88,33.93,31.05,32.57,20375936,ok
2020-03-23,31.76,32.25,28.59,28.93,13417602,ok
2020-03-24,30.88,31.5,29.76,31.2,14752157,ok
2020-03-25,31.4,33.7375,29.99,32.03,17018578,ok
2020-03-26,32.38,36.72,32.225,36.18,16021912,ok
2020-03-27,34.46,37.185,34.17,35.77,11470316,ok
2020-03-30,35.0,36.1,34.01,35.87,9825788,ok
2020-03-31,35.44,36.365,33.915,34.45,11035575,ok
2020-04-01,32.53,33.0,31.26,31.93,11203913,ok
2020-04-02,31.6,33.08,31.45,32.67,8497625,ok
2020-04-03,32.42,32.88,30.78,31.19,7148844,ok
2020-04-06,33.17,34.71,33.0,34.37,9205035,ok
2020-04-07,36.72,36.89,34.34,34.45,8122460,ok
2020-04-08,34.96,35.9,34.375,35.65,7236923,ok
2020-04-09,36.71,38.78,36.43,38.05,10117181,ok
2020-04-13,38.0,38.09,36.33,36.79,7678305,ok
2020-04-14,37.69,37.69,35.25,35.8,7781834,ok
2020-04-15,35.13,35.5,32.81,33.33,11726423,ok
2020-04-16,33.02,33.64,31.4,31.78,10664606,ok
2020-04-17,33.08,35.29,33.08,35.06,10757189,ok
2020-04-20,34.0,35.23,33.44,34.25,10341994,ok
2020-04-21,33.0,33.56,32.4,32.73,11434488,ok
2020-04-22,33.51,33.785,32.93,33.25,7242685,ok
2020-04-23,33.61,34.42,33.19,33.37,7311808,ok
2020-04-24,33.67,34.3,32.87,34.0,7683645,ok
2020-04-27,34.41,36.16,34.25,35.88,8307192,ok
2020-04-28,37.24,37.98,36.57,36.65,6988969,ok
2020-04-29,37.99,38.935,37.17,38.46,7844248,ok
2020-04-30,37.39,37.45,36.19,36.5,7796358,ok
2020-05-01,35.71,35.82,34.65,34.94,6554254,ok
2020-05-04,34.33,34.7,33.83,34.47,5988308,ok
2020-05-05,34.96,35.24,33.45,33.54,7305153,ok
2020-05-06,33.85,34.1,33.025,33.21,9640572,ok
2020-05-07,33.71,34.97,33.69,34.2,6983781,ok
2020-05-08,35.0,35.42,34.41,34.75,5617772,ok
2020-05-11,34.06,34.16,33.03,33.35,7158282,ok
2020-05-12,33.53,33.53,31.61,31.65,11626277,ok
2020-05-13,31.4,31.47,29.052,29.45,15304752,ok
2020-05-14,28.86,31.27,28.36,31.17,14770860,ok
2020-05-15,30.79,31.13,30.12,30.68,12087752,ok
2020-05-18,32.12,33.175,31.835,32.96,9197845,ok
2020-05-19,32.57,32.85,31.81,31.99,7533627,ok
2020-05-20,32.6,33.26,32.57,33.06,10122515,ok
2020-05-21,32.85,33.35,32.73,32.92,5890491,ok
2020-05-22,32.9,33.01,32.21,32.93,5534359,ok
2020-05-26,34.49,36.28,34.42,35.83,11156621,ok
2020-05-27,37.99,38.65,36.7,37.62,9938906,ok
2020-05-28,38.09,38.16,36.39,36.51,9031110,ok
2020-05-29,35.86,36.49,35.42,35.56,18242477,ok
2020-06-01,35.79,37.045,35.61,36.69,6594784,ok
2020-06-02,37.3,37.515,36.335,36.62,6596544,ok
2020-06-03,37.65,38.87,37.53,38.68,9656059,ok
2020-06-04,38.68,40.09,38.05,40.07,9142455,ok
2020-06-05,43.5,44.255,41.7403,42.37,12586806,ok
2020-06-08,42.95,43.94,42.42,43.51,10445823,ok
2020-06-09,41.88,42.55,41.34,42.1,7580427,ok
2020-06-10,41.55,41.76,39.18,39.32,11590232,ok
2020-06-11,36.65,37.69,36.06,36.14,16095907,ok
2020-06-12,38.16,38.27,36.585,37.51,9329307,ok
2020-06-15,35.83,39.02,35.66,38.78,11285831,ok
2020-06-16,40.42,40.5,38.38,39.34,9411467,ok
2020-06-17,39.4,39.62,38.45,38.51,7153447,ok
2020-06-18,38.05,39.29,37.89,38.57,5425900,ok
2020-06-19,39.36,39.36,37.9,38.87,42477180,ok
2020-06-22,38.46,38.71,37.885,38.22,8321232,ok
2020-06-23,38.9,39.45,38.34,38.6,6545885,ok
2020-06-24,38.08,38.135,36.66,36.87,7351259,ok
2020-06-25,36.71,38.17,36.56,38.05,6023360,ok
2020-06-26,37.01,37.25,35.95,36.06,13960078,ok
2020-06-29,36.23,36.83,35.87,36.35,5352141,ok
2020-06-30,35.92,37.11,35.8,36.82,7709392,ok
2020-07-01,36.92,37.13,35.8,35.98,6902394,ok
2020-07-02,36.99,37.22,35.7775,35.89,5768187,ok
2020-07-06,36.73,37.65,36.4,36.83,6069651,ok
2020-07-07,36.33,36.36,35.465,35.58,6683791,ok
2020-07-08,35.53,35.93,34.885,35.51,5969923,ok
2020-07-09,35.31,35.53,34.01,34.22,6103657,ok
2020-07-10,34.42,36.49,34.25,36.44,8974925,ok
2020-07-13,36.75,37.27,35.85,36.83,6708025,ok
2020-07-14,36.54,37.08,35.7401,36.29,7961472,ok
2020-07-15,38.17,38.36,37.11,37.64,7798580,ok
2020-07-16,37.17,38.47,37.02,37.56,6105564,ok
2020-07-17,37.52,37.57,36.01,36.03,9155839,ok
2020-07-20,35.84,36.125,35.49,35.57,7234117,ok
2020-07-21,35.82,36.97,35.77,36.6,9232169,ok
2020-07-22,36.41,36.78,36.02,36.26,6305860,ok
2020-07-23,36.09,36.905,36.0,36.77,5988336,ok
2020-07-24,36.91,37.4799,36.78,36.92,7385792,ok
2020-07-27,36.6,36.62,35.59,36.16,6452291,ok
2020-07-28,35.99,36.51,35.92,36.32,7658925,ok
2020-07-29,36.27,37.83,36.01,37.71,6527713,ok
2020-07-30,36.66,37.04,36.02,36.91,6202331,ok
2020-07-31,36.65,36.87,36.0826,36.84,7707372,ok
2020-08-03,36.79,37.09,36.37,36.8,4683668,ok
2020-08-04,36.63,36.75,36.155,36.23,4098944,ok
2020-08-05,36.5,36.95,36.48,36.86,4588608,ok
2020-08-06,36.64,37.15,36.54,36.79,3227174,ok
2020-08-07,36.36,37.47,36.1,37.46,7818928,ok
2020-08-10,37.73,37.99,37.24,37.47,7739729,ok
2020-08-11,38.44,39.345,38.06,38.27,7526971,ok
2020-08-12,39.11,39.16,37.395,37.81,4865092,ok
2020-08-13,37.45,37.8,37.07,37.37,4084767,ok
2020-08-14,37.01,37.96,36.86,37.78,3971953,ok
2020-08-17,37.57,37.62,36.845,36.93,5522686,ok
2020-08-18,36.9,37.03,36.27,36.33,4335488,ok
2020-08-19,36.34,36.9,36.04,36.16,4218660,ok
2020-08-20,35.74,35.94,35.35,35.61,4373523,ok
2020-08-21,35.6,35.726,35.03,35.21,5999992,ok
2020-08-24,35.4,36.76,35.325,36.75,5276270,ok
2020-08-25,37.12,37.405,36.4,36.61,4890760,ok
2020-08-26,36.47,36.68,36.19,36.22,4649005,ok
2020-08-27,36.22,37.28,36.19,36.94,5601040,ok
2020-08-28,37.35,37.35,36.67,37.2,4666612,ok
2020-08-31,36.97,37.06,36.24,36.4,6037318,ok
2020-09-01,36.16,36.8967,35.95,36.69,5984403,ok
2020-09-02,36.64,37.77,36.51,37.61,8346377,ok
2020-09-03,37.97,38.94,37.27,37.46,9892636,ok
2020-09-04,38.32,38.75,37.54,38.31,8407141,ok
2020-09-08,37.61,37.95,36.43,36.72,9781708,ok
2020-09-09,37.01,37.08,36.432,36.53,5718943,ok
2020-09-10,36.74,37.18,35.74,35.78,7381976,ok
2020-09-11,35.8,36.75,35.65,36.68,6330342,ok
2020-09-14,37.02,38.24,36.93,37.87,5797340,ok
2020-09-15,37.89,38.08,37.11,37.32,7353460,ok
2020-09-16,37.32,38.72,37.17,38.16,5697366,ok
2020-09-17,37.68,38.15,37.45,37.89,6422635,ok
2020-09-18,37.55,38.045,37.39,37.62,7800060,ok
2020-09-21,36.68,37.179,35.62,36.16,8109093,ok
2020-09-22,36.26,36.4,35.32,35.59,7230540,ok
2020-09-23,35.81,36.23,34.49,34.5,6665786,ok
2020-09-24,34.68,35.32,34.17,34.73,6961608,ok
2020-09-25,34.4,35.225,34.21,35.16,4565813,ok
2020-09-28,35.88,36.4645,35.67,36.1,5622980,ok
2020-09-29,35.5,35.58,34.72,35.3,5202791,ok
2020-09-30,35.45,36.17,35.34,35.85,9457479,ok
2020-10-01,36.03,36.09,35.4392,36.0,4618108,ok
2020-10-02,35.37,36.95,35.25,36.77,5406160,ok
2020-10-05,37.32,37.915,37.11,37.73,5471888,ok
2020-10-06,38.15,38.795,37.27,37.42,6061122,ok
2020-10-07,38.05,39.06,37.99,38.79,7673027,ok
2020-10-08,39.0,39.66,38.79,39.5,6988379,ok
2020-10-09,39.7,39.76,38.58,39.17,6504718,ok
2020-10-12,39.03,39.97,38.79,39.75,7249502,ok
2020-10-13,39.5,39.69,38.32,38.42,6460027,ok
2020-10-14,38.44,39.51,38.22,38.25,7761923,ok
2020-10-15,38.2,39.35,38.06,39.14,6010781,ok
2020-10-16,39.25,39.695,38.625,39.14,5679047,ok
2020-10-19,39.35,39.7,38.86,38.97,6117212,ok
2020-10-20,39.31,39.83,39.15,39.21,5666337,ok
2020-10-21,39.01,39.36,38.78,38.82,4911853,ok
2020-10-22,38.77,40.55,38.77,40.48,6366090,ok
2020-10-23,40.88,41.03,40.07,40.66,5760719,ok
2020-10-26,40.18,40.27,39.38,39.96,6300088,ok
2020-10-27,39.63,39.73,38.39,38.41,6944263,ok
2020-10-28,37.68,38.0283,37.18,37.3,8437824,ok
2020-10-29,37.14,38.33,36.57,38.07,6634561,ok
2020-10-30,37.99,38.96,37.76,38.95,6210539,ok
2020-11-02,39.45,40.12,38.77,39.74,5915733,ok
2020-11-03,40.54,41.09,40.4,40.82,6210427,ok
2020-11-04,39.68,40.28,38.465,39.0,7494660,ok
2020-11-05,38.96,40.65,38.96,40.46,5535927,ok
2020-11-06,40.82,40.93,38.903,39.17,6210337,ok
2020-11-09,42.97,44.99,42.49,44.16,16088534,ok
2020-11-10,44.49,44.49,43.225,44.14,8062444,ok
2020-11-11,44.03,44.15,42.81,43.75,7680522,ok
2020-11-12,42.96,43.195,42.13,42.81,8024988,ok
