Date,Open,High,Low,Close,Volume,Status
2020-01-02,94.63,95.24,94.256,95.13,2087204,ok
2020-01-03,94.35,94.6482,90.85,91.52,5058032,ok
2020-01-06,91.11,91.99,90.52,91.53,3393193,ok
2020-01-07,91.06,92.76,90.31,92.73,3800671,ok
2020-01-08,92.52,93.53,91.99,93.09,4101757,ok
2020-01-09,93.7,95.27,92.93,95.18,3033336,ok
2020-01-10,95.53,97.48,95.39,96.89,3551757,ok
2020-01-13,97.05,98.03,95.81,96.25,2703236,ok
2020-01-14,96.03,96.15,94.81,95.4,3272144,ok
2020-01-15,94.57,94.85,91.66,92.26,4001916,ok
2020-01-16,93.07,93.2,91.43,91.98,2829510,ok
2020-01-17,91.94,92.09,90.91,91.22,2891815,ok
2020-01-21,90.54,90.94,89.12,90.25,3221549,ok
2020-01-22,90.64,90.9,89.56,89.62,2129544,ok
2020-01-23,89.19,89.75,86.95,89.51,2952270,ok
2020-01-24,89.12,90.07,88.23,89.26,2580291,ok
2020-01-27,86.82,86.87,84.77,85.05,3369666,ok
2020-01-28,85.62,86.9,84.889,85.95,2424065,ok
2020-01-29,86.93,88.44,86.33,86.46,3478350,ok
2020-01-30,85.94,88.45,85.05,88.19,4281405,ok
2020-01-31,87.56,88.4,83.3206,84.31,6537156,ok
2020-02-03,84.3,84.48,79.74,80.25,5190700,ok
2020-02-04,81.71,83.5,81.0,81.24,4504401,ok
2020-02-05,82.59,84.31,81.77,83.78,3247994,ok
2020-02-06,84.04,84.67,82.81,83.27,2615075,ok
2020-02-07,82.74,84.71,82.23,84.04,2333499,ok
2020-02-10,83.4,84.43,83.06,84.37,2603021,ok
2020-02-11,84.13,84.37,83.43,84.24,1886503,ok
2020-02-12,85.66,86.79,84.385,85.04,2543828,ok
2020-02-13,84.87,85.05,83.62,83.7,4507592,ok
2020-02-14,84.2,84.21,81.86,82.64,2990406,ok
2020-02-18,82.37,83.35,82.1,82.52,1856734,ok
2020-02-19,82.76,83.34,81.34,83.23,1831540,ok
2020-02-20,83.26,84.77,83.01,84.17,2015775,ok
2020-02-21,83.3,83.51,81.94,82.9,2085002,ok
2020-02-24,80.04,80.1,77.7,78.1,3868672,ok
2020-02-25,78.42,78.6192,73.99,74.44,4057470,ok
2020-02-26,74.89,75.4947,71.6,71.72,4702297,ok
2020-02-27,69.37,69.81,65.76,66.19,7682400,ok
2020-02-28,63.53,66.27,62.41,66.25,7421941,ok
2020-03-02,66.97,68.06,63.85,67.87,6526342,ok
2020-03-03,68.43,69.05,63.63,64.44,5587919,ok
2020-03-04,65.93,65.93,63.03,64.15,6485046,ok
