Date,Open,High,Low,Close,Volume,Status
2020-01-02,66.72,66.9,65.19,65.5,1757485,ok
2020-01-03,65.08,66.09,64.79,66.01,1110713,ok
2020-01-06,65.81,66.99,65.74,66.87,891152,ok
2020-01-07,66.66,66.78,65.9,66.06,804222,ok
2020-01-08,66.17,66.35,65.62,65.92,960066,ok
2020-01-09,65.92,66.13,65.62,66.11,672719,ok
2020-01-10,66.27,66.52,66.03,66.43,619304,ok
2020-01-13,66.53,67.28,66.435,67.01,1009214,ok
2020-01-14,66.87,67.04,66.27,66.93,1030803,ok
2020-01-15,67.11,67.51,66.78,67.02,1110832,ok
2020-01-16,67.1,67.34,66.87,67.27,1006096,ok
2020-01-17,67.3,67.65,67.05,67.2,886749,ok
2020-01-21,67.21,67.97,67.05,67.78,1126615,ok
2020-01-22,67.9,68.23,67.5238,67.62,789527,ok
2020-01-23,67.5,68.675,67.4067,68.61,769102,ok
2020-01-24,68.06,68.06,66.91,67.31,1252588,ok
2020-01-27,66.82,67.08,65.99,66.17,2237875,ok
2020-01-28,66.26,66.9224,66.2,66.4,1415663,ok
2020-01-29,66.61,66.915,66.39,66.51,1352044,ok
2020-01-30,66.27,66.68,66.04,66.38,1012516,ok
2020-01-31,66.4,66.55,65.39,65.77,3490663,ok
2020-02-03,66.01,66.53,65.18,65.26,1571397,ok
2020-02-04,65.51,66.52,65.51,66.14,810905,ok
2020-02-05,66.36,66.955,66.12,66.48,893733,ok
2020-02-06,66.84,66.98,66.25,66.69,1376013,ok
2020-02-07,66.71,66.71,66.255,66.34,1163313,ok
2020-02-10,66.55,66.63,66.05,66.22,1187402,ok
2020-02-11,66.43,67.16,66.43,67.14,1013776,ok
2020-02-12,67.25,67.75,67.02,67.36,901083,ok
2020-02-13,67.11,67.85,67.11,67.7,899613,ok
2020-02-14,67.79,67.89,67.39,67.89,657748,ok
2020-02-18,67.89,67.98,67.165,67.78,1049145,ok
2020-02-19,68.14,68.5,63.9481,64.38,2738795,ok
2020-02-20,63.78,64.43,62.29,64.28,2317466,ok
