Date,Open,High,Low,Close,Volume,Status
2020-01-02,220.24,220.6541,216.95,219.45,1303850,ok
2020-01-03,216.16,219.8865,214.55,217.98,943577,ok
2020-01-06,217.73,224.35,216.91,224.03,1436623,ok
2020-01-07,224.26,225.92,222.14,223.79,1028630,ok
2020-01-08,225.89,232.7,224.91,231.09,1802743,ok
2020-01-09,233.08,233.255,227.27,230.26,1435381,ok
2020-01-10,231.69,231.69,228.07,228.95,1017426,ok
2020-01-13,229.38,230.0,224.56,226.49,1031533,ok
2020-01-14,226.44,229.8,225.53,229.75,1042036,ok
2020-01-15,229.88,234.33,228.78,234.15,1741525,ok
2020-01-16,234.27,235.78,233.27,235.5,2124025,ok
2020-01-17,236.51,236.51,232.82,235.83,1599342,ok
2020-01-21,235.84,237.2,233.13,233.99,1399779,ok
2020-01-22,234.94,237.47,234.4,234.61,1133969,ok
2020-01-23,235.0,235.63,231.38,233.91,977959,ok
2020-01-24,234.07,235.18,228.415,229.06,904271,ok
2020-01-27,226.51,228.79,226.07,227.37,802283,ok
2020-01-28,228.53,232.295,227.57,231.97,861813,ok
2020-01-29,231.72,233.5929,230.57,232.41,893569,ok
2020-01-30,230.84,231.7499,228.6795,230.31,1169453,ok
2020-01-31,238.65,239.4,223.01,227.05,3373655,ok
2020-02-03,230.76,233.7789,225.01,230.51,1988059,ok
2020-02-04,233.35,241.23,233.29,239.66,1485889,ok
2020-02-05,241.61,244.41,240.0,240.76,1951742,ok
2020-02-06,242.13,244.65,238.01,239.12,1320423,ok
2020-02-07,237.66,240.344,234.1,240.06,1443319,ok
2020-02-10,239.22,244.89,237.0001,244.75,1273055,ok
2020-02-11,245.0,249.0,242.775,247.81,2280049,ok
2020-02-12,247.61,248.795,240.7,242.21,1805742,ok
2020-02-13,241.41,245.385,239.73,240.09,1329205,ok
2020-02-14,241.24,244.45,238.55,243.82,1354016,ok
2020-02-18,244.92,246.0,241.09,245.93,1305401,ok
2020-02-19,249.85,249.85,245.24,247.78,947716,ok
2020-02-20,247.29,247.7,242.585,245.1,1524832,ok
