Date,Open,High,Low,Close,Volume,Status
2022-04-11,24.075,26.26,23.5,24.78,70016221,ok
2022-04-12,24.37,25.33,23.75,24.68,40974782,ok
2022-04-13,24.665,27.5,24.21,26.0,65233873,ok
2022-04-14,25.89,26.58,24.76,24.88,37861644,ok
2022-04-18,24.53,24.8,23.515,24.16,29145522,ok
2022-04-19,23.66,24.68,23.5,24.49,32055136,ok
2022-04-20,23.49,23.56,22.7,23.01,41515898,ok
2022-04-21,22.645,23.23,20.92,21.45,50753213,ok
2022-04-22,21.0,21.91,20.37,20.57,23510050,ok
2022-04-25,20.06,21.94,19.95,21.5,35839593,ok
2022-04-26,19.93,20.96,19.63,20.31,25335760,ok
