Date,Open,High,Low,Close,Volume,Status
2020-01-02,166.1,168.72,165.71,167.46,1503106,ok
2020-01-03,165.0,168.86,164.96,168.44,1276289,ok
2020-01-06,166.99,170.44,166.35,169.49,1623571,ok
2020-01-07,169.51,173.22,168.82,172.95,2408054,ok
2020-01-08,172.96,179.61,172.0505,178.71,2820103,ok
2020-01-09,179.26,180.99,177.27,179.48,3037105,ok
2020-01-10,180.98,182.65,179.59,180.11,2006011,ok
2020-01-13,180.92,182.58,180.4801,181.92,1507254,ok
2020-01-14,181.64,182.82,179.25,179.98,1213876,ok
2020-01-15,180.73,181.185,178.4,179.18,2051873,ok
2020-01-16,178.87,182.98,178.18,182.78,2059772,ok
2020-01-17,183.0,183.8,180.42,181.06,1735572,ok
2020-01-21,180.3,183.54,179.7425,182.31,1232725,ok
2020-01-22,183.06,184.59,182.28,182.41,1883840,ok
2020-01-23,183.05,184.59,181.25,184.38,1693923,ok
2020-01-24,185.0,188.3,184.52,186.07,1963022,ok
2020-01-27,182.0,184.92,181.21,183.96,1228876,ok
2020-01-28,184.62,187.33,184.62,186.68,1300357,ok
2020-01-29,187.54,187.9,183.48,183.61,1311054,ok
2020-01-30,183.5,189.35,183.01,188.15,1352486,ok
2020-01-31,187.87,188.51,183.29,184.63,1094512,ok
2020-02-03,185.6,189.28,184.29,188.57,1609471,ok
2020-02-04,190.0,195.99,188.87,194.7,1832422,ok
2020-02-05,197.0,197.8685,187.7,188.47,1842123,ok
2020-02-06,187.09,190.33,184.32,187.5,1375977,ok
2020-02-07,190.07,193.775,188.01,192.08,1960538,ok
2020-02-10,191.92,195.6,190.91,194.86,983189,ok
2020-02-11,196.0,196.6351,192.02,193.07,958728,ok
2020-02-12,194.26,195.0773,191.29,194.4,1447168,ok
2020-02-13,194.5,196.5,194.23,194.67,937528,ok
2020-02-14,196.87,198.96,194.86,196.99,1240620,ok
2020-02-18,196.88,199.9,195.33,199.38,1959559,ok
2020-02-19,200.4,202.0,197.44,197.58,1941125,ok
2020-02-20,196.0,196.26,187.51,190.56,3219677,ok
2020-02-21,190.0,191.305,182.76,183.86,2874330,ok
2020-02-24,175.0,179.855,173.88,177.105,2822124,ok
2020-02-25,179.49,180.72,174.22,175.47,2078121,ok
2020-02-26,177.2,180.7,174.52,175.36,1668232,ok
2020-02-27,168.98,176.5,166.81,171.2,3573758,ok
2020-02-28,170.45,173.8,164.7,173.25,4278769,ok
2020-03-02,174.85,176.37,167.6919,172.89,3477724,ok
2020-03-03,172.49,172.825,162.9,166.56,3381111,ok
2020-03-04,169.7,171.16,166.42,170.89,1574559,ok
2020-03-05,166.64,169.19,163.02,165.31,1814454,ok
2020-03-06,161.36,161.36,153.39,158.68,2790081,ok
2020-03-09,148.75,151.5,142.8,142.97,3334879,ok
2020-03-10,148.62,150.32,143.5954,150.31,2799609,ok
2020-03-11,145.68,149.35,139.325,142.03,2054739,ok
2020-03-12,131.79,138.365,128.63,131.29,3993372,ok
2020-03-13,137.17,140.24,125.04,137.76,3802691,ok
2020-03-16,124.2,130.72,116.14,120.19,4695821,ok
2020-03-17,121.34,126.87,113.08,124.02,4817185,ok
2020-03-18,116.905,120.055,107.75,113.87,4459830,ok
2020-03-19,114.0,129.5,109.05,126.74,3906194,ok
2020-03-20,129.83,138.71,124.6301,125.0,6111598,ok
2020-03-23,125.66,131.58,123.0,127.15,4102509,ok
2020-03-24,132.21,136.96,128.82,132.39,4523352,ok
2020-03-25,134.84,142.2,132.39,135.73,3338196,ok
2020-03-26,136.98,146.67,136.94,145.28,2838856,ok
2020-03-27,140.3,142.14,135.02,136.21,2027822,ok
2020-03-30,136.8,141.87,136.35,137.3,2118782,ok
2020-03-31,136.0,136.8491,128.1985,130.22,3849368,ok
2020-04-01,125.01,126.42,121.04,126.28,5070043,ok
2020-04-02,124.36,127.76,119.56,122.37,3032641,ok
2020-04-03,120.73,122.845,115.5,116.08,3119636,ok
2020-04-06,121.17,130.69,118.985,130.31,2833656,ok
2020-04-07,136.96,140.86,131.56,131.8,3441136,ok
2020-04-08,134.0,146.11,132.27,142.11,4652224,ok
2020-04-09,145.45,148.85,143.0,145.41,2960496,ok
2020-04-13,144.16,145.235,138.72,141.18,2203272,ok
2020-04-14,149.71,151.305,145.51,149.45,2469224,ok
2020-04-15,145.21,147.78,144.39,146.07,3045413,ok
2020-04-16,145.71,146.75,141.8,142.58,2255868,ok
2020-04-17,146.21,150.3199,145.68,149.3,2988741,ok
2020-04-20,148.01,153.66,147.05,150.9,1304783,ok
2020-04-21,148.31,149.72,137.62,140.15,3445074,ok
2020-04-22,143.88,146.88,141.32,145.82,1226079,ok
2020-04-23,146.0,147.75,142.85,143.6,1283555,ok
2020-04-24,140.81,145.73,140.5,144.96,2065671,ok
2020-04-27,146.8,148.65,144.47,148.1,1266705,ok
2020-04-28,150.0,150.69,144.625,145.07,1323480,ok
2020-04-29,148.28,156.88,147.3389,154.77,2029022,ok
2020-04-30,155.46,158.58,153.01,153.9,2245458,ok
2020-05-01,150.44,150.995,145.56,146.66,1686249,ok
2020-05-04,145.67,149.48,144.81,148.47,1522754,ok
2020-05-05,148.85,152.65,148.8,152.18,2227677,ok
2020-05-06,153.69,155.0,150.74,152.28,1291295,ok
2020-05-07,155.0,162.045,154.225,160.66,2156872,ok
2020-05-08,163.0,165.79,160.15,165.55,1769156,ok
2020-05-11,165.85,168.75,163.75,166.58,2350195,ok
2020-05-12,167.59,168.42,159.58,159.73,1851786,ok
2020-05-13,160.34,160.845,149.83,153.76,3120020,ok
2020-05-14,153.54,155.69,149.2374,155.23,1660392,ok
2020-05-15,154.0,156.75,153.25,154.3,2108507,ok
2020-05-18,157.48,157.48,149.835,150.56,3222559,ok
2020-05-19,152.39,159.88,151.7,157.42,3758437,ok
2020-05-20,159.55,161.11,157.8,159.54,1613373,ok
2020-05-21,159.68,164.22,157.89,163.83,2739389,ok
2020-05-22,164.04,169.62,162.8875,168.15,2659124,ok
2020-05-26,171.18,172.83,167.04,168.34,3999095,ok
2020-05-27,170.0,170.93,162.66,170.38,4091234,ok
2020-05-28,180.08,187.0,178.0082,182.56,8413064,ok
2020-05-29,181.65,183.7987,178.79,183.43,2802377,ok
2020-06-01,181.99,182.56,176.2967,177.96,2931643,ok
2020-06-02,178.71,179.47,174.5101,178.83,2211597,ok
2020-06-03,179.02,182.19,178.0,181.71,1933079,ok
2020-06-04,181.0,182.74,174.8,175.3,1760701,ok
2020-06-05,172.8,181.5,171.3,178.67,1803957,ok
2020-06-08,178.18,182.61,177.2701,181.23,1345822,ok
2020-06-09,180.0,181.7,177.8,179.76,1036927,ok
2020-06-10,180.39,185.02,178.705,183.05,1966905,ok
