Date,Open,High,Low,Close,Volume,Status
2020-01-02,64.2,65.98,64.2,65.62,6671068,ok
2020-01-03,63.89,65.305,63.55,64.61,3958325,ok
2020-01-06,62.96,64.5463,62.7501,63.37,4085887,ok
2020-01-07,65.21,67.98,64.53,67.66,11128846,ok
2020-01-08,67.21,69.0,66.6302,68.64,6604507,ok
2020-01-09,69.39,69.67,67.2907,68.62,5192468,ok
2020-01-10,68.89,69.025,67.66,67.94,4484754,ok
2020-01-13,68.56,69.68,68.23,69.13,4162372,ok
2020-01-14,69.2,70.5,68.9,69.21,4496716,ok
2020-01-15,68.39,68.58,66.04,66.67,5841333,ok
2020-01-16,68.04,68.9,67.66,68.67,5229611,ok
2020-01-17,69.76,69.8,67.86,68.26,4217124,ok
2020-01-21,67.57,68.99,67.47,68.79,5044372,ok
2020-01-22,69.04,69.81,68.28,68.64,3026423,ok
2020-01-23,70.36,72.0,68.64,70.93,6943513,ok
2020-01-24,71.71,71.76,68.89,69.52,4444582,ok
2020-01-27,66.27,67.5,65.32,66.66,4577904,ok
2020-01-28,67.48,68.835,66.42,68.41,3430899,ok
2020-01-29,68.18,68.62,66.62,66.76,3125461,ok
2020-01-30,65.39,66.9681,64.51,66.96,8747718,ok
2020-01-31,69.1635,69.4965,65.17,65.5,14053238,ok
2020-02-03,65.6,69.05,64.69,67.24,5782183,ok
2020-02-04,69.0,69.88,68.35,68.43,4744994,ok
2020-02-05,69.44,70.48,67.41,68.11,4870685,ok
2020-02-06,68.78,69.125,67.64,68.7,3730207,ok
2020-02-07,68.05,68.24,66.89,67.03,4041496,ok
2020-02-10,66.4,68.02,66.26,68.02,3084721,ok
2020-02-11,69.14,69.8,68.24,68.92,3871019,ok
2020-02-12,69.7,71.3,69.7,70.35,3981744,ok
2020-02-13,69.16,71.09,69.0438,69.58,3670541,ok
2020-02-14,70.14,70.27,68.34,69.25,3204401,ok
2020-02-18,67.72,68.43,67.01,68.31,2652294,ok
2020-02-19,68.98,70.28,68.8,69.56,2669445,ok
2020-02-20,69.6,69.7,67.43,69.06,2374047,ok
2020-02-21,68.48,68.77,66.15,66.98,4101415,ok
2020-02-24,63.6,64.94,63.14,63.56,5069363,ok
2020-02-25,63.63,64.11,59.095,59.53,5893922,ok
2020-02-26,59.87,61.73,59.33,59.62,4826174,ok
2020-02-27,57.1,58.39,54.94,55.17,6394375,ok
2020-02-28,52.25,55.71,51.78,55.56,7883311,ok
2020-03-02,57.35,60.07,56.38,60.04,7553340,ok
2020-03-03,59.6,60.9561,56.34,56.93,5420660,ok
2020-03-04,58.34,59.28,56.75,59.14,5143228,ok
2020-03-05,56.88,59.56,56.78,57.71,4487424,ok
2020-03-06,55.05,57.08,53.37,54.73,6009218,ok
2020-03-09,49.56,50.6499,47.32,47.4,6745233,ok
2020-03-10,49.97,50.5,46.43,49.95,7446980,ok
2020-03-11,47.82,47.96,44.19,45.14,7664497,ok
2020-03-12,40.64,43.05,36.81,39.11,9630491,ok
2020-03-13,42.8073,43.13,38.38,41.82,8374995,ok
2020-03-16,35.34,37.77,33.1284,33.27,8872803,ok
2020-03-17,34.23,37.0,31.0,34.05,10273483,ok
2020-03-18,31.05,32.0,27.94,29.19,8865246,ok
2020-03-19,29.2,32.53,27.4,31.34,6842358,ok
2020-03-20,32.35,34.83,31.0,31.05,9268984,ok
2020-03-23,32.09,35.0,30.2,34.37,10503799,ok
2020-03-24,37.59,41.35,36.61,40.47,10365317,ok
2020-03-25,40.8,45.41,38.94,41.63,9430265,ok
2020-03-26,43.49,46.19,42.7,44.29,8749423,ok
2020-03-27,42.36,43.68,40.565,42.25,6539313,ok
2020-03-30,42.75,44.577,41.82,43.51,5753302,ok
2020-03-31,43.1,44.13,41.074,41.62,6806333,ok
2020-04-01,39.7,41.28,37.91,38.67,6616612,ok
2020-04-02,38.56,40.69,37.43,38.4,5425091,ok
2020-04-03,38.61,39.38,37.5,38.21,3423070,ok
2020-04-06,40.64,43.68,40.64,43.31,6465827,ok
2020-04-07,45.55,47.18,42.66,42.86,7256582,ok
2020-04-08,43.76,45.92,43.51,45.34,4974349,ok
2020-04-09,46.71,48.16,43.5802,45.05,6497568,ok
2020-04-13,44.27,44.81,42.81,43.76,5688647,ok
2020-04-14,44.76,45.9,44.2,44.77,5780532,ok
2020-04-15,43.1543,43.59,41.8,42.65,5064074,ok
2020-04-16,42.79,43.0,40.396,41.08,6075270,ok
2020-04-17,43.14,43.16,41.66,42.32,5856718,ok
2020-04-20,41.58,41.58,39.49,39.55,7781381,ok
2020-04-21,38.56,38.99,37.6881,37.83,6168118,ok
2020-04-22,39.21,40.355,38.9,39.93,4630055,ok
2020-04-23,40.06,40.625,39.01,39.39,5167476,ok
2020-04-24,39.67,40.91,39.0401,40.69,4207982,ok
2020-04-27,41.29,43.25,41.21,43.09,4864794,ok
2020-04-28,44.32,45.04,43.31,44.7,6040273,ok
2020-04-29,46.0,48.83,45.29,47.73,8785571,ok
2020-04-30,47.15,47.22,45.205,46.08,9258643,ok
2020-05-01,40.5,41.44,38.42,40.48,25139144,ok
2020-05-04,39.95,40.625,38.85,39.67,8890750,ok
2020-05-05,40.52,41.95,40.14,40.335,6205869,ok
2020-05-06,40.78,41.74,40.29,40.63,3930238,ok
2020-05-07,41.426,42.08,41.06,41.85,4434134,ok
2020-05-08,42.65,44.3,42.62,44.2,4858854,ok
2020-05-11,43.33,43.33,41.85,42.39,5175044,ok
2020-05-12,42.94,43.05,40.9701,40.98,5158876,ok
2020-05-13,40.8,40.97,38.84,39.25,6359138,ok
2020-05-14,38.61,40.4,37.65,40.34,5743852,ok
2020-05-15,39.04,39.81,38.605,39.21,5521652,ok
2020-05-18,40.81,42.52,40.7,42.38,6081976,ok
2020-05-19,42.3,42.95,41.51,41.74,4186730,ok
2020-05-20,43.1,44.25,42.39,42.98,5737875,ok
2020-05-21,42.71,43.35,41.95,42.69,4297123,ok
2020-05-22,42.88,42.89,41.91,42.42,3430267,ok
2020-05-26,44.36,45.79,43.87,45.07,5612611,ok
2020-05-27,45.5,46.31,43.16,46.01,8902094,ok
2020-05-28,45.46,45.555,43.48,43.62,4323522,ok
2020-05-29,43.72,44.54,42.76,44.37,5368133,ok
2020-06-01,43.4,43.78,42.78,43.075,4661098,ok
2020-06-02,43.1558,44.05,42.88,44.0,4428754,ok
2020-06-03,45.05,45.81,44.69,45.44,4904008,ok
2020-06-04,45.0,46.68,44.47,45.98,6973048,ok
2020-06-05,48.19,49.88,47.41,48.46,7708150,ok
2020-06-08,49.45,49.519,47.5626,48.53,5376699,ok
2020-06-09,47.39,48.12,46.88,47.83,4124048,ok
2020-06-10,47.88,48.0,46.34,46.85,4894544,ok
2020-06-11,44.62,44.67,42.33,42.35,8163905,ok
2020-06-12,43.94,44.67,41.77,42.95,5663438,ok
2020-06-15,41.46,43.18,40.77,42.93,5784502,ok
2020-06-16,45.16,46.11,43.63,44.47,5665738,ok
2020-06-17,44.87,44.87,43.51,43.71,3987571,ok
2020-06-18,43.2821,43.5195,42.47,42.82,3975921,ok
2020-06-19,43.42,45.0199,43.2,44.39,14270585,ok
2020-06-22,45.51,45.54,43.75,45.11,5926742,ok
2020-06-23,45.36,45.49,43.3,43.51,5662818,ok
2020-06-24,43.39,43.42,41.93,42.25,5723337,ok
2020-06-25,41.89,42.69,41.37,42.57,4205321,ok
2020-06-26,42.37,42.47,40.71,40.87,5741264,ok
2020-06-29,41.09,42.22,40.6,41.99,3729060,ok
2020-06-30,43.22,44.31,42.82,44.15,6924848,ok
2020-07-01,44.01,44.13,42.045,42.45,6047562,ok
2020-07-02,43.02,43.39,42.19,42.44,3900242,ok
2020-07-06,43.27,43.75,42.55,42.95,4343903,ok
2020-07-07,42.4,42.84,41.5,41.72,4684557,ok
2020-07-08,41.93,42.8,41.59,42.8,3724716,ok
2020-07-09,42.82,43.0,41.41,42.32,3716193,ok
2020-07-10,42.12,42.49,41.46,42.31,3259777,ok
2020-07-13,42.7,43.1269,41.825,41.85,4530304,ok
2020-07-14,41.38,42.18,40.57,42.045,3878549,ok
2020-07-15,42.99,44.18,42.68,44.07,4840671,ok
2020-07-16,43.5,44.26,43.19,43.8,3271221,ok
2020-07-17,44.15,44.15,43.04,43.405,2285364,ok
2020-07-20,43.1,43.87,42.77,43.58,3092703,ok
2020-07-21,43.96,44.959,43.81,44.17,4118193,ok
2020-07-22,44.1,44.24,43.48,43.96,3254885,ok
2020-07-23,43.9428,47.39,43.92,46.16,11060838,ok
2020-07-24,45.36,45.45,42.71,42.85,8032813,ok
2020-07-27,43.24,43.755,42.55,43.73,3958238,ok
2020-07-28,43.4,43.83,42.77,42.85,3130970,ok
2020-07-29,42.09,42.95,41.84,42.42,5388698,ok
2020-07-30,41.89,42.805,41.39,42.76,3518323,ok
2020-07-31,42.91,43.14,42.03,43.1,3884499,ok
2020-08-03,43.15,43.985,42.41,43.9,4065199,ok
2020-08-04,43.43,44.78,43.37,44.76,3705400,ok
2020-08-05,45.02,45.36,44.0638,44.47,6667662,ok
2020-08-06,39.1,39.2112,36.9,37.3,33840386,ok
2020-08-07,37.39,37.9,36.5,36.995,10250035,ok
2020-08-10,37.2,37.78,36.72,37.36,7860907,ok
