Date,Open,High,Low,Close,Volume,Status
2020-01-02,92.4,92.52,90.455,90.67,1547068,ok
2020-01-03,90.65,91.71,90.52,91.24,1859426,ok
2020-01-06,91.34,91.8,90.8,91.31,1419092,ok
2020-01-07,90.89,91.07,90.34,90.96,1078229,ok
2020-01-08,91.21,91.385,90.51,91.08,1323669,ok
2020-01-09,90.98,92.06,90.85,91.99,1036677,ok
2020-01-10,92.2,92.63,92.11,92.54,1220272,ok
2020-01-13,92.61,93.77,92.61,93.65,1691218,ok
2020-01-14,93.67,93.97,93.1,93.95,1542458,ok
2020-01-15,94.23,95.49,94.23,95.16,1361955,ok
2020-01-16,95.36,96.215,94.99,96.17,1595295,ok
2020-01-17,96.14,96.8,95.63,96.42,2038806,ok
2020-01-21,96.54,97.74,96.31,97.67,1531507,ok
2020-01-22,98.01,98.41,97.72,98.23,1181550,ok
2020-01-23,98.33,98.92,98.06,98.7,1740200,ok
2020-01-24,98.69,99.7,98.6,98.96,1179261,ok
2020-01-27,98.95,99.69,98.26,98.5,1393436,ok
2020-01-28,98.63,98.82,97.81,98.5,2211835,ok
2020-01-29,98.52,98.89,97.68,98.69,1591413,ok
2020-01-30,99.18,100.87,98.63,100.61,1817083,ok
2020-01-31,100.5,101.37,99.54,99.89,2253625,ok
2020-02-03,100.2,100.94,100.17,100.89,1685796,ok
2020-02-04,100.45,100.79,99.605,99.64,1510146,ok
2020-02-05,99.49,100.06,98.91,100.01,1166028,ok
2020-02-06,99.94,100.24,99.48,99.9,962787,ok
2020-02-07,100.23,100.54,99.69,99.75,787574,ok
2020-02-10,99.97,100.17,99.52,100.14,832690,ok
2020-02-11,100.39,100.64,100.09,100.19,872903,ok
2020-02-12,99.69,100.93,99.38,100.75,1711952,ok
2020-02-13,100.27,101.36,99.895,101.21,1040108,ok
2020-02-14,101.58,102.11,101.35,101.87,1707492,ok
2020-02-18,102.37,103.1,101.99,102.88,1177948,ok
2020-02-19,102.86,103.25,102.4,102.41,1313238,ok
2020-02-20,102.38,102.55,101.66,102.39,1218022,ok
2020-02-21,102.38,103.28,102.25,102.5,1491072,ok
2020-02-24,102.37,102.845,101.42,101.82,1867354,ok
2020-02-25,101.99,102.43,100.205,100.41,1806298,ok
2020-02-26,100.5,101.64,100.26,100.29,1830547,ok
2020-02-27,100.1,101.28,95.49,95.56,2306519,ok
2020-02-28,94.0,94.0,90.16,92.33,3200692,ok
2020-03-02,92.89,97.72,92.73,97.69,2817603,ok
2020-03-03,97.71,100.14,97.17,97.58,2509020,ok
2020-03-04,98.74,104.55,98.74,104.21,1817180,ok
2020-03-05,102.37,105.255,102.07,104.11,1842625,ok
2020-03-06,101.67,105.43,100.55,104.72,2667841,ok
2020-03-09,97.81,104.28,97.81,102.37,3482667,ok
2020-03-10,102.93,105.635,98.24,102.05,3115220,ok
2020-03-11,99.98,101.35,96.34,97.45,2669287,ok
2020-03-12,91.49,98.12,78.93,91.64,3026031,ok
