Date,Open,High,Low,Close,Volume,Status
2022-01-10,228.78,235.94,226.4,232.62,1124440,ok
2022-01-11,232.79,234.68,228.89,233.96,1196212,ok
2022-01-12,234.34,235.0,232.48,233.77,813452,ok
2022-01-13,234.4307,235.02,230.03,231.21,953316,ok
2022-01-14,230.35,233.3684,223.82,229.12,1676002,ok
2022-01-18,228.39,229.29,221.8,227.16,1429318,ok
2022-01-19,227.03,230.67,224.91,226.56,1358323,ok
2022-01-20,230.0768,231.4,226.56,228.24,999401,ok
2022-01-21,229.06,231.63,224.72,225.64,1099293,ok
2022-01-24,224.25,232.09,221.2,230.84,1826065,ok
2022-01-25,226.16,233.0391,222.17,226.65,1462869,ok
2022-01-26,227.24,233.04,223.64,225.55,1371109,ok
2022-01-27,227.69,228.03,220.87,222.99,1202078,ok
2022-01-28,222.99,231.36,220.78,231.09,756256,ok
2022-01-31,228.75,234.73,228.69,233.96,872733,ok
2022-02-01,233.2,236.7,231.71,236.11,729319,ok
2022-02-02,235.85,238.61,234.5,237.86,1145818,ok
2022-02-03,236.96,238.25,233.23,234.33,1032426,ok
2022-02-04,233.21,240.34,233.21,237.86,807085,ok
2022-02-07,238.0,238.87,235.49,235.9,1098098,ok
2022-02-08,225.7,229.11,217.0,225.14,2036493,ok
2022-02-09,224.99,230.74,223.83,228.62,1846071,ok
2022-02-10,225.71,230.615,225.71,229.95,276159,ok
