Date,Open,High,Low,Close,Volume,Status
2020-01-02,70.24,71.02,70.2368,70.9,12406912,ok
2020-01-03,71.34,71.37,70.16,70.33,17390568,ok
2020-01-06,70.32,71.355,70.23,70.87,20082493,ok
2020-01-07,70.5,70.52,69.51,70.29,17496314,ok
2020-01-08,70.11,70.285,69.17,69.23,15140731,ok
2020-01-09,69.14,69.9,68.625,69.76,14812442,ok
2020-01-10,69.93,69.96,69.12,69.14,11997133,ok
2020-01-13,69.2,69.87,69.11,69.8,9965210,ok
2020-01-14,69.38,69.5799,68.89,69.2,16267403,ok
2020-01-15,69.2,69.5899,68.89,69.09,11390257,ok
2020-01-16,69.3,69.585,68.8,68.82,13340349,ok
2020-01-17,68.75,69.08,68.29,68.56,18144097,ok
2020-01-21,68.38,68.42,67.51,67.58,17982599,ok
2020-01-22,67.56,67.7,67.0,67.19,17033140,ok
2020-01-23,66.71,66.93,66.05,66.77,19605865,ok
2020-01-24,66.54,66.675,66.04,66.32,18238553,ok
2020-01-27,65.42,65.73,64.7,64.74,21231010,ok
2020-01-28,65.11,65.2,64.63,64.65,19664697,ok
2020-01-29,65.03,65.13,63.9,64.11,14229484,ok
2020-01-30,63.78,64.88,63.43,64.79,18544663,ok
2020-01-31,63.2,63.2,61.86,62.12,34282899,ok
2020-02-03,61.38,61.42,60.37,60.73,27397306,ok
2020-02-04,61.45,61.91,59.89,59.97,31922057,ok
2020-02-05,60.75,62.925,60.6,62.73,32099203,ok
2020-02-06,62.93,63.01,61.78,61.88,16055371,ok
2020-02-07,61.41,61.655,61.06,61.47,15112535,ok
2020-02-10,60.48,60.52,59.62,59.96,20934456,ok
2020-02-11,60.58,60.89,60.17,60.53,14908715,ok
2020-02-12,61.34,61.53,60.56,61.27,17862134,ok
2020-02-13,61.06,61.4157,60.56,60.93,16949364,ok
2020-02-14,61.15,61.16,60.2829,60.65,10855299,ok
2020-02-18,60.15,60.39,59.45,59.88,18954757,ok
2020-02-19,60.11,60.6225,59.83,60.34,12804907,ok
2020-02-20,60.23,60.54,59.72,59.86,14817238,ok
2020-02-21,59.51,59.51,58.79,59.13,20315705,ok
2020-02-24,57.62,57.8,56.36,56.36,32096615,ok
2020-02-25,56.75,56.75,53.97,54.2,36414538,ok
2020-02-26,54.55,54.82,52.93,53.01,29812354,ok
2020-02-27,51.71,52.435,49.8,49.82,48141281,ok
2020-02-28,48.77,51.44,48.01,51.44,62468380,ok
2020-03-02,52.59,53.89,51.1299,53.88,38127634,ok
2020-03-03,53.95,54.15,50.98,51.3,50580657,ok
2020-03-04,52.23,52.48,51.12,52.42,24079615,ok
2020-03-05,50.42,50.7,49.04,50.11,40788165,ok
2020-03-06,48.84,49.01,47.2,47.69,55640488,ok
2020-03-09,41.71,44.57,40.8,41.86,72896300,ok
2020-03-10,46.17,46.26,41.45,43.41,60376720,ok
2020-03-11,42.39,43.48,41.75,41.98,52015036,ok
2020-03-12,39.9,40.65,37.0,37.18,65725310,ok
2020-03-13,40.01,40.14,35.0,38.12,79891532,ok
2020-03-16,34.4,37.88,33.25,34.49,48924723,ok
2020-03-17,35.21,37.3774,34.2,36.81,41204445,ok
2020-03-18,34.55,36.71,31.23,33.12,54036416,ok
2020-03-19,33.73,34.9,32.35,34.43,49412441,ok
2020-03-20,34.84,35.18,31.56,32.74,76534632,ok
2020-03-23,32.53,32.7,30.11,31.45,56952490,ok
2020-03-24,34.42,36.17,33.333,35.44,61835603,ok
2020-03-25,36.51,38.59,35.18,37.29,56607669,ok
2020-03-26,37.5,39.56,36.72,38.82,46754736,ok
2020-03-27,37.13,37.68,36.2,36.95,51558552,ok
