Date,Open,High,Low,Close,Volume,Status
2020-08-27,23.1,25.0,21.2,21.22,82219698,ok
2020-08-28,23.98,24.4,22.02,22.79,44847272,ok
2020-08-31,22.69,22.79,20.33,20.5,20815988,ok
2020-09-01,20.98,21.79,20.1,21.61,15291396,ok
2020-09-02,21.99,22.0,20.38,21.09,9090101,ok
2020-09-03,20.93,21.05,20.0,20.03,7897129,ok
2020-09-04,19.98,20.18,18.01,19.03,10957355,ok
2020-09-08,17.91,18.56,17.37,17.73,8723960,ok
2020-09-09,18.575,18.65,17.91,18.07,5888958,ok
2020-09-10,18.3135,19.505,18.31,19.28,15465150,ok
2020-09-11,19.49,19.55,18.36,19.1,4259731,ok
2020-09-14,19.14,20.56,18.38,20.48,6296597,ok
2020-09-15,20.59,21.14,20.26,21.12,4332355,ok
2020-09-16,20.66,20.78,19.62,19.92,4062698,ok
2020-09-17,19.01,19.67,19.01,19.24,2887950,ok
2020-09-18,19.44,19.48,18.86,18.9,2789432,ok
2020-09-21,18.27,18.38,17.425,18.15,5191224,ok
2020-09-22,18.5,19.58,18.17,19.31,4131309,ok
2020-09-23,19.42,19.42,18.1,18.41,3273928,ok
2020-09-24,18.0,18.17,17.1101,17.45,3995250,ok
2020-09-25,17.81,18.0,17.12,17.93,5330766,ok
2020-09-28,19.02,19.45,18.5,19.06,5507480,ok
2020-09-29,19.06,19.2,18.53,18.78,5856080,ok
2020-09-30,19.94,20.09,19.16,20.07,10406023,ok
2020-10-01,20.15,20.23,18.51,18.67,10024385,ok
2020-10-02,18.0,18.56,17.98,18.19,4524988,ok
2020-10-05,19.58,20.39,19.22,20.04,14572347,ok
2020-10-06,20.44,20.91,19.2,19.7,7053987,ok
2020-10-07,19.98,20.59,19.85,20.16,4938635,ok
2020-10-08,20.51,20.63,19.72,19.86,3516681,ok
2020-10-09,19.75,20.06,19.51,20.0,2932144,ok
2020-10-12,20.45,20.53,19.76,19.88,4898774,ok
2020-10-13,19.7,19.8,19.31,19.64,3823965,ok
2020-10-14,20.31,22.55,20.18,22.05,18411579,ok
2020-10-15,21.93,22.76,21.05,22.16,10449204,ok
2020-10-16,22.98,23.1,21.32,21.77,6261649,ok
2020-10-19,21.82,21.93,19.82,19.84,8204079,ok
2020-10-20,20.2135,20.65,20.0,20.14,5993605,ok
2020-10-21,20.2,20.47,20.01,20.42,4159677,ok
2020-10-22,20.77,20.89,20.1399,20.82,6382558,ok
2020-10-23,20.9,20.93,19.95,20.05,4465778,ok
2020-10-26,20.06,20.28,19.2,19.62,4263755,ok
2020-10-27,19.62,20.25,19.54,19.9,3603759,ok
2020-10-28,19.67,19.67,18.5,19.02,5551475,ok
2020-10-29,19.19,20.8199,19.19,20.72,10753302,ok
2020-10-30,20.41,21.36,19.21,19.38,9335739,ok
2020-11-02,21.47,22.46,20.51,20.72,19916342,ok
2020-11-03,21.4,22.48,20.25,22.21,11308074,ok
2020-11-04,24.04,27.44,23.4,27.39,50724019,ok
2020-11-05,30.26,36.44,29.8,35.85,89538529,ok
2020-11-06,36.32,39.5,33.18,34.81,102189380,ok
2020-11-09,35.43,36.19,31.28,34.07,34809311,ok
2020-11-10,34.39,36.5,31.01,32.9,32340206,ok
2020-11-11,31.26,33.67,30.49,33.53,24899042,ok
2020-11-12,36.48,48.57,35.6,44.73,166845689,ok
2020-11-13,47.96,51.27,38.0,41.99,92335169,ok
