Date,Open,High,Low,Close,Volume,Status
2020-01-02,145.4991,145.567,143.064,144.7423,1046052,ok
2020-01-03,143.0155,145.208,141.5992,144.364,963465,ok
2020-01-06,144.1312,144.3834,142.8312,143.5297,944767,ok
2020-01-07,144.1118,144.6841,142.3073,143.4036,907279,ok
2020-01-08,143.9178,145.4505,143.0349,145.1207,908796,ok
2020-01-09,145.567,145.892,143.8789,144.1603,1007653,ok
2020-01-10,145.1595,146.6438,144.2573,145.5087,1159737,ok
2020-01-13,145.1983,146.0423,144.4804,144.5677,635840,ok
2020-01-14,143.6946,144.6841,142.8811,143.9081,1009535,ok
2020-01-15,143.811,145.0916,142.8458,143.7237,654676,ok
2020-01-16,144.4125,144.7618,143.4812,144.3252,664893,ok
2020-01-17,144.4901,145.4699,144.1409,144.917,852286,ok
2020-01-21,144.6065,145.6785,143.4424,145.014,926558,ok
2020-01-22,145.5185,147.1628,145.4798,146.4692,851478,ok
2020-01-23,146.3625,146.4401,144.6938,145.0431,796692,ok
2020-01-24,145.014,145.014,142.3365,143.3842,737851,ok
2020-01-27,141.6865,144.17,140.6969,143.617,678673,ok
2020-01-28,143.714,145.4214,143.714,144.7423,829221,ok
2020-01-29,145.2759,147.8759,144.9655,146.246,1197402,ok
2020-01-30,144.8588,146.7117,143.6752,146.6632,720189,ok
2020-01-31,145.7319,147.0609,142.3947,143.4812,1407669,ok
2020-02-03,144.3349,145.7513,143.9857,144.073,1905707,ok
2020-02-04,148.3318,154.8219,147.8855,152.0862,3068347,ok
2020-02-05,152.1347,154.4339,150.7862,152.9884,1364147,ok
2020-02-06,153.2891,155.016,152.4645,154.2593,1185696,ok
2020-02-07,153.5511,153.9876,151.4556,151.7175,889335,ok
2020-02-10,150.8347,153.8324,150.5146,153.4929,1079949,ok
2020-02-11,154.0555,154.8704,153.1145,154.5309,886811,ok
2020-02-12,154.4436,154.9189,153.4929,153.9585,743656,ok
2020-02-13,154.2496,155.0548,152.6877,153.9876,743162,ok
2020-02-14,153.8809,155.6368,152.8914,155.6077,621681,ok
2020-02-18,155.1712,155.307,153.1242,154.4921,771367,ok
2020-02-19,154.9189,156.2965,153.8712,155.2391,961245,ok
2020-02-20,155.2197,155.2439,152.6003,153.6578,950927,ok
2020-02-21,153.8227,154.3466,151.3198,152.6877,1020381,ok
2020-02-24,148.9915,150.4661,148.4288,149.7191,1917904,ok
2020-02-25,148.9236,149.9519,145.0625,145.2565,2300037,ok
2020-02-26,146.3916,148.1378,142.1327,142.1812,1273097,ok
2020-02-27,138.8731,141.3566,135.7105,135.7687,2046383,ok
2020-02-28,132.0726,133.3337,128.551,132.0822,2473689,ok
2020-03-02,132.6934,135.1187,130.7241,135.0896,1712362,ok
2020-03-03,134.818,138.194,126.5137,129.8607,1933286,ok
2020-03-04,132.4024,135.0896,130.0741,133.9449,2008977,ok
2020-03-05,131.2382,131.8009,123.6228,125.3302,2104085,ok
2020-03-06,121.5176,122.187,118.1125,120.3923,2800644,ok
2020-03-09,111.5641,115.4446,107.7031,107.9359,2380483,ok
2020-03-10,111.5641,115.0954,106.8008,114.7752,2649880,ok
2020-03-11,111.3119,113.1552,105.5695,107.868,2330814,ok
2020-03-12,100.5242,103.6382,96.2944,98.9817,3323566,ok
