Date,Open,High,Low,Close,Volume,Status
2020-12-09,43.44,43.85,42.63,42.72,1662225,ok
2020-12-10,42.17,42.875,41.9,42.64,1051398,ok
2020-12-11,41.38,42.11,41.27,41.68,1673152,ok
2020-12-14,42.51,42.58,40.69,40.71,1504532,ok
2020-12-15,41.24,41.62,40.54,41.61,1465566,ok
2020-12-16,41.62,42.04,41.15,41.87,1642306,ok
2020-12-17,41.92,42.22,41.11,41.87,1435000,ok
2020-12-18,41.615,41.86,40.76,41.08,3030994,ok
2020-12-21,41.26,42.56,40.88,42.43,2265110,ok
2020-12-22,42.51,42.86,42.03,42.04,1077766,ok
2020-12-23,42.29,43.7,42.29,43.51,706770,ok
2020-12-24,43.62,43.62,42.66,43.34,327699,ok
2020-12-28,43.66,44.14,43.26,43.36,835630,ok
2020-12-29,43.39,43.39,42.62,42.77,1084118,ok
2020-12-30,42.77,43.47,42.77,43.22,728422,ok
2020-12-31,43.2,43.62,42.74,43.44,736330,ok
2021-01-04,43.08,43.61,42.12,42.93,1625537,ok
2021-01-05,42.88,43.85,42.54,43.61,1349517,ok
2021-01-06,45.805,49.04,45.34,48.51,3269634,ok
2021-01-07,49.24,51.1,48.95,49.99,2333879,ok
2021-01-08,49.92,49.92,47.64,48.72,2201020,ok
2021-01-11,48.26,49.96,47.605,49.87,1082846,ok
2021-01-12,50.0,51.16,49.0,50.36,1352148,ok
2021-01-13,49.98,50.27,49.25,49.79,1011816,ok
2021-01-14,50.51,51.22,50.09,50.915,1067613,ok
2021-01-15,49.98,50.45,48.84,49.14,1450919,ok
2021-01-19,49.21,49.54,48.6,49.33,1574827,ok
2021-01-20,49.5,49.5,47.75,48.3,2056458,ok
2021-01-21,48.6,49.0,47.295,47.39,1252792,ok
2021-01-22,46.71,48.155,46.61,48.12,1514483,ok
2021-01-25,47.47,47.79,46.25,47.21,1281911,ok
2021-01-26,47.79,47.82,46.03,46.05,1413205,ok
2021-01-27,44.67,45.1,43.72,43.81,2091880,ok
2021-01-28,44.73,45.5,44.27,45.17,1608346,ok
2021-01-29,45.29,45.54,43.64,44.14,1497023,ok
2021-02-01,44.43,44.83,44.02,44.7,1300254,ok
2021-02-02,45.28,46.47,45.0,45.8,1391628,ok
2021-02-03,45.59,46.49,45.38,46.03,1840417,ok
2021-02-04,46.4,48.48,46.17,48.22,1468885,ok
2021-02-05,48.63,48.85,47.61,47.73,1327937,ok
2021-02-08,48.15,48.705,47.8169,48.65,1105233,ok
2021-02-09,49.11,49.7,48.37,49.59,1566964,ok
2021-02-10,49.85,50.65,48.84,49.58,1616370,ok
2021-02-11,49.09,49.65,48.18,48.91,1052675,ok
2021-02-12,48.69,49.87,48.69,49.58,1114522,ok
2021-02-16,50.11,51.81,49.96,51.3,1472787,ok
2021-02-17,50.88,51.51,50.4,50.64,836233,ok
2021-02-18,50.01,50.68,49.53,50.03,1083746,ok
2021-02-19,50.6,51.93,50.6,51.7,1166376,ok
2021-02-22,51.69,54.29,51.68,53.36,1854315,ok
2021-02-23,53.93,54.3725,53.09,54.17,1159074,ok
2021-02-24,54.055,57.33,54.055,56.78,1662023,ok
2021-02-25,57.16,57.7,54.35,54.57,1648485,ok
2021-02-26,54.1,54.45,52.16,53.17,1710531,ok
2021-03-01,53.83,55.25,53.79,54.79,1283495,ok
2021-03-02,54.39,55.02,54.05,54.24,1027923,ok
2021-03-03,54.26,56.3,54.1,54.24,1552735,ok
2021-03-04,54.7,55.71,52.48,53.96,1568674,ok
2021-03-05,55.36,56.88,53.43,55.79,2239504,ok
2021-03-08,56.62,58.35,56.08,57.62,1430985,ok
2021-03-09,56.44,57.49,54.73,56.45,1653275,ok
2021-03-10,56.45,57.81,56.03,57.64,1333932,ok
2021-03-11,56.27,58.06,55.98,57.49,1086628,ok
2021-03-12,58.59,59.37,58.17,59.06,1386394,ok
2021-03-15,58.92,58.92,56.84,57.72,1261655,ok
2021-03-16,57.17,57.17,55.51,56.4,1075787,ok
2021-03-17,57.37,58.36,56.17,56.75,1281807,ok
2021-03-18,58.01,60.22,56.93,57.3,1816491,ok
2021-03-19,56.5,57.65,55.65,56.45,4998084,ok
2021-03-22,56.35,56.7021,54.31,55.28,1539404,ok
2021-03-23,54.79,55.22,53.18,53.58,1647394,ok
2021-03-24,54.01,55.05,52.95,53.01,1538963,ok
2021-03-25,52.9,54.99,52.18,54.74,1194259,ok
2021-03-26,55.55,55.96,54.67,55.85,1257861,ok
2021-03-29,54.94,55.4,53.25,53.89,1059695,ok
2021-03-30,54.44,56.13,54.4,55.91,1225473,ok
2021-03-31,55.24,55.97,54.94,54.96,1210801,ok
2021-04-01,54.55,55.43,54.16,55.41,1157149,ok
2021-04-05,56.0,56.3647,54.9,55.33,1069475,ok
2021-04-06,56.71,56.71,54.74,55.43,907250,ok
2021-04-07,55.72,56.01,55.2,55.55,658976,ok
2021-04-08,55.0,55.22,53.99,55.0,1319454,ok
2021-04-09,55.81,56.3,55.36,55.935,981790,ok
2021-04-12,55.9,56.72,55.9,56.58,914153,ok
